No. ,Weight  [mg],Name  ,Method  ,Coefficients  ,S  Area,S  [%],S  Factor,S  Blank,Moisture  [%],Memo  ,Info  ,Date       Time  
32,70.01,COMPASS_DEC2021_013,Standard,Low S Jan 2022,8905,0.08,0.8962,0,0,,So,28.06.2022 16:15:08
33,70.1,COMPASS_DEC2021_014,Standard,Low S Jan 2022,5695,0.051,0.8962,0,0,,,28.06.2022 16:18:17
34,70.55,COMPASS_DEC2021_015,Standard,Low S Jan 2022,6299,0.056,0.8962,0,0,,,28.06.2022 16:25:06
35,70.33,COMPASS_DEC2021_016,Standard,Low S Jan 2022,23196,0.208,0.8962,0,0,,So,28.06.2022 16:29:36
36,70.18,COMPASS_DEC2021_017,Standard,Low S Jan 2022,10350,0.093,0.8962,0,0,,So,28.06.2022 16:32:52
37,69.23,COMPASS_DEC2021_018,Standard,Low S Jan 2022,8890,0.081,0.8962,0,0,,So,28.06.2022 16:36:05
38,44.16,COMPASS_DEC2021_019,Standard,Low S Jan 2022,8279,0.118,0.8962,0,0,,So,28.06.2022 16:39:19
39,71.58,COMPASS_DEC2021_021,Standard,Low S Jan 2022,12454,0.11,0.8962,0,0,,So,28.06.2022 16:42:49
40,70.04,COMPASS_DEC2021_023,Standard,Low S Jan 2022,17842,0.161,0.8962,0,0,,So,28.06.2022 16:46:36
41,70.44,COMPASS_DEC2021_026,Standard,Low S Jan 2022,14619,0.131,0.8962,0,0,,So,28.06.2022 16:51:09
42,69.98,COMPASS_DEC2021_028,Standard,Low S Jan 2022,24633,0.222,0.8962,0,0,,So,28.06.2022 16:55:10
43,71.01,COMPASS_DEC2021_029,Standard,Low S Jan 2022,20376,0.181,0.8962,0,0,,So,28.06.2022 16:59:15
44,70.1,COMPASS_DEC2021_030,Standard,Low S Jan 2022,21896,0.197,0.8962,0,0,,So,28.06.2022 17:03:36
45,70.27,COMPASS_DEC2021_031,Standard,Low S Jan 2022,10906,0.098,0.8962,0,0,,So,28.06.2022 17:06:52
46,70.65,COMPASS_DEC2021_032,Standard,Low S Jan 2022,10738,0.096,0.8962,0,0,,So,28.06.2022 17:10:27
47,70.14,COMPASS_DEC2021_033,Standard,Low S Jan 2022,10323,0.093,0.8962,0,0,,So,28.06.2022 17:13:42
48,70.32,COMPASS_DEC2021_034,Standard,Low S Jan 2022,5227,0.047,0.8962,0,0,,,28.06.2022 17:16:53
49,70.18,COMPASS_DEC2021_035,Standard,Low S Jan 2022,6414,0.057,0.8962,0,0,,,28.06.2022 17:20:08
50,70.48,COMPASS_DEC2021_036,Standard,Low S Jan 2022,5555,0.049,0.8962,0,0,,,28.06.2022 17:23:26
51,70.52,COMPASS_DEC2021_037,Standard,Low S Jan 2022,5710,0.051,0.8962,0,0,,,28.06.2022 17:26:49
52,70.42,COMPASS_DEC2021_038,Standard,Low S Jan 2022,5691,0.051,0.8962,0,0,,,28.06.2022 17:30:09
53,70.49,COMPASS_DEC2021_039,Standard,Low S Jan 2022,7725,0.069,0.8962,0,0,,So,28.06.2022 17:33:41
54,70.58,COMPASS_DEC2021_040,Standard,Low S Jan 2022,6662,0.059,0.8962,0,0,,,28.06.2022 17:37:12
55,100,mt,Standard,Low S Jan 2022,3,0,0.8962,0,0,,Su,28.06.2022 17:40:26
56,100,MT,Standard,Low S Jan 2022,0,0,0.8962,0,0,,Snp,29.06.2022 11:20:28
57,100,MT,Standard,Low S Jan 2022,0,0,0.8962,0,0,,Snp,29.06.2022 11:23:36
58,100,MT,Standard,Low S Jan 2022,0,0,0.8962,0,0,,Snp,29.06.2022 11:26:43
59,100.11,RunIn,Standard,Low S Jan 2022,2236,0.014,0.8962,0,0,,,29.06.2022 11:29:54
60,100.33,RunIn,Standard,Low S Jan 2022,2161,0.013,0.8962,0,0,,,29.06.2022 11:33:04
61,100.05,b2152,Standard,Low S Jan 2022,1890,0.012,0.9236,0,0,,,29.06.2022 11:36:18
62,100.2,b2152,Standard,Low S Jan 2022,1860,0.012,0.9405,0,0,,,29.06.2022 11:39:27
63,30.88,COMPASS_DEC2021_041,Standard,Low S Jan 2022,2596,0.054,0.9321,0,0,,,29.06.2022 11:42:39
64,30.51,COMPASS_DEC2021_042,Standard,Low S Jan 2022,2516,0.053,0.9321,0,0,,,29.06.2022 11:45:56
65,30.59,COMPASS_DEC2021_043,Standard,Low S Jan 2022,4956,0.106,0.9321,0,0,,,29.06.2022 11:49:20
66,30.44,COMPASS_DEC2021_044,Standard,Low S Jan 2022,6476,0.139,0.9321,0,0,,,29.06.2022 11:52:44
67,30.64,COMPASS_DEC2021_045,Standard,Low S Jan 2022,9500,0.203,0.9321,0,0,,So,29.06.2022 11:56:28
68,30.3,COMPASS_DEC2021_046,Standard,Low S Jan 2022,7858,0.17,0.9321,0,0,,So,29.06.2022 11:59:51
69,30.16,COMPASS_DEC2021_047,Standard,Low S Jan 2022,6277,0.136,0.9321,0,0,,,29.06.2022 12:03:12
70,29.95,COMPASS_DEC2021_048,Standard,Low S Jan 2022,6791,0.148,0.9321,0,0,,,29.06.2022 12:06:41
71,30.88,COMPASS_DEC2021_049,Standard,Low S Jan 2022,7047,0.149,0.9321,0,0,,,29.06.2022 12:10:08
72,30.58,COMPASS_DEC2021_050,Standard,Low S Jan 2022,7168,0.153,0.9321,0,0,,,29.06.2022 12:13:37
73,30.7,COMPASS_DEC2021_051,Standard,Low S Jan 2022,4990,0.106,0.9321,0,0,,,29.06.2022 12:16:49
74,30.81,COMPASS_DEC2021_052,Standard,Low S Jan 2022,17909,0.381,0.9321,0,0,,So,29.06.2022 12:20:58
75,30.15,COMPASS_DEC2021_054,Standard,Low S Jan 2022,13117,0.285,0.9321,0,0,,So,29.06.2022 12:41:32
76,30.73,COMPASS_DEC2021_055,Standard,Low S Jan 2022,11060,0.236,0.9321,0,0,,So,29.06.2022 12:46:56
77,30.88,COMPASS_DEC2021_056,Standard,Low S Jan 2022,6033,0.127,0.9321,0,0,,,29.06.2022 12:50:24
78,30.08,COMPASS_DEC2021_057,Standard,Low S Jan 2022,4545,0.098,0.9321,0,0,,,29.06.2022 12:53:32
79,30.35,COMPASS_DEC2021_058,Standard,Low S Jan 2022,9511,0.205,0.9321,0,0,,So,29.06.2022 12:59:01
80,30.54,COMPASS_DEC2021_059,Standard,Low S Jan 2022,7467,0.16,0.9321,0,0,,So,29.06.2022 13:02:11
81,30.72,COMPASS_DEC2021_060,Standard,Low S Jan 2022,10177,0.217,0.9321,0,0,,So,29.06.2022 13:06:00
82,30.31,COMPASS_DEC2021_061,Standard,Low S Jan 2022,1837,0.039,0.9321,0,0,,,29.06.2022 13:09:23
83,100,MT,Standard,Low S Jan 2022,1,0,0.9321,0,0,,Su,29.06.2022 13:12:32
84,100.77,b2152,Standard,Low S Jan 2022,2110,0.012,0.831,0,0,,,29.06.2022 13:16:44
85,100,MT,Standard,Low S Jan 2022,0,0,0.831,0,0,ash finger changed -KFP,Snp,30.06.2022 09:46:14
86,100,MT,Standard,Low S Jan 2022,0,0,0.831,0,0,,Snp,30.06.2022 09:49:22
87,100,MT,Standard,Low S Jan 2022,38,0,0.831,0,0,,Su,30.06.2022 09:52:37
88,100.08,RunIn,Standard,Low S Jan 2022,2053,0.012,0.831,0,0,,,30.06.2022 09:55:47
89,100.16,RunIn,Standard,Low S Jan 2022,2207,0.013,0.831,0,0,,,30.06.2022 09:58:56
90,100.74,b2152,Standard,Low S Jan 2022,1953,0.012,0.8993,0,0,,,30.06.2022 10:02:04
91,100.44,b2152,Standard,Low S Jan 2022,2123,0.012,0.8231,0,0,,,30.06.2022 10:05:16
92,30.31,COMPASS_DEC2021_062,Standard,Low S Jan 2022,1264,0.024,0.8612,0,0,,,30.06.2022 10:08:25
93,30.4,COMPASS_DEC2021_063,Standard,Low S Jan 2022,1506,0.029,0.8612,0,0,,,30.06.2022 10:11:34
94,29.74,COMPASS_DEC2021_064,Standard,Low S Jan 2022,1360,0.027,0.8612,0,0,,,30.06.2022 10:14:41
95,30.89,COMPASS_DEC2021_065,Standard,Low S Jan 2022,1718,0.033,0.8612,0,0,,,30.06.2022 10:17:56
96,30.24,COMPASS_DEC2021_066,Standard,Low S Jan 2022,872,0.017,0.8612,0,0,,,30.06.2022 10:21:05
97,30.06,COMPASS_DEC2021_067,Standard,Low S Jan 2022,1224,0.024,0.8612,0,0,,,30.06.2022 10:24:12
98,30.14,COMPASS_DEC2021_068,Standard,Low S Jan 2022,1751,0.034,0.8612,0,0,,,30.06.2022 10:27:20
99,30.38,COMPASS_DEC2021_069,Standard,Low S Jan 2022,1147,0.022,0.8612,0,0,,,30.06.2022 10:30:31
100,29.97,COMPASS_DEC2021_070,Standard,Low S Jan 2022,1900,0.038,0.8612,0,0,,,30.06.2022 10:33:40
101,30.8,COMPASS_DEC2021_071,Standard,Low S Jan 2022,1605,0.031,0.8612,0,0,,,30.06.2022 10:36:48
102,30.46,COMPASS_DEC2021_072,Standard,Low S Jan 2022,2230,0.044,0.8612,0,0,,,30.06.2022 10:39:58
103,29.16,COMPASS_DEC2021_073,Standard,Low S Jan 2022,1643,0.033,0.8612,0,0,,,30.06.2022 12:59:30
104,30.71,COMPASS_DEC2021_074,Standard,Low S Jan 2022,2403,0.047,0.8612,0,0,,,30.06.2022 13:02:39
105,30.18,COMPASS_DEC2021_075,Standard,Low S Jan 2022,2725,0.054,0.8612,0,0,,,30.06.2022 13:05:48
106,30.41,COMPASS_DEC2021_076,Standard,Low S Jan 2022,1852,0.036,0.8612,0,0,,,30.06.2022 13:08:57
107,30.12,COMPASS_DEC2021_077,Standard,Low S Jan 2022,1693,0.033,0.8612,0,0,,,30.06.2022 13:12:09
108,30.14,COMPASS_DEC2021_078,Standard,Low S Jan 2022,2313,0.046,0.8612,0,0,,,30.06.2022 13:15:18
109,30.03,COMPASS_DEC2021_079,Standard,Low S Jan 2022,2352,0.047,0.8612,0,0,,,30.06.2022 13:18:25
110,30.84,COMPASS_DEC2021_080,Standard,Low S Jan 2022,2221,0.043,0.8612,0,0,,,30.06.2022 13:21:36
111,29.76,COMPASS_DEC2021_081,Standard,Low S Jan 2022,2728,0.055,0.8612,0,0,,,30.06.2022 13:24:46
112,100,MT,Standard,Low S Jan 2022,22,0,0.8612,0,0,,Su,30.06.2022 13:27:55
113,100,MT,Standard,Low S Jan 2022,0,0,0.8612,0,0,,Snp,30.06.2022 15:08:29
114,100.01,RunIn,Standard,Low S Jan 2022,1463,0.009,0.8612,0,0,,,30.06.2022 15:11:38
115,101.28,RunIn,Standard,Low S Jan 2022,1507,0.009,0.8612,0,0,,,30.06.2022 15:14:50
116,101.46,b2152,Standard,Low S Jan 2022,1470,0.012,1.2131,0,0,,,30.06.2022 15:17:59
117,99.97,b2152,Standard,Low S Jan 2022,1342,0.012,1.3145,0,0,,,30.06.2022 15:21:08
118,29.61,COMPASS_DEC2021_082,Standard,Low S Jan 2022,1930,0.057,1.2638,0,0,,,30.06.2022 15:24:17
119,29.15,COMPASS_DEC2021_083,Standard,Low S Jan 2022,1600,0.047,1.2638,0,0,,,30.06.2022 15:27:26
120,30.62,COMPASS_DEC2021_084,Standard,Low S Jan 2022,2300,0.066,1.2638,0,0,,,30.06.2022 15:30:35
121,30.28,COMPASS_DEC2021_085,Standard,Low S Jan 2022,2951,0.086,1.2638,0,0,,,30.06.2022 15:33:49
122,31.04,COMPASS_DEC2021_086,Standard,Low S Jan 2022,2984,0.084,1.2638,0,0,,,01.07.2022 12:37:15
123,31.36,COMPASS_DEC2021_087,Standard,Low S Jan 2022,3642,0.102,1.2638,0,0,,,01.07.2022 12:40:33
124,30.14,COMPASS_DEC2021_088,Standard,Low S Jan 2022,1983,0.057,1.2638,0,0,,,01.07.2022 12:43:42
125,30.84,COMPASS_DEC2021_089,Standard,Low S Jan 2022,4071,0.116,1.2638,0,0,,,01.07.2022 12:47:08
126,31.7,COMPASS_DEC2021_090,Standard,Low S Jan 2022,3098,0.086,1.2638,0,0,,,01.07.2022 12:50:29
127,30.52,COMPASS_DEC2021_091,Standard,Low S Jan 2022,3729,0.108,1.2638,0,0,,,01.07.2022 12:53:56
128,30.25,COMPASS_DEC2021_092,Standard,Low S Jan 2022,2125,0.061,1.2638,0,0,,,01.07.2022 12:57:07
129,30.01,COMPASS_DEC2021_093,Standard,Low S Jan 2022,3153,0.092,1.2638,0,0,,,01.07.2022 13:00:35
130,30.41,COMPASS_DEC2021_094,Standard,Low S Jan 2022,3336,0.096,1.2638,0,0,,,01.07.2022 13:04:06
131,30.22,COMPASS_DEC2021_095,Standard,Low S Jan 2022,2978,0.086,1.2638,0,0,,,01.07.2022 13:07:25
132,32.02,COMPASS_DEC2021_096,Standard,Low S Jan 2022,291,0.007,1.2638,0,0,,,01.07.2022 13:10:35
133,31.39,COMPASS_DEC2021_097,Standard,Low S Jan 2022,390,0.01,1.2638,0,0,,,01.07.2022 13:13:45
134,29.16,COMPASS_DEC2021_098,Standard,Low S Jan 2022,176,0.004,1.2638,0,0,,,01.07.2022 13:16:53
135,30.95,COMPASS_DEC2021_099,Standard,Low S Jan 2022,198,0.004,1.2638,0,0,,,01.07.2022 13:20:02
136,30.17,COMPASS_DEC2021_100,Standard,Low S Jan 2022,2,0,1.2638,0,0,,Su,01.07.2022 13:23:12
137,100,MT,Standard,Low S Jan 2022,0,0,1.2638,0,0,,Snp,05.07.2022 13:42:51
138,100,MT,Standard,Low S Jan 2022,0,0,1.2638,0,0,,Snp,05.07.2022 13:45:58
139,100,MT,Standard,Low S Jan 2022,11,0,1.2638,0,0,,Su,05.07.2022 13:49:12
140,100.5,RunIn,Standard,Low S Jan 2022,1615,0.014,1.2638,0,0,,,05.07.2022 13:52:21
141,100.32,RunIn,Standard,Low S Jan 2022,1363,0.012,1.2638,0,0,,,05.07.2022 13:55:30
142,100.65,b2152,Standard,Low S Jan 2022,1314,0.012,1.3519,0,0,,,05.07.2022 13:58:41
143,101.75,b2152,Standard,Low S Jan 2022,1330,0.012,1.3495,0,0,,,05.07.2022 14:01:51
144,30.58,COMPASS_DEC2021_100,Standard,Low S Jan 2022,251,0.006,1.3507,0,0,,,05.07.2022 14:04:58
145,30.14,COMPASS_DEC2021_101,Standard,Low S Jan 2022,187,0.004,1.3507,0,0,,,05.07.2022 14:08:06
146,30.59,COMPASS_DEC2021_102,Standard,Low S Jan 2022,336,0.009,1.3507,0,0,,,05.07.2022 14:11:19
147,30.66,COMPASS_DEC2021_103,Standard,Low S Jan 2022,262,0.007,1.3507,0,0,,,05.07.2022 14:14:28
148,32.61,COMPASS_DEC2021_106,Standard,Low S Jan 2022,423,0.011,1.3507,0,0,,,05.07.2022 14:17:38
149,29.87,COMPASS_DEC2021_107,Standard,Low S Jan 2022,168,0.004,1.3507,0,0,,,05.07.2022 14:20:47
150,29.35,COMPASS_DEC2021_108,Standard,Low S Jan 2022,259,0.007,1.3507,0,0,,,05.07.2022 14:23:58
151,31.31,COMPASS_DEC2021_109,Standard,Low S Jan 2022,194,0.004,1.3507,0,0,,,05.07.2022 14:27:06
152,29.26,COMPASS_DEC2021_110,Standard,Low S Jan 2022,126,0.003,1.3507,0,0,,,05.07.2022 14:30:14
153,30.63,COMPASS_DEC2021_111,Standard,Low S Jan 2022,591,0.017,1.3507,0,0,,,05.07.2022 14:34:45
154,29.82,COMPASS_DEC2021_112,Standard,Low S Jan 2022,584,0.017,1.3507,0,0,,,05.07.2022 14:37:54
155,30.13,COMPASS_DEC2021_113,Standard,Low S Jan 2022,144,0.003,1.3507,0,0,,,05.07.2022 14:41:03
156,30.35,COMPASS_DEC2021_114,Standard,Low S Jan 2022,613,0.018,1.3507,0,0,,,05.07.2022 14:44:35
157,30.43,COMPASS_DEC2021_115,Standard,Low S Jan 2022,548,0.016,1.3507,0,0,,,05.07.2022 14:47:50
158,30.94,COMPASS_DEC2021_116,Standard,Low S Jan 2022,582,0.016,1.3507,0,0,,,05.07.2022 14:50:59
159,30.67,COMPASS_DEC2021_117,Standard,Low S Jan 2022,774,0.023,1.3507,0,0,,,05.07.2022 14:54:09
160,30.28,COMPASS_DEC2021_118,Standard,Low S Jan 2022,484,0.014,1.3507,0,0,,,05.07.2022 14:57:19
161,31.07,COMPASS_DEC2021_119,Standard,Low S Jan 2022,313,0.008,1.3507,0,0,,,05.07.2022 15:00:30
162,29.69,COMPASS_DEC2021_120,Standard,Low S Jan 2022,2334,0.073,1.3507,0,0,,Spe,05.07.2022 15:10:19
163,100,MT,Standard,Low S Jan 2022,1040,0.009,1.3507,0,0,,,05.07.2022 15:13:34
164,102.19,b2152,Standard,Low S Jan 2022,0,0,1,0,0,,Snp,05.07.2022 15:16:41
165,0,,,,0,0,1.3507,0,0,,, 
