No. ,Info  ,Memo  ,Hole  Pos.,Name  ,Weight  [mg],Method  ,N  Area,C  Area,N  [%],C  [%],N  Factor,C  Factor,C/N  ratio,Moisture  [%],Date       Time  
1,"Nnp,Cu",,1,MT,100,blank,0,292,0,0.086,1,1,0,0,11/3/22 17:56
2,,,2,MT,100,blank,421,2740,0.141,0.882,1,1,6.2512,0,11/3/22 18:04
3,"Cnp,Nu",,3,MT,100,blank [O2],199,0,0.063,0,1,1,0,0,11/3/22 18:12
4,,,4,RunIn,103.8,aspartic acid 1,30053,111408,10.787,36.558,1,1,3.3891,0,11/3/22 18:23
5,,,5,RunIn,100.6,aspartic acid 1,28228,105262,10.448,35.614,1,1,3.4088,0,11/3/22 18:34
6,,,6,RunIn,104.4,aspartic acid 1,29804,111020,10.635,36.219,1,1,3.4056,0,11/3/22 18:45
7,,aspartic,7,mt,100,blank [O2],28928,108334,10.774,36.887,1,1,3.4238,0,11/3/22 18:54
8,"Nu,Cu",mt,7,mt,102.1,aspartic acid 1,53,74,0.016,0.021,1,1,1.3196,0, 
9,,,8,aspartic acid,101.6,aspartic acid 1,28484,106580,10.52,36.06,1.0077,1.0098,3.4278,0,11/3/22 20:49
10,,,9,aspartic acid,114.7,aspartic acid 1,32254,121024,10.52,36.06,1.0035,1.0023,3.4278,0,11/3/22 21:00
11,O2,skip,10,COMPASS_AUG22_215,204.9,soil15,1059,22194,0.199,3.655,1,1,18.3539,0,11/3/22 21:10
12,O2,skip,11,COMPASS_AUG22_216,205.9,soil15,1226,21149,0.231,3.465,1,1,14.988,0,11/3/22 21:19
13,O2,skip,12,COMPASS_AUG22_217,216.8,soil15,1664,28440,0.301,4.43,1,1,14.7385,0,11/3/22 21:28
14,Nu,,1,mt,100,blank,105,3487,0.033,1.139,1,1,34.5698,0,11/4/22 21:02
15,"Nu,Cu",,1,mt,100,blank,66,1114,0.021,0.33,1,1,15.9026,0,11/4/22 21:10
16,"Nu,Cu",,1,mt,100,blank [O2],89,57,0.028,0.017,1,1,0.6058,0,11/4/22 21:17
17,"Nu,Cu",,1,mt,100,blank [O2],67,38,0.021,0.011,1,1,0.5379,0,11/4/22 21:25
18,,,2,runin,101.9,aspartic acid 1,28608,107203,10.513,36.033,1.0056,1.0061,3.4274,0,11/4/22 21:36
19,,,3,runin,97,aspartic acid 1,26666,100400,10.287,35.422,1.0056,1.0061,3.4433,0,11/4/22 21:47
20,,,4,runin,101.2,aspartic acid 1,28257,106303,10.455,35.974,1.0056,1.0061,3.441,0,11/4/22 21:58
21,,,5,aspartic acid,117.6,aspartic acid 1,32814,123023,10.52,36.06,1.0111,1.0108,3.4278,0,11/4/22 22:09
22,,,6,aspartic acid,116,aspartic acid 1,32890,123317,10.52,36.06,0.995,0.9946,3.4278,0,11/4/22 22:20
23,,,7,aspartic acid,111.6,aspartic acid 1,31143,116725,10.52,36.06,1.0115,1.0116,3.4278,0,11/4/22 22:31
24,,,13,COMPASS_AUG22_218,209.9,soil15,710,19463,0.125,3.128,1,1,24.9327,0,11/4/22 23:55
25,,,14,COMPASS_AUG22_219,210.2,soil15,1252,34050,0.232,5.448,1,1.0057,23.5305,0,11/5/22 0:04
26,,,15,COMPASS_AUG22_220,212.1,soil15,775,18963,0.137,3.016,1,1,22.0153,0,11/5/22 0:13
27,,,16,COMPASS_AUG22_221,201.4,soil15,1192,20749,0.229,3.476,1,1,15.1462,0,11/5/22 0:22
28,,,17,COMPASS_AUG22_222,209.2,soil15,2067,41950,0.387,6.772,1,1.0057,17.5031,0,11/5/22 0:33
29,,,18,COMPASS_AUG22_223,200.4,soil15,1607,40880,0.314,6.886,1,1.0057,21.9327,0,11/5/22 0:43
30,,,19,COMPASS_AUG22_224,198.5,soil15,2049,49480,0.404,8.443,1,1.0057,20.8775,0,11/5/22 0:53
31,,,20,COMPASS_AUG22_225,199.9,soil15,3000,67382,0.582,11.471,1,1.0057,19.6949,0,11/5/22 1:04
32,,,21,COMPASS_AUG22_226,203.5,soil15,2991,60412,0.57,10.086,1,1.0057,17.6836,0,11/5/22 1:15
33,,,22,COMPASS_AUG22_227,209.1,soil15,1971,38318,0.369,6.178,1,1.0057,16.731,0,11/5/22 1:25
34,,,23,COMPASS_AUG22_228,207.1,soil15,1819,38053,0.344,6.194,1,1.0057,17.9969,0,11/5/22 1:35
35,,,24,COMPASS_AUG22_229,210.6,soil15,1928,36141,0.359,5.779,1,1.0057,16.1073,0,11/5/22 1:45
36,,,25,COMPASS_AUG22_230,212.8,soil15,1861,37969,0.343,6.014,1,1.0057,17.549,0,11/5/22 1:55
37,"Nu,Cu",,26,mt,100,blank [O2],34,78,0.011,0.023,1,1,2.1574,0,11/5/22 2:03
38,,,27,aspartic acid,111.9,aspartic acid 1,31196,116490,10.52,36.06,1.0125,1.0164,3.4278,0,11/5/22 2:14
39,O2,skip,28,COMPASS_AUG22_231,193.2,soil15,7641,169209,1.48,30.482,1,1.0164,20.5974,0,11/5/22 2:26
40,O2,skip,29,COMPASS_AUG22_232,195.3,soil15,9034,167761,1.699,29.893,1.0075,1.0164,17.5947,0,11/5/22 2:38
41,O2,skip,30,COMPASS_AUG22_233,212.4,soil15,8886,173602,1.536,28.456,1.0075,1.0164,18.529,0,11/5/22 2:51
42,"Nnp,Cu",,30,mt,100,blank,0,421,0,0.125,1,1,0,0,11/7/22 19:37
43,Nu,,30,mt,100,blank [O2],39,10263,0.012,3.449,1,1,282.6832,0,11/7/22 19:48
44,"Nu,Cu",,30,mt,100,blank [O2],95,31,0.03,0.009,1,1,0.3108,0,11/7/22 19:56
45,"Nu,Cu",,30,mt,100,blank [O2],82,12,0.026,0.004,1,1,0.143,0,11/7/22 20:03
46,,,31,COMPASS_AUG22_234,209.6,soil,9579,204717,1.681,34.079,1.0075,1.0164,20.2672,0,11/7/22 20:14
47,,,32,COMPASS_AUG22_235,205.4,soil15,8790,192549,1.57,32.682,1.0075,1.0164,20.8129,0,11/7/22 20:27
48,,,33,COMPASS_AUG22_236,195.9,soil15,8525,173707,1.595,30.871,1.0075,1.0164,19.3534,0,11/7/22 20:57
49,,,34,COMPASS_AUG22_237,210.9,soil15,9491,180904,1.655,29.879,1.0075,1.0164,18.0509,0,11/7/22 21:13
50,,,35,COMPASS_AUG22_238,205.8,soil15,9070,165407,1.619,27.964,1.0075,1.0164,17.2752,0,11/7/22 21:26
51,Nu,,36,COMPASS_AUG22_239,151.5,soil15,195,3631,0.04,0.784,1,1,19.4008,0,11/7/22 21:35
52,,,37,COMPASS_AUG22_240,153.5,soil15,399,4869,0.086,1.05,1,1,12.2348,0,11/7/22 21:44
53,,,38,COMPASS_AUG22_241,152.2,soil15,362,4736,0.076,1.029,1,1,13.5216,0,11/7/22 21:53
54,Nu,,39,COMPASS_AUG22_242,157.2,soil15,306,4095,0.061,0.857,1,1,13.9933,0,11/7/22 22:01
55,,,40,COMPASS_AUG22_243,144.6,soil15,351,4622,0.077,1.056,1,1,13.7302,0,11/7/22 22:10
56,Nu,,41,COMPASS_AUG22_244,147,soil15,225,3096,0.048,0.683,1,1,14.2207,0,11/7/22 22:19
57,Nu,,42,COMPASS_AUG22_245,148.2,soil15,284,3160,0.06,0.692,1,1,11.4889,0,11/7/22 22:28
58,,,43,COMPASS_AUG22_246,142.5,soil15,481,8099,0.117,1.904,1,1,16.2833,0,11/7/22 22:37
59,"Nu,Cu",,44,MT,100,blank [O2],72,94,0.023,0.028,1,1,1.227,0,11/7/22 22:45
60,,,45,aspartic acid,99.1,aspartic acid 1,27909,105229,10.52,36.06,1.0033,0.9977,3.4278,0,11/7/22 22:56
61,,,46,COMPASS_AUG22_247,147.9,soil15,356,10630,0.077,2.416,1,1,31.4557,0,11/8/22 0:34
62,Nu,,47,COMPASS_AUG22_248,147.1,soil15,237,7311,0.051,1.662,1,1,32.89,0,11/8/22 0:43
63,,,48,COMPASS_AUG22_249,144.1,soil15,1101,20203,0.295,4.73,1,1,16.0206,0,11/8/22 0:53
64,,,49,COMPASS_AUG22_250,163,soil15,602,10116,0.134,2.085,1,1,15.5819,0,11/8/22 1:01
65,,,50,COMPASS_AUG22_251,151,soil15,651,9572,0.158,2.129,1,1,13.4701,0,11/8/22 1:10
66,,,51,COMPASS_AUG22_252,149.7,soil15,474,7290,0.11,1.628,1,1,14.8617,0,11/8/22 1:19
67,,,52,COMPASS_AUG22_253,145.4,soil15,699,10392,0.178,2.402,1,1,13.4976,0,11/8/22 1:28
68,,,53,COMPASS_AUG22_254,150.8,soil15,527,8430,0.124,1.874,1,1,15.149,0,11/8/22 1:37
69,"Nu,Cu",,54,mt,100,blank [O2],66,45,0.021,0.013,1,1,0.6387,0,11/8/22 1:45
70,,,55,aspartic acid,118.6,aspartic acid 1,33303,124074,10.52,36.06,1.0046,1.0106,3.4278,0,11/8/22 1:56
71,O2,,57,COMPASS_AUG22_215,203.1,soil15,1028,17693,0.195,2.938,1,1,15.0862,0,11/8/22 2:05
72,"Nnp,Cu",,57,mt,100,blank [O2],0,52,0,0.015,1,1,0,0,11/8/22 19:36
73,,,58,COMPASS_AUG22_216,198.6,soil15,1153,25406,0.225,4.318,1,1,19.2026,0,11/8/22 19:46
74,,,59,COMPASS_AUG22_217,194.4,soil15,1395,26967,0.28,4.683,1,1,16.7237,0,11/8/22 19:55
75,,,60,COMPASS_AUG22_231,198,soil15,8071,179456,1.527,31.188,1,1.0042,20.4217,0,11/8/22 20:08
76,"Nu,Cu",skip,61,COMPASS_AUG22_232,207.4,soil15,12,113,0.002,0.016,1,1,9.0637,0,11/8/22 20:17
77,"MF1,Npe,Cu",skip,62,COMPASS_AUG22_233,199.2,soil15,5113,107,0.971,0.016,1,1,0.0164,0,11/8/22 20:31
78,"Nu,Cu",,61,mt,100,blank [O2],164,133,0.051,0.039,1,1,0.7649,0,11/8/22 22:02
79,,,62,COMPASS_AUG22_233,199.2,soil15,8801,166113,1.616,28.666,1.004,1.0042,17.743,0,11/8/22 22:15
80,Nnp,,63,mt,100,blank [O2],0,1864,0,0.582,1,1,0,0,11/8/22 22:27
81,,,64,aspartic acid,104.1,aspartic acid 1,25980,110628,10.52,36.06,1.1331,0.9963,3.4278,0,11/8/22 22:38
82,,,65,,0,,0,0,0,0,1,1,0,0, 
