,Analysis of Kaizad's Ammonium Extraction Samples (CB Sites),,,,,,,,, ,, ,, ,, ,, ,
,,,,,,,,,,,,,,,,,,,
,, ,, ,, ,, ,,,,,,,,,,,
,,Na,,K,,Ca,,Mg,,Fe,,Al,,Mn,,P,,S,
,,mg L-1,stdev,mg L-1,stdev,mg L-1,stdev,mg L-1,stdev,mg L-1,stdev,mg L-1,stdev,mg L-1,stdev,mg L-1,stdev,mg L-1,stdev
,Sample Name,0=<0.2 mg L-1,,0=<0.6 mg L-1,,0=<0.02 mg L-1,,0=<0.2 mg L-1,,0=<0.04 mg L-1,,0=<0.2 mg L-1,,0=<0.04 mg L-1,,0=<0.4 mg L-1,,0=<2.0 mg L-1,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,PNNL 187,87.794,1.563,17.109,0.149,19.708,0.183,37.144,0.516,0.054,0.002,1.901,0.020,0.123,0.002,0.000,0.000,8.456,0.295
,PNNL 143,123.847,6.341,13.709,0.269,24.563,0.305,376.454,13.025,1.015,0.029,15.918,0.097,0.689,0.003,0.000,0.000,2.914,0.059
,PNNL 144,72.853,2.455,8.475,0.185,17.775,0.379,33.197,0.926,0.994,0.033,16.961,0.466,0.125,0.004,0.000,0.000,0.000,0.000
,PNNL 145,75.543,0.778,17.422,0.031,31.229,0.150,43.522,0.287,1.219,0.059,12.566,0.038,0.240,0.010,0.000,0.000,0.000,0.000
,PNNL 146,111.053,4.675,12.384,0.344,15.063,0.044,29.108,1.147,0.834,0.005,21.347,0.265,0.143,0.001,0.000,0.000,3.246,0.298
,PNNL 147,78.643,3.555,8.182,0.108,15.513,0.110,30.187,1.301,0.547,0.002,13.234,0.030,0.111,0.001,0.000,0.000,0.000,0.000
,PNNL 148,67.587,0.622,16.915,0.101,11.056,0.040,23.238,0.158,0.327,0.002,10.109,0.038,0.078,0.000,0.000,0.000,0.000,0.000
,PNNL 149,103.482,2.256,9.458,0.248,11.673,0.176,22.318,0.176,4.469,0.042,17.661,0.058,0.086,0.005,0.000,0.000,3.056,0.265
,PNNL 150,79.117,0.712,9.470,0.108,16.487,0.114,33.408,0.194,0.483,0.005,12.909,0.115,0.110,0.001,0.000,0.000,2.217,0.153
,PNNL 151,140.874,1.789,15.915,0.060,50.109,0.130,110.339,1.103,0.248,0.003,0.000,0.000,0.000,0.000,0.000,0.000,4.909,0.123
,PNNL 152,189.261,2.441,9.761,0.125,47.602,0.167,93.692,0.984,0.276,0.006,0.243,0.002,0.000,0.000,0.000,0.000,10.926,0.132
