,Cation Concentration Summary Report,,,,,,
,,,,,,,
No. ,Name ,Amount ,Amount ,Amount ,Amount ,Amount ,Amount 
,,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l
,,CD_1,CD_1,CD_1,CD_1,CD_1,CD_1
,,Lithium,Sodium,Ammonia,Potassium,Magnesium,Calcium
23,DOC_CMPS_KFP_0282,n.a.,73.78,0.90,2.63,3.31,1.14  
24,DOC_CMPS_KFP_0283,n.a.,88.83,n.a.,3.77,5.72,n.a.
25,DOC_CMPS_KFP_0284,n.a.,95.60,0.80,3.57,4.61,n.a.
26,DOC_CMPS_KFP_0285,n.a.,87.71,1.37,3.20,4.13,1.57  
27,DOC_CMPS_KFP_0286,n.a.,73.02,1.75,2.62,4.10,1.64  
28,DOC_CMPS_KFP_0287,n.a.,70.24,1.44,n.a.,1.40,1.91  
29,DOC_CMPS_KFP_0288,n.a.,74.27,0.71,3.59,7.59,3.03  
30,DOC_CMPS_KFP_0289,n.a.,55.41,0.09,2.49,7.20,3.09  
31,DOC_CMPS_KFP_0290,n.a.,105.26,0.59,5.21,11.68,n.a.
32,C-20x,2.60,10.41,12.45,26.01,13.21,26.41  
33,MQ2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
34,DOC_CMPS_KFP_0291,n.a.,81.51,1.22,0.48,1.23,4.32  
35,DOC_CMPS_KFP_0292,n.a.,562.58,1.21,24.33,66.81,n.a.
36,DOC_CMPS_KFP_0293,n.a.,76.14,0.27,2.81,8.18,2.86  
37,DOC_CMPS_KFP_0294,n.a.,47.01,n.a.,1.57,1.00,0.44  
38,DOC_CMPS_KFP_0295,n.a.,0.85,n.a.,n.a.,n.a.,n.a.
39,DOC_CMPS_KFP_0296,n.a.,0.57,n.a.,n.a.,n.a.,n.a.
40,DOC_CMPS_KFP_0297,n.a.,77.25,1.19,3.17,8.44,2.97  
41,DOC_CMPS_KFP_0298,n.a.,569.15,13.72,24.51,70.76,n.a.
42,DOC_CMPS_KFP_0299,n.a.,58.82,n.a.,2.29,1.53,0.55  
43,DOC_CMPS_KFP_0300,n.a.,34.45,0.14,1.29,0.68,0.37  
