"sample_label","pH","spConductance","TC","TN","TS","WEOC","NO3N","NH4N","Na","K","Ca","Mg","Al","CEC","Fe","P","Chloride","Sulfate","region","site","transect","tree_number","horizon"
"COMPASS_Dec2021_034",6.9,0.12,5.674,0.416,0.047,39.21,66.88,13.04,0.04,0.71,8.19,3.75,0,12.69,67.56,10.51,0.002,0.029,"WLE","CRC","upland","201","A"
"COMPASS_Dec2021_035",6.8,0.11,8.842,0.564,0.057,59.55,53.41,12.13,0.04,0.69,10.55,3.09,0,14.36,65.87,39.36,0.001,0.029,"WLE","CRC","upland","202","A"
"COMPASS_Dec2021_036",6.9,0.09,6.266,0.461,0.049,42.9,66.51,12.78,0.03,0.68,9.26,3.62,0,13.59,69.95,14.21,0.003,0.036,"WLE","CRC","upland","203","A"
"COMPASS_Dec2021_037",6.6,0.12,6.922,0.501,0.051,51.12,78.02,12.97,0.04,1.02,9.27,3.92,0,14.25,88.48,21.91,0.004,0.035,"WLE","CRC","upland","204","A"
"COMPASS_Dec2021_038",6.7,0.11,6.72,0.503,0.051,48.85,84.02,14.03,0.04,0.65,9.39,3.09,0,13.18,53.99,12.55,0.01,0.041,"WLE","CRC","upland","205","A"
"COMPASS_Dec2021_039",6.9,0.14,9.493,0.674,0.069,82.33,72.28,14.35,0.06,1.1,11.95,4.05,0,17.15,64.73,201.56,0.014,0.048,"WLE","CRC","upland","206","A"
"COMPASS_Dec2021_040",6.5,0.1,7.132,0.6,0.059,78.24,66.39,14.59,0.11,0.69,10.4,3.37,0,14.58,100.86,17.93,0.01,0.056,"WLE","CRC","upland","207","A"
"COMPASS_Dec2021_041",6.5,0.1,6.065,0.46,0.054,62.2,71.32,13.46,0.05,0.96,7.93,3.72,0,12.66,52.24,25.11,0.006,0.052,"WLE","CRC","upland","208","A"
"COMPASS_Dec2021_042",6.6,0.12,7.177,0.531,0.053,75.54,50.71,10.62,0.08,0.8,9.7,3.98,0,14.56,67.87,35.39,0.006,0.052,"WLE","CRC","upland","209","A"
"COMPASS_Dec2021_043",6.6,0.14,9.777,0.711,0.106,63.54,69.4,17.29,0.27,0.44,14.2,4.79,0,19.69,86.27,7.56,0.26,0.123,"WLE","CRC","transition","211","A"
"COMPASS_Dec2021_044",6.8,0.27,15.673,1.001,0.139,100.15,159.03,22.39,0.41,0.72,18.57,6.69,0,26.39,94.87,22.62,0.264,0.24,"WLE","CRC","transition","212","A"
"COMPASS_Dec2021_045",6.8,0.3,17.352,1.128,0.203,125.16,181.8,23.65,0.5,0.45,21.99,6.99,0,29.93,183.79,28.53,0.447,0.347,"WLE","CRC","transition","213","A"
"COMPASS_Dec2021_046",6.1,0.25,10.059,0.739,0.17,53.27,36.16,23.25,0.31,0.51,14.74,5.07,0.04,20.66,123.76,24.71,0.263,1.892,"WLE","CRC","transition","214","A"
"COMPASS_Dec2021_047",6.1,0.21,10.683,0.762,0.136,65.1,66.96,23.89,0.53,0.93,14.32,6.84,0,22.62,124.66,20.27,0.23,1.059,"WLE","CRC","transition","215","A"
"COMPASS_Dec2021_048",6,0.21,10.232,0.724,0.148,51.26,57.36,20.93,0.31,0.39,15.21,4.54,0,20.45,123.21,19.99,0.152,1.336,"WLE","CRC","transition","216","A"
"COMPASS_Dec2021_049",6.8,0.21,13.248,0.894,0.149,89.37,77.02,22.05,0.38,0.36,11.97,4.29,0,17.01,169.54,15.26,0.44,0.271,"WLE","CRC","transition","217","A"
"COMPASS_Dec2021_050",6.7,0.12,12.143,0.861,0.153,64.38,48.59,24.49,0.25,0.49,16.21,5.09,0,22.04,216.59,25.06,0.205,0.377,"WLE","CRC","transition","218","A"
"COMPASS_Dec2021_051",6.7,0.12,8.972,0.683,0.106,57.74,35.62,17.05,0.06,0.42,11.36,5.61,0,17.45,5.28,8.92,0.137,0.132,"WLE","CRC","transition","219","A"
"COMPASS_Dec2021_052",6.6,1.35,8.712,0.92,0.316,38.94,4.56,31,0.31,0.2,11.37,2.63,0,14.51,342.08,128.07,0.087,9.291,"WLE","CRC","wc","W1","A"
"COMPASS_Dec2021_053",7.3,0.57,7.869,0.886,,89.26,215.05,39.05,0.57,0.65,26.91,5.3,0,33.43,123.91,298.15,0.297,7.173,"WLE","CRC","wc","W2","A"
"COMPASS_Dec2021_054",7,0.77,8.254,0.812,0.285,50.78,167.03,27.97,0.38,0.47,22.76,5.12,0,28.74,107.23,31.55,0.183,8.85,"WLE","CRC","wc","W3","A"
"COMPASS_Dec2021_055",6.9,0.54,8.34,0.698,0.236,43.11,56.28,24.1,0.36,0.58,17.23,5.27,0,23.43,295.77,67.54,0.14,6.007,"WLE","CRC","wc","W4","A"
"COMPASS_Dec2021_056",6.4,0.36,6.017,0.526,0.127,42.38,52.82,18.49,0.29,0.27,13.11,4.55,0,18.22,,59.6,0.106,3.03,"WLE","CRC","wc","W5","A"
"COMPASS_Dec2021_057",6.4,0.28,7.346,0.644,0.098,34.84,19.47,11.08,0.29,0.3,15.69,4.59,0,20.88,150.2,40.51,0.102,2.239,"WLE","CRC","wc","W6","A"
"COMPASS_Dec2021_058",5.9,0.48,8.843,0.758,0.205,129.62,89.91,22.72,0.44,0.39,13.45,5.64,0,19.92,180.27,38.81,0.106,5.319,"WLE","CRC","wc","W7","A"
"COMPASS_Dec2021_059",6.8,0.56,6.452,0.631,0.16,60.77,50.8,18.83,0.37,0.74,13.8,4.52,0,19.43,254.24,101.49,0.156,7.605,"WLE","CRC","wc","W8","A"
"COMPASS_Dec2021_060",7.2,0.8,7.107,0.735,0.217,103.29,148.79,21.68,0.41,0.76,19.77,4.52,0,25.46,288.37,124.31,0.339,10.427,"WLE","CRC","wc","W9","A"
"COMPASS_Dec2021_061",6.2,0.1,4.754,0.355,0.039,67.23,53.54,12.41,0.03,0.6,5.55,1.91,0,8.08,25.6,44.84,0.005,0.026,"WLE","OWC","upland","101","A"
"COMPASS_Dec2021_062",6.6,0.07,4.447,0.306,0.024,67.19,42.37,12.06,0.02,0.93,5.47,2.27,0,8.69,22.57,11.58,0.003,0.02,"WLE","OWC","upland","102","A"
"COMPASS_Dec2021_063",6.3,0.07,5.817,0.366,0.029,81.27,27.49,10.83,0.04,0.77,5.56,2.06,0,8.42,19.59,10.51,0.002,0.017,"WLE","OWC","upland","103","A"
"COMPASS_Dec2021_064",5,0.07,5.128,0.371,0.027,81.67,26.17,19.06,0.03,0.81,3.22,1.3,0.24,5.6,18.39,25.26,0.011,0.046,"WLE","OWC","upland","104","A"
"COMPASS_Dec2021_065",5.7,0.11,6.135,0.444,0.033,70.08,73.19,13.16,0.03,0.61,5.61,2.02,0.02,8.29,19.21,26.13,0.01,0.042,"WLE","OWC","upland","105","A"
"COMPASS_Dec2021_066",6.3,0.04,3.017,0.256,0.017,36.7,30.16,10.08,0.02,0.55,3.88,1.36,0,5.82,24.82,11.7,0.003,0.018,"WLE","OWC","upland","106","A"
"COMPASS_Dec2021_067",6.4,0.08,4.282,0.343,0.024,62.53,49.38,11.85,0.02,0.75,5.15,1.91,0,7.83,23.82,8.64,0,0.029,"WLE","OWC","upland","107","A"
"COMPASS_Dec2021_068",6.6,0.14,7.039,0.469,0.034,86.42,82.18,12.82,0.04,0.94,8.29,2.36,0,11.63,12.78,16.46,0.005,0.033,"WLE","OWC","upland","108","A"
"COMPASS_Dec2021_069",6.7,0.07,5.381,0.342,0.022,71.68,39.9,12.53,0.03,1.01,5.21,2.25,0,8.5,34.36,33.14,0.004,0.009,"WLE","OWC","upland","109","A"
"COMPASS_Dec2021_001",5.5,0.17,7.84,0.537,0.055,1.74,112.29,13.32,0.08,1.11,7.7,2.94,0.04,11.87,42.92,,0.014,0.077,"WLE","PTR","upland","1","A"
"COMPASS_Dec2021_002",5.9,0.1,7.49,0.559,0.059,121.52,63.67,12.57,0.03,1.04,9.6,1.93,0.02,12.63,31.47,190.94,0.002,0.037,"WLE","PTR","upland","2","A"
"COMPASS_Dec2021_003",5.9,0.09,7.649,0.598,0.059,54.32,44.08,11.15,0.06,1.08,9.01,2.2,0.02,12.36,52.99,146.98,0.004,0.049,"WLE","PTR","upland","3","A"
"COMPASS_Dec2021_004",6.6,0.08,6.067,0.487,0.045,42.19,30.98,8.9,0.03,1.08,8.47,2.66,0,12.23,39.12,,0,0.026,"WLE","PTR","upland","4","A"
"COMPASS_Dec2021_005",6.5,0.09,6.576,0.549,0.052,38.48,35.7,11.04,0.04,1.41,7.91,2.6,0.02,11.97,39.04,,0.001,0.033,"WLE","PTR","upland","5","A"
"COMPASS_Dec2021_006",6.2,0.11,7.335,0.588,0.055,47.72,61.73,10.21,0.05,1.55,8.46,2.17,0,12.24,50.26,209.66,0.004,0.041,"WLE","PTR","upland","6","A"
"COMPASS_Dec2021_007",5.4,0.14,8.439,0.651,0.069,110.25,52.54,11.82,0.07,1.31,8.97,1.47,0.03,11.85,30.27,245.19,0.014,0.065,"WLE","PTR","upland","7","A"
"COMPASS_Dec2021_008",6.4,0.13,7.659,0.64,0.064,46.51,70.63,11.5,0.08,0.87,9.27,2.83,0.02,13.07,69.2,229.44,0.008,0.045,"WLE","PTR","upland","8","A"
