"sample_label","region","site","transect","tree_number","horizon","gwc_perc","pH","spConductance_mscm","TC_perc","TN_perc","TS_perc","percentOM","npoc_ug_g","dic_ugg","no3n_ug_g","nh4n_ug_g","Na_meq100g","K_meq100g","Ca_meq100g","Mg_meq100g","Al_meq100g","cec_meq100g","Fe_ugg","mehlichp_ugg","Chloride_meq100g","Sulfate_meq100g"
"COMPASS_Dec2021_034","WLE","CRC","upland","201","A",56.27,6.9,0.12,5.674,0.416,0.047,12.19,39.21,462.22,66.88,13.04,0.04,0.71,8.19,3.75,0,12.69,67.56,10.51,0.002,0.029
"COMPASS_Dec2021_035","WLE","CRC","upland","202","A",68.11,6.8,0.11,8.842,0.564,0.057,17.52,59.55,502.65,53.41,12.13,0.04,0.69,10.55,3.09,0,14.36,65.87,39.36,0.001,0.029
"COMPASS_Dec2021_036","WLE","CRC","upland","203","A",60.63,6.9,0.09,6.266,0.461,0.049,13.29,42.9,477.31,66.51,12.78,0.03,0.68,9.26,3.62,0,13.59,69.95,14.21,0.003,0.036
"COMPASS_Dec2021_037","WLE","CRC","upland","204","A",67.3,6.6,0.12,6.922,0.501,0.051,15.76,51.12,497.42,78.02,12.97,0.04,1.02,9.27,3.92,0,14.25,88.48,21.91,0.004,0.035
"COMPASS_Dec2021_038","WLE","CRC","upland","205","A",66.19,6.7,0.11,6.72,0.503,0.051,15.19,48.85,494.37,84.02,14.03,0.04,0.65,9.39,3.09,0,13.18,53.99,12.55,0.01,0.041
"COMPASS_Dec2021_039","WLE","CRC","upland","206","A",89.07,6.9,0.14,9.493,0.674,0.069,19.94,82.33,570.64,72.28,14.35,0.06,1.1,11.95,4.05,0,17.15,64.73,201.56,0.014,0.048
"COMPASS_Dec2021_040","WLE","CRC","upland","207","A",84.32,6.5,0.1,7.132,0.6,0.059,14.59,78.24,548.93,66.39,14.59,0.11,0.69,10.4,3.37,0,14.58,100.86,17.93,0.01,0.056
"COMPASS_Dec2021_041","WLE","CRC","upland","208","A",64.69,6.5,0.1,6.065,0.46,0.054,13.18,62.2,487.92,71.32,13.46,0.05,0.96,7.93,3.72,0,12.66,52.24,25.11,0.006,0.052
"COMPASS_Dec2021_042","WLE","CRC","upland","209","A",76.72,6.6,0.12,7.177,0.531,0.053,13.47,75.54,526.83,50.71,10.62,0.08,0.8,9.7,3.98,0,14.56,67.87,35.39,0.006,0.052
"COMPASS_Dec2021_043","WLE","CRC","transition","211","A",126.97,6.6,0.14,9.777,0.711,0.106,19.75,63.54,692.82,69.4,17.29,0.27,0.44,14.2,4.79,0,19.69,86.27,7.56,0.26,0.123
"COMPASS_Dec2021_044","WLE","CRC","transition","212","A",187.12,6.8,0.27,15.673,1.001,0.139,30.84,100.15,937.02,159.03,22.39,0.41,0.72,18.57,6.69,0,26.39,94.87,22.62,0.264,0.24
"COMPASS_Dec2021_045","WLE","CRC","transition","213","A",241.33,6.8,0.3,17.352,1.128,0.203,37.12,125.16,1109.52,181.8,23.65,0.5,0.45,21.99,6.99,0,29.93,183.79,28.53,0.447,0.347
"COMPASS_Dec2021_046","WLE","CRC","transition","214","A",203.66,6.1,0.25,10.059,0.739,0.17,19.02,53.27,983.83,36.16,23.25,0.31,0.51,14.74,5.07,0.04,20.66,123.76,24.71,0.263,1.892
"COMPASS_Dec2021_047","WLE","CRC","transition","215","A",218.29,6.1,0.21,10.683,0.762,0.136,22.33,65.1,990.94,66.96,23.89,0.53,0.93,14.32,6.84,0,22.62,124.66,20.27,0.23,1.059
"COMPASS_Dec2021_048","WLE","CRC","transition","216","A",175.94,6,0.21,10.232,0.724,0.148,21.74,51.26,870.58,57.36,20.93,0.31,0.39,15.21,4.54,0,20.45,123.21,19.99,0.152,1.336
"COMPASS_Dec2021_049","WLE","CRC","transition","217","A",169.27,6.8,0.21,13.248,0.894,0.149,29.49,89.37,847.16,77.02,22.05,0.38,0.36,11.97,4.29,0,17.01,169.54,15.26,0.44,0.271
