Analysis of Kaizad's Ammonium Extraction Samples (WBLE Sites),,,,,,,,,, ,, ,, ,, ,, ,
,,,,,,,,,,,,,,,,,,,
,, ,, ,, ,, ,,,,,,,,,,,
,,Na,,K,,Ca,,Mg,,Fe,,Al,,Mn,,P,,S,
,,mg L-1,stdev,mg L-1,stdev,mg L-1,stdev,mg L-1,stdev,mg L-1,stdev,mg L-1,stdev,mg L-1,stdev,mg L-1,stdev,mg L-1,stdev
,Sample Name,0=<0.2 mg L-1,,0=<0.6 mg L-1,,0=<0.02 mg L-1,,0=<0.2 mg L-1,,0=<0.04 mg L-1,,0=<0.2 mg L-1,,0=<0.04 mg L-1,,0=<0.8 mg L-1,,0=<2.0 mg L-1,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,PNNL 1,2.245,0.051,49.862,1.167,177.638,0.995,40.678,0.744,0.092,0.009,0.387,0.009,0.000,0.000,1.337,0.074,3.079,0.246
2,PNNL 2,0.948,0.028,47.784,1.453,226.656,1.745,27.282,0.237,0.040,0.001,0.237,0.004,0.109,0.001,2.150,0.055,2.579,0.099
3,PNNL 3,1.632,0.026,50.533,0.571,216.178,1.794,31.635,0.231,0.000,0.000,0.214,0.007,0.134,0.001,2.150,0.066,3.132,0.080
4,PNNL 4,0.769,0.032,52.793,1.378,212.714,3.680,40.060,0.361,0.000,0.000,0.000,0.000,0.032,0.001,1.004,0.058,2.316,0.042
5,PNNL 5,1.044,0.037,66.203,0.258,190.514,1.315,37.607,0.177,0.000,0.000,0.167,0.016,0.035,0.000,0.927,0.032,2.658,0.126
6,PNNL 6,1.517,0.011,73.788,0.612,206.037,1.257,31.630,0.120,0.000,0.000,0.000,0.000,0.000,0.000,3.106,0.080,2.895,0.289
7,PNNL 7,1.709,0.017,58.419,0.292,204.396,0.961,20.079,0.054,0.065,0.002,0.344,0.019,0.423,0.004,7.311,0.034,3.224,0.133
8,PNNL 8,2.331,0.020,41.557,0.628,226.250,0.588,41.375,0.137,0.000,0.000,0.196,0.016,0.031,0.001,2.949,0.049,2.737,0.237
9,PNNL 9,1.815,0.053,28.556,0.780,206.036,2.637,26.855,0.414,0.043,0.001,0.236,0.007,0.243,0.002,1.978,0.049,3.171,0.177
10,PNNL 10,3.806,0.026,44.458,0.218,196.278,0.471,28.163,0.149,0.035,0.001,0.210,0.011,0.070,0.001,3.403,0.036,3.816,0.296
11,PNNL 11,0.810,0.033,54.199,2.065,216.662,2.795,35.767,0.601,0.000,0.000,0.000,0.000,0.039,0.000,1.073,0.041,2.711,0.181
12,PNNL 12,0.457,0.011,0.000,0.000,0.724,0.022,0.929,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
