"","depth_cm","date","site","location","mean_VWC","sd_VWC","mean_EC","sd_EC","mean_Tsoil","sd_Tsoil","n"
"1","10",2022-04-11,"MSM","TR",0.44413844725,0.0204463008896897,2222.921875,111.13316832157,11.915625,0.146079723830125,64
"2","10",2022-04-11,"MSM","UP",0.431923422375,0.0142136598290838,1228.84722222222,85.585708845949,11.1159722222222,0.252169105887811,144
"3","10",2022-04-11,"MSM","W",0.616104274122449,0.016178689920237,5754.27551020408,186.188563138425,10.034693877551,0.341947738460745,98
"4","10",2022-04-12,"MSM","TR",0.453898153860294,0.0399894867006771,1849.06617647059,324.675101915402,12.7058823529412,0.846461242795316,272
"5","10",2022-04-12,"MSM","UP",0.430849942796875,0.0140123283317166,1246.3828125,89.7347225709704,11.6440104166667,0.695277287431874,384
"6","10",2022-04-12,"MSM","W",0.604934735265625,0.0155042020379674,6753.8125,876.451368479108,10.9239583333333,1.01818489476627,192
"7","10",2022-04-13,"MSM","TR",0.458079563148438,0.0454190418614437,1670.69791666667,231.997495700523,13.6419270833333,0.726044712241053,384
"8","10",2022-04-13,"MSM","UP",0.428794527367187,0.0138890123332672,1261.13541666667,87.3151753075628,12.9270833333333,0.616480224914841,384
"9","10",2022-04-13,"MSM","W",0.622011123625,0.0180686335959359,6073.15625,85.7823042962037,12.9291666666667,1.05680707167225,192
"10","10",2022-04-14,"MSM","TR",0.45824527928125,0.0454072107302273,1716.11979166667,284.632769175879,14.5255208333333,0.469681009002473,384
"11","10",2022-04-14,"MSM","UP",0.4270358554375,0.0141203658155682,1238.39583333333,66.0807290381816,13.94765625,0.431821361578983,384
"12","10",2022-04-14,"MSM","W",0.60747978353125,0.0125110863839605,7104.53645833333,1083.15983298621,14.4296875,0.682084813207549,192
"13","10",2022-04-15,"MSM","TR",0.458972288734375,0.0466521625000021,1688.421875,236.605518587881,14.0239583333333,0.380049410465437,384
"14","10",2022-04-15,"MSM","UP",0.426918768226562,0.0141241198505846,1227.06510416667,65.200461570629,13.6455729166667,0.260008404957205,384
"15","10",2022-04-15,"MSM","W",0.61534582984375,0.0181371032966805,6386.83854166667,525.257254322874,13.5114583333333,0.529619005935887,192
"16","10",2022-04-16,"MSM","TR",0.459794060945312,0.0466160674132784,1602.68229166667,191.929526608833,13.8588541666667,0.598016512240337,384
"17","10",2022-04-16,"MSM","UP",0.426227346578125,0.0141963841509492,1163.6484375,68.4437513537934,13.3158854166667,0.416980000767465,384
"18","10",2022-04-16,"MSM","W",0.608528063078125,0.00931729011351046,7831.66666666667,1230.62834303198,13.2369791666667,0.984613161651687,192
"19","10",2022-04-17,"MSM","TR",0.459197119210937,0.0466706458576092,1583.328125,208.670106152504,13.775,0.359721389142748,384
"20","10",2022-04-17,"MSM","UP",0.425693933570312,0.0142770606648509,1139.63802083333,79.9730810600979,13.3013020833333,0.245105342932441,384
"21","10",2022-04-17,"MSM","W",0.607718948125,0.00958562548256158,7500.671875,989.021189213202,12.9921875,0.542431414102498,192
"22","10",2022-04-18,"MSM","TR",0.459644588125,0.0459598291117221,1687.66666666667,348.020764563625,12.35703125,0.654649998419621,384
"23","10",2022-04-18,"MSM","UP",0.42760926053125,0.0148531969914338,1130.05729166667,96.3333087237705,12.0713541666667,0.476017244771036,384
"24","10",2022-04-18,"MSM","W",0.613255311484375,0.0160223190662047,6975.08333333333,917.273825259452,10.5291666666667,0.357980568271568,192
"25","10",2022-04-19,"MSM","TR",0.461541206992187,0.0452220548295147,1933.1328125,384.935226406838,11.4744791666667,0.423123706004657,384
"26","10",2022-04-19,"MSM","UP",0.432040159398437,0.0148704159932222,1159.63541666667,35.6433947364401,11.1270833333333,0.302808151025102,384
"27","10",2022-04-19,"MSM","W",0.600196536765625,0.00496677398259158,7549.68229166667,837.216885396267,9.8296875,0.310047971714698,192
"28","10",2022-04-20,"MSM","TR",0.461771138757813,0.0484845464415105,1889.36197916667,297.465879671801,11.69140625,0.632830354444639,384
"29","10",2022-04-20,"MSM","UP",0.43181385409375,0.0145399919273771,1169.66927083333,43.467853654104,11.0869791666667,0.463933955396173,384
"30","10",2022-04-20,"MSM","W",0.61344649365625,0.0164094978994513,6382.734375,110.96061876578,9.85677083333333,0.79662638774895,192
"31","10",2022-04-21,"MSM","TR",0.461035482367187,0.0482971123962674,1754.17447916667,287.067041732091,12.140625,0.307037771636469,384
"32","10",2022-04-21,"MSM","UP",0.431169344101562,0.0144891234062616,1169.96614583333,45.7600324971536,11.4770833333333,0.258021865070882,384
"33","10",2022-04-21,"MSM","W",0.619769708125,0.0152743642973425,6220.734375,154.286085210753,10.7958333333333,0.6354149679547,192
"34","10",2022-04-22,"MSM","TR",0.460547203140625,0.0481135112104827,1698.22135416667,299.400393758956,13.0088541666667,0.79032976531701,384
"35","10",2022-04-22,"MSM","UP",0.429878808882812,0.0144400527025299,1147.73958333333,27.1106406486357,12.3307291666667,0.665206530353069,384
"36","10",2022-04-22,"MSM","W",0.621293528828125,0.0142743641719783,6127.84895833333,221.021860753289,12.0197916666667,0.93625295186602,192
"37","10",2022-04-23,"MSM","TR",0.460501493570313,0.0476012347939163,1646.13541666667,291.308405918148,13.6244791666667,0.511716243561949,384
"38","10",2022-04-23,"MSM","UP",0.428295823328125,0.0145807863748778,1107.38802083333,46.9563762022429,12.9895833333333,0.362391005792361,384
"39","10",2022-04-23,"MSM","W",0.6218137795,0.0135300859596705,6016.72916666667,245.20533031311,12.4604166666667,0.87387674100197,192
"40","10",2022-04-24,"MSM","TR",0.46048976565625,0.0472004223597556,1615.02083333333,302.825449440014,14.3690104166667,0.827467784640018,384
"41","10",2022-04-24,"MSM","UP",0.426734172273438,0.014868486517408,1042.671875,89.7578211935021,13.6268229166667,0.59469746561527,384
"42","10",2022-04-24,"MSM","W",0.615341728609375,0.0123407283947678,6849.94791666667,1214.92729939814,14.3859375,1.54162495226806,192
"43","10",2022-04-25,"MSM","TR",0.458878879585937,0.0466452465037836,1585.30989583333,316.958934843321,14.8427083333333,0.708139148112603,384
"44","10",2022-04-25,"MSM","UP",0.425444808835937,0.015022882265415,1014.3671875,106.93734563663,14.02890625,0.473278495464277,384
"45","10",2022-04-25,"MSM","W",0.61836805571875,0.0161191062520897,7523.32291666667,1203.8139695108,15.2598958333333,1.26284229804072,192
"46","10",2022-04-26,"MSM","TR",0.45588959490625,0.0442095441875387,1562.4453125,330.203951737382,15.0151041666667,0.232549698965879,384
"47","10",2022-04-26,"MSM","UP",0.424613450242187,0.0151338678507339,993.40625,120.902250236592,14.2598958333333,0.198574527336402,384
"48","10",2022-04-26,"MSM","W",0.611423534546875,0.00250999087171311,8462.61979166667,882.696847051535,15.4057291666667,0.488097588713776,192
"49","10",2022-04-27,"MSM","TR",0.45029793559375,0.0438834736768715,1548.15364583333,357.57090236995,14.36796875,0.385832711842082,384
"50","10",2022-04-27,"MSM","UP",0.423372735929687,0.0146440295972111,962.036458333333,141.570540680144,13.7486979166667,0.254768358200731,384
"51","10",2022-04-27,"MSM","W",0.615849008875,0.014840700261201,7282.33333333333,686.433550460063,13.8151041666667,0.602725910446788,192
"52","10",2022-04-28,"MSM","TR",0.439280757367187,0.0439325813597782,1504.3046875,388.868094826244,13.4494791666667,0.533425542099661,384
"53","10",2022-04-28,"MSM","UP",0.42278216828125,0.0147209921214045,929.486979166667,150.227329347082,12.8119791666667,0.355724890889377,384
"54","10",2022-04-28,"MSM","W",0.623479304921875,0.0146642930671384,6515.72916666667,188.764651893668,11.5052083333333,0.480917489557879,192
"55","10",2022-04-29,"MSM","TR",0.433395617359375,0.0434603954220234,1456.03385416667,403.574422848867,13.3234375,0.674583446558509,384
"56","10",2022-04-29,"MSM","UP",0.420810999882813,0.0142451650724345,890.481770833333,154.492243988916,12.6760416666667,0.359792452985625,384
"57","10",2022-04-29,"MSM","W",0.6220105579375,0.0132817727569731,6349.83854166667,263.032098401479,10.6213541666667,0.800465989665282,192
"58","10",2022-04-30,"MSM","TR",0.425941926929688,0.0421755303545244,1395.4921875,399.850357049735,13.37890625,0.674989876386708,384
"59","10",2022-04-30,"MSM","UP",0.418598525359375,0.0138886794669863,850.4140625,150.282424843604,12.7375,0.389349058423209,384
"60","10",2022-04-30,"MSM","W",0.60926638628125,0.00689760004747855,8065.23958333333,1210.89140065661,10.3588541666667,1.50730324689418,192
"61","10",2022-05-01,"MSM","TR",0.418872156484375,0.0399775957520518,1347.67447916667,388.307892124136,13.7533854166667,0.354735215334282,384
"62","10",2022-05-01,"MSM","UP",0.415665223539062,0.0145969197226789,828.5234375,155.566695787637,13.0453125,0.275603124520443,384
"63","10",2022-05-01,"MSM","W",0.610572457703125,0.00426094847396071,8718.453125,857.220076509723,12.0734375,0.973186408993269,192
"64","10",2022-05-02,"MSM","TR",0.415247332,0.0378537677682514,1331.84895833333,384.441574735791,14.9002604166667,0.999360074566693,384
"65","10",2022-05-02,"MSM","UP",0.4130325038125,0.0147441998919308,817.682291666667,160.835232162973,13.9440104166667,0.664909785903249,384
"66","10",2022-05-02,"MSM","W",0.61162134334375,0.00191627189960389,8985.734375,526.115287333584,14.5598958333333,1.39220191319469,192
"67","10",2022-05-03,"MSM","TR",0.41207184521875,0.0350301933160369,1326.81770833333,381.755301582202,15.6359375,0.648323933675521,384
"68","10",2022-05-03,"MSM","UP",0.409972750632812,0.0133938109370232,797.484375,163.14517959374,14.5979166666667,0.42805752685957,384
"69","10",2022-05-03,"MSM","W",0.612883937640625,0.00259281634900151,8910.65104166667,643.491220522053,15.75,1.17178880573062,192
"70","10",2022-05-04,"MSM","TR",0.43065120465625,0.0320327667455164,1640.73958333333,595.887914965486,15.665625,0.545683871603752,384
"71","10",2022-05-04,"MSM","UP",0.407636471359375,0.0124304370279889,782.658854166667,162.319048155119,14.6455729166667,0.411113478639911,384
"72","10",2022-05-04,"MSM","W",0.615256875484375,0.00157179443748269,9105.90104166667,615.667624342738,16.4916666666667,0.902372285539786,192
"73","10",2022-05-05,"MSM","TR",0.44439773415625,0.0266171173158803,1705.17708333333,511.596956955772,15.5614583333333,0.211358797641111,384
"74","10",2022-05-05,"MSM","UP",0.40604000021875,0.0122537678683763,771.088541666667,163.497247200845,14.7294270833333,0.164129748381402,384
"75","10",2022-05-05,"MSM","W",0.613426553171875,0.00392456296074165,8799.46875,667.407862976477,16.0984375,0.390928089221545,192
"76","10",2022-05-06,"MSM","TR",0.444330437546875,0.0288686672387501,1740.5703125,553.480051462565,15.2419270833333,0.25749837870327,384
"77","10",2022-05-06,"MSM","UP",0.406163017046875,0.0132816617870938,768.700520833333,160.413260033284,14.5205729166667,0.196227301714637,384
"78","10",2022-05-06,"MSM","W",0.614658499328125,0.00782905032832448,8571.109375,963.80246260702,15.20625,0.366621050629117,192
"79","10",2022-05-07,"MSM","TR",0.457539806359375,0.0398647004289063,2315.3359375,728.264953478413,14.6911458333333,0.361711538608807,384
"80","10",2022-05-07,"MSM","UP",0.418155036460937,0.0148205049193801,768.971354166667,161.068419408643,14.0684895833333,0.265848677772629,384
"81","10",2022-05-07,"MSM","W",0.612635560421875,0.00251003515546489,8875.64583333333,897.971914801974,14.5505208333333,0.336597915370495,192
"82","10",2022-05-08,"MSM","TR",0.459985677484375,0.0429652970064933,2383.97135416667,757.044043137769,13.6174479166667,0.328510758467769,384
"83","10",2022-05-08,"MSM","UP",0.423807769820312,0.0157754729484292,855.408854166667,203.105696093509,13.0768229166667,0.274806953168963,384
"84","10",2022-05-08,"MSM","W",0.610153727734375,0.00273422757259725,8759.38541666667,1011.03386895995,12.8416666666667,0.347968424476719,192
"85","10",2022-05-09,"MSM","TR",0.470608329085937,0.0478530704981515,3781.296875,1330.78116417966,13.6973958333333,0.94191266417209,384
"86","10",2022-05-09,"MSM","UP",0.42237075184375,0.0156971918257769,824.455729166667,206.553789626011,13.1424479166667,0.48973296650449,384
"87","10",2022-05-09,"MSM","W",0.61028333078125,0.00300237101184397,8847.6875,1069.38573954754,12.9776041666667,1.00191883421215,192
"88","10",2022-05-10,"MSM","TR",0.487016852640625,0.0502803484614708,5577.234375,872.427636814916,14.5546875,0.721131187298843,384
"89","10",2022-05-10,"MSM","UP",0.419465693992187,0.0152212237071811,792.0546875,194.762530987519,13.6674479166667,0.43520979892669,384
"90","10",2022-05-10,"MSM","W",0.61262988334375,0.00315295775919979,8866.16145833333,1031.61153854776,15.0609375,0.563074168856562,192
"91","10",2022-05-11,"MSM","TR",0.492542397226563,0.04863195076212,5923.68489583333,728.97864254423,14.8174479166667,0.694801846309676,384
"92","10",2022-05-11,"MSM","UP",0.417053653,0.0152601504034617,779.330729166667,192.10077450391,13.8359375,0.270595815378326,384
"93","10",2022-05-11,"MSM","W",0.613752550796875,0.00308961428569648,8821.63020833333,994.535995744433,15.8255208333333,0.331464684785627,192
"94","10",2022-05-12,"MSM","TR",0.495496477960937,0.0462828534432875,5954.35416666667,541.92522061125,15.4143229166667,0.630825278923004,384
"95","10",2022-05-12,"MSM","UP",0.415541752140625,0.0150235615231796,774.403645833333,189.744148438282,14.21328125,0.311997964883401,384
"96","10",2022-05-12,"MSM","W",0.614479338015625,0.00344657070555194,8750.28125,934.121041106115,16.3026041666667,0.354098648637412,192
"97","10",2022-05-13,"MSM","TR",0.494563315820312,0.0420799715261253,5575.0859375,785.320366956915,16.1510416666667,0.498403674547487,384
"98","10",2022-05-13,"MSM","UP",0.418675044695312,0.0161514905977273,789.9921875,196.533290163425,14.8859375,0.488467691233095,384
"99","10",2022-05-13,"MSM","W",0.615404479515625,0.0033990016233809,8652.28645833333,840.073567100091,17.265625,0.773220385399858,192
"100","10",2022-05-14,"MSM","TR",0.492402733023438,0.0385883472468748,5158.80989583333,921.671997979781,16.5955729166667,0.166224186895182,384
"101","10",2022-05-14,"MSM","UP",0.4210567001875,0.0167721946259584,818.263020833333,217.708757203688,15.5192708333333,0.256901581430205,384
"102","10",2022-05-14,"MSM","W",0.615735043046875,0.00357802376727355,8521.29166666667,916.918038515044,17.8875,0.159678997363313,192
"103","10",2022-05-15,"MSM","TR",0.491057528148438,0.038120622382367,4840.56510416667,988.854671996859,17.0606770833333,0.680685079487498,384
"104","10",2022-05-15,"MSM","UP",0.422327668679687,0.0171777500333521,866.747395833333,241.187101663556,15.99296875,0.558511205478376,384
"105","10",2022-05-15,"MSM","W",0.615013993515625,0.00420700869589217,8318.73958333333,1010.90229505759,18.3255208333333,0.864255112849939,192
"106","10",2022-05-16,"MSM","TR",0.491308107507813,0.0383555900324625,4715.97395833333,949.074907200016,17.7096354166667,0.43614244492733,384
"107","10",2022-05-16,"MSM","UP",0.422282151039062,0.0174033784928003,875.385416666667,245.085049224449,16.5572916666667,0.395072731293004,384
"108","10",2022-05-16,"MSM","W",0.616188845640625,0.00393727372908471,8194.09375,998.80788711013,19.184375,0.597521604682899,192
"109","10",2022-05-17,"MSM","TR",0.490625009546875,0.0405281185000953,4299.328125,954.339584995249,17.7036458333333,0.562897427534673,384
"110","10",2022-05-17,"MSM","UP",0.420362591523437,0.0173090044490672,828.6328125,251.280528465305,16.5109375,0.379686769694362,384
"111","10",2022-05-17,"MSM","W",0.6152418645625,0.00457334219071464,8198.75,970.801708957696,19.1520833333333,0.733417613751237,192
"112","10",2022-05-18,"MSM","TR",0.490161913515625,0.0411465817460504,3808.78385416667,959.019466419221,17.46171875,0.374400358257985,384
"113","10",2022-05-18,"MSM","UP",0.417900749828125,0.0166165481100749,776.830729166667,241.449820167663,16.4033854166667,0.272909088614487,384
"114","10",2022-05-18,"MSM","W",0.61351627525,0.00549679061156424,8162.84895833333,743.750973847017,18.028125,0.892223896606335,192
"115","10",2022-05-19,"MSM","TR",0.489968559507812,0.041334699092467,3714.890625,934.451612274341,17.7940104166667,0.793340796058141,384
"116","10",2022-05-19,"MSM","UP",0.415313173984375,0.0162180744800129,756.020833333333,244.972092156629,16.7580729166667,0.654637950201646,384
"117","10",2022-05-19,"MSM","W",0.615966611265625,0.00470230965350822,8244.75520833333,584.139172861366,18.8963541666667,1.34683543757164,192
"118","10",2022-05-20,"MSM","TR",0.491321168828125,0.0410370434615222,3585.29947916667,862.315327881551,18.72578125,0.600162653377514,384
"119","10",2022-05-20,"MSM","UP",0.411978133023437,0.0161847911118387,739.729166666667,245.253190605496,17.6026041666667,0.625893399763659,384
"120","10",2022-05-20,"MSM","W",0.617091198015625,0.00453451046775117,8447.78125,581.800179855683,20.0770833333333,1.00344737368865,192
"121","10",2022-05-21,"MSM","TR",0.491611639257812,0.040058644609013,3368.59375,783.804803698128,19.6403645833333,0.657720465987991,384
"122","10",2022-05-21,"MSM","UP",0.4070617530625,0.0153048569163801,722.302083333333,242.584909945997,18.5442708333333,0.644088190759671,384
"123","10",2022-05-21,"MSM","W",0.619769930359375,0.00282266475602257,8556.99479166667,575.491608623243,21.6520833333333,0.932932006710484,192
"124","10",2022-05-22,"MSM","TR",0.490427503796875,0.0394742192480836,3272.94010416667,799.700942181085,20.1544270833333,0.589801209946312,384
"125","10",2022-05-22,"MSM","UP",0.403305355726563,0.0138493990680967,709.736979166667,238.466217535594,19.0013020833333,0.56056049197688,384
"126","10",2022-05-22,"MSM","W",0.619988002890625,0.00340528422103464,8620.19270833333,598.893298146134,22.265625,0.840883121535787,192
"127","10",2022-05-23,"MSM","TR",0.490190844390625,0.0390500024105977,3294.09895833333,843.114492594531,19.746875,0.33427467169346,384
"128","10",2022-05-23,"MSM","UP",0.403342135515625,0.0136958636742721,694.807291666667,237.877932030727,18.7486979166667,0.278748363262922,384
"129","10",2022-05-23,"MSM","W",0.625225016546875,0.0132049387199919,8127.72916666667,719.355746945262,21.4322916666667,0.50639776838517,192
"130","10",2022-05-24,"MSM","TR",0.489751032460937,0.0392160715127638,4054.03645833333,1188.01716619713,18.4580729166667,0.527556498300459,384
"131","10",2022-05-24,"MSM","UP",0.415017763890625,0.0175518451886878,668.200520833333,300.713388348179,17.59609375,0.374528914287102,384
"132","10",2022-05-24,"MSM","W",0.618047815984375,0.00749110252574377,8427.75,815.167358270392,19.1833333333333,0.514840831737764,192
"133","10",2022-05-25,"MSM","TR",0.489687624953125,0.0426425673332046,3760.4296875,1079.62408855533,17.8125,0.340863593767559,384
"134","10",2022-05-25,"MSM","UP",0.418307388226562,0.0165178864972297,651.033854166667,305.223038595623,17.0713541666667,0.255206340687768,384
"135","10",2022-05-25,"MSM","W",0.615907698953125,0.003386327167042,8456.48958333333,890.382728399583,18.4453125,0.515395345890361,192
"136","10",2022-05-26,"MSM","TR",0.489615631117187,0.0427936053669738,3501.375,969.496924804956,17.7755208333333,0.295527566642739,384
"137","10",2022-05-26,"MSM","UP",0.415844910132812,0.0161085095014614,643.033854166667,281.078223132477,17.0364583333333,0.245425954297107,384
"138","10",2022-05-26,"MSM","W",0.615976106734375,0.00373016416705783,8458.36458333333,998.025911380167,18.5833333333333,0.424798484203394,192
"139","10",2022-05-27,"MSM","TR",0.489666320757812,0.0406720862432948,3873.14583333333,1155.00370376056,18.2854166666667,0.282927318778257,384
"140","10",2022-05-27,"MSM","UP",0.419099956820312,0.0172720973301531,641.041666666667,297.985084410103,17.5666666666667,0.330255591079868,384
"141","10",2022-05-27,"MSM","W",0.616457466390625,0.00350421555620969,8433.58333333333,898.819734143152,19.2442708333333,0.29845762252501,192
"142","10",2022-05-28,"MSM","TR",0.4898910098125,0.0402680105464263,4085.91145833333,1318.21560001352,18.7981770833333,0.510538352930395,384
"143","10",2022-05-28,"MSM","UP",0.424047904164062,0.0179787773914903,688.385416666667,328.07867361229,18.01328125,0.407764924935719,384
"144","10",2022-05-28,"MSM","W",0.616013724953125,0.0044131515938407,8204.66145833333,785.157452428251,20.0947916666667,0.749012584445643,192
"145","10",2022-05-29,"MSM","TR",0.490887074382812,0.0418786060719767,3549.02864583333,1148.31529304112,19.18828125,0.560904867657036,384
"146","10",2022-05-29,"MSM","UP",0.4203311655625,0.0177083861451524,664.572916666667,301.758622428171,18.3268229166667,0.492114646151163,384
"147","10",2022-05-29,"MSM","W",0.619980406515625,0.0120982722923978,7805.08854166667,720.293960841744,19.5010416666667,0.83063021449296,192
"148","10",2022-05-30,"MSM","TR",0.49176436478125,0.0408057222315997,3189.11458333333,960.194558394047,19.75234375,0.593123982884782,384
"149","10",2022-05-30,"MSM","UP",0.415730237195312,0.0164042333459866,636.541666666667,293.014267884071,18.87890625,0.586352936928697,384
"150","10",2022-05-30,"MSM","W",0.62030949521875,0.0100325069337855,7962.84375,611.461305674935,20.2078125,1.04269656765473,192
"151","10",2022-05-31,"MSM","TR",0.489910738164062,0.0395133557979882,2995.50260416667,884.037840472599,20.42421875,0.646470161754713,384
"152","10",2022-05-31,"MSM","UP",0.4102774440625,0.0152880204822658,627.822916666667,287.904203127388,19.56953125,0.635571976981586,384
"153","10",2022-05-31,"MSM","W",0.62230370528125,0.00937489651613512,8126.34375,582.601833951871,21.7557291666667,1.01932555958454,192
"154","10",2022-06-01,"MSM","TR",0.48423441765625,0.0379345335947629,2887.58854166667,873.287449034514,21.13515625,0.538432573398569,384
"155","10",2022-06-01,"MSM","UP",0.40582520059375,0.0139878026385718,615.354166666667,281.658895201805,20.2302083333333,0.517045188275537,384
"156","10",2022-06-01,"MSM","W",0.6294419138125,0.014618993675977,7820.85416666667,545.065152533262,22.146875,0.693568528456216,192
"157","10",2022-06-02,"MSM","TR",0.489499251015625,0.0364421594696438,4025.78125,1244.06543994447,21.4643229166667,0.406735792761274,384
"158","10",2022-06-02,"MSM","UP",0.408289406054687,0.017056408399781,614.049479166667,286.092866205578,20.48203125,0.423481824188187,384
"159","10",2022-06-02,"MSM","W",0.624016748453125,0.00812757342268063,8469.99479166667,699.752892041451,23.8890625,1.50647299896044,192
"160","10",2022-06-03,"MSM","TR",0.496265691742187,0.0377807170737105,4130.63802083333,1221.69286167327,20.95703125,0.288242244839619,384
