pF [-],kPa,Water Content [Vol%],zone,type
0.022,0.105,49.11,upland,measured
0.072,0.118,48.93,upland,measured
0.118,0.131,48.74,upland,measured
0.152,0.142,48.54,upland,measured
0.18,0.151,48.3,upland,measured
0.217,0.165,48.05,upland,measured
0.239,0.173,47.79,upland,measured
0.262,0.183,47.51,upland,measured
0.291,0.195,47.21,upland,measured
0.313,0.206,46.89,upland,measured
0.329,0.213,46.55,upland,measured
0.34,0.219,46.19,upland,measured
0.358,0.228,45.82,upland,measured
0.378,0.239,45.42,upland,measured
0.395,0.248,45.02,upland,measured
0.421,0.264,44.59,upland,measured
0.446,0.279,44.16,upland,measured
0.465,0.292,43.72,upland,measured
0.485,0.305,43.24,upland,measured
0.509,0.323,42.75,upland,measured
0.537,0.344,42.25,upland,measured
0.571,0.372,41.74,upland,measured
0.607,0.405,41.2,upland,measured
0.644,0.441,40.65,upland,measured
0.683,0.482,40.09,upland,measured
0.721,0.526,39.51,upland,measured
0.765,0.582,38.91,upland,measured
0.811,0.647,38.28,upland,measured
0.854,0.714,37.64,upland,measured
0.895,0.785,37.01,upland,measured
0.94,0.871,36.35,upland,measured
0.987,0.971,35.71,upland,measured
1.032,1.076,35.07,upland,measured
1.076,1.191,34.45,upland,measured
1.119,1.315,33.83,upland,measured
1.168,1.472,33.19,upland,measured
1.223,1.671,32.53,upland,measured
1.278,1.897,31.85,upland,measured
1.335,2.163,31.17,upland,measured
1.395,2.483,30.47,upland,measured
1.456,2.858,29.76,upland,measured
1.521,3.319,29.03,upland,measured
1.587,3.864,28.28,upland,measured
1.655,4.519,27.5,upland,measured
1.721,5.260,26.74,upland,measured
1.781,6.039,26.04,upland,measured
1.84,6.918,25.31,upland,measured
1.899,7.925,24.53,upland,measured
1.956,9.036,23.77,upland,measured
2.008,10.186,23.05,upland,measured
2.056,11.376,22.34,upland,measured
2.102,12.647,21.6,upland,measured
2.145,13.964,20.83,upland,measured
2.182,15.205,20.06,upland,measured
2.211,16.255,19.36,upland,measured
2.234,17.140,18.7,upland,measured
2.254,17.947,18.1,upland,measured
2.271,18.664,17.57,upland,measured
2.288,19.409,17.08,upland,measured
2.305,20.184,16.6,upland,measured
2.322,20.989,16.16,upland,measured
2.339,21.827,15.73,upland,measured
2.357,22.751,15.31,upland,measured
2.375,23.714,14.89,upland,measured
2.393,24.717,14.48,upland,measured
2.408,25.586,14.12,upland,measured
2.426,26.669,13.75,upland,measured
2.446,27.925,13.37,upland,measured
2.467,29.309,13.01,upland,measured
2.487,30.690,12.67,upland,measured
