pF [-],kPa,Water Content [Vol%],zone,type
2.507,32.137,12.34,upland,measured
2.527,33.651,12.02,upland,measured
2.548,35.318,11.7,upland,measured
2.567,36.898,11.38,upland,measured
2.585,38.459,11.07,upland,measured
2.602,39.994,10.79,upland,measured
2.618,41.495,10.51,upland,measured
2.634,43.053,10.22,upland,measured
2.65,44.668,9.91,upland,measured
2.665,46.238,9.59,upland,measured
2.681,47.973,9.27,upland,measured
2.697,49.774,8.95,upland,measured
2.713,51.642,8.63,upland,measured
2.728,53.456,8.3,upland,measured
2.743,55.335,7.95,upland,measured
2.758,57.280,7.59,upland,measured
2.773,59.293,7.22,upland,measured
2.79,61.660,6.82,upland,measured
2.807,64.121,6.42,upland,measured
2.822,66.374,6.04,upland,measured
2.836,68.549,5.66,upland,measured
6.13,134896.288,3.55,upland,measured
0.006,0.101,48.3,upland,fitted
0.026,0.106,48.22,upland,fitted
0.046,0.111,48.13,upland,fitted
0.066,0.116,48.05,upland,fitted
0.086,0.122,47.95,upland,fitted
0.106,0.128,47.86,upland,fitted
0.126,0.134,47.76,upland,fitted
0.146,0.140,47.65,upland,fitted
0.166,0.147,47.54,upland,fitted
0.186,0.153,47.42,upland,fitted
0.206,0.161,47.3,upland,fitted
0.226,0.168,47.17,upland,fitted
0.246,0.176,47.03,upland,fitted
0.267,0.185,46.89,upland,fitted
0.287,0.194,46.74,upland,fitted
0.307,0.203,46.59,upland,fitted
0.327,0.212,46.42,upland,fitted
0.347,0.222,46.25,upland,fitted
0.367,0.233,46.08,upland,fitted
0.387,0.244,45.9,upland,fitted
0.407,0.255,45.7,upland,fitted
0.427,0.267,45.51,upland,fitted
0.447,0.280,45.3,upland,fitted
0.467,0.293,45.09,upland,fitted
0.487,0.307,44.86,upland,fitted
0.507,0.321,44.64,upland,fitted
0.527,0.337,44.4,upland,fitted
0.547,0.352,44.15,upland,fitted
0.567,0.369,43.9,upland,fitted
0.587,0.386,43.64,upland,fitted
0.607,0.405,43.37,upland,fitted
0.627,0.424,43.09,upland,fitted
0.647,0.444,42.81,upland,fitted
0.667,0.465,42.52,upland,fitted
0.687,0.486,42.22,upland,fitted
0.707,0.509,41.91,upland,fitted
0.727,0.533,41.6,upland,fitted
0.747,0.558,41.28,upland,fitted
0.768,0.586,40.95,upland,fitted
0.788,0.614,40.62,upland,fitted
0.808,0.643,40.28,upland,fitted
0.828,0.673,39.94,upland,fitted
0.848,0.705,39.59,upland,fitted
0.868,0.738,39.23,upland,fitted
0.888,0.773,38.87,upland,fitted
0.908,0.809,38.51,upland,fitted
0.928,0.847,38.14,upland,fitted
0.948,0.887,37.77,upland,fitted
0.968,0.929,37.39,upland,fitted
0.988,0.973,37.01,upland,fitted
1.008,1.019,36.63,upland,fitted
1.028,1.067,36.24,upland,fitted
1.048,1.117,35.85,upland,fitted
1.068,1.169,35.46,upland,fitted
1.088,1.225,35.07,upland,fitted
1.108,1.282,34.68,upland,fitted
1.128,1.343,34.29,upland,fitted
1.148,1.406,33.9,upland,fitted
1.168,1.472,33.5,upland,fitted
1.188,1.542,33.11,upland,fitted
1.208,1.614,32.71,upland,fitted
1.228,1.690,32.32,upland,fitted
1.248,1.770,31.93,upland,fitted
1.269,1.858,31.54,upland,fitted
1.289,1.945,31.15,upland,fitted
1.309,2.037,30.76,upland,fitted
1.329,2.133,30.37,upland,fitted
1.349,2.234,29.99,upland,fitted
1.369,2.339,29.6,upland,fitted
1.389,2.449,29.22,upland,fitted
1.409,2.564,28.84,upland,fitted
1.429,2.685,28.47,upland,fitted
1.449,2.812,28.09,upland,fitted
1.469,2.944,27.72,upland,fitted
1.489,3.083,27.36,upland,fitted
1.509,3.228,26.99,upland,fitted
1.529,3.381,26.63,upland,fitted
1.549,3.540,26.27,upland,fitted
1.569,3.707,25.92,upland,fitted
1.589,3.882,25.57,upland,fitted
1.609,4.064,25.22,upland,fitted
1.629,4.256,24.87,upland,fitted
1.649,4.457,24.53,upland,fitted
1.669,4.667,24.2,upland,fitted
1.689,4.887,23.86,upland,fitted
1.709,5.117,23.53,upland,fitted
1.729,5.358,23.21,upland,fitted
1.749,5.610,22.88,upland,fitted
1.77,5.888,22.56,upland,fitted
1.79,6.166,22.25,upland,fitted
1.81,6.457,21.94,upland,fitted
1.83,6.761,21.63,upland,fitted
1.85,7.079,21.33,upland,fitted
1.87,7.413,21.02,upland,fitted
1.89,7.762,20.73,upland,fitted
1.91,8.128,20.44,upland,fitted
1.93,8.511,20.15,upland,fitted
1.95,8.913,19.86,upland,fitted
1.97,9.333,19.58,upland,fitted
1.99,9.772,19.3,upland,fitted
2.01,10.233,19.03,upland,fitted
2.03,10.715,18.76,upland,fitted
2.05,11.220,18.49,upland,fitted
2.07,11.749,18.22,upland,fitted
2.09,12.303,17.96,upland,fitted
2.11,12.882,17.71,upland,fitted
2.13,13.490,17.45,upland,fitted
2.15,14.125,17.2,upland,fitted
2.17,14.791,16.96,upland,fitted
2.19,15.488,16.71,upland,fitted
2.21,16.218,16.47,upland,fitted
2.23,16.982,16.24,upland,fitted
2.251,17.824,16.01,upland,fitted
2.271,18.664,15.78,upland,fitted
2.291,19.543,15.55,upland,fitted
2.311,20.464,15.32,upland,fitted
2.331,21.429,15.1,upland,fitted
2.351,22.439,14.89,upland,fitted
2.371,23.496,14.67,upland,fitted
2.391,24.604,14.46,upland,fitted
2.411,25.763,14.25,upland,fitted
2.431,26.977,14.05,upland,fitted
2.451,28.249,13.84,upland,fitted
2.471,29.580,13.64,upland,fitted
2.491,30.974,13.45,upland,fitted
2.511,32.434,13.25,upland,fitted
2.531,33.963,13.06,upland,fitted
2.551,35.563,12.87,upland,fitted
2.571,37.239,12.69,upland,fitted
2.591,38.994,12.5,upland,fitted
2.611,40.832,12.32,upland,fitted
2.631,42.756,12.15,upland,fitted
2.651,44.771,11.97,upland,fitted
2.671,46.881,11.8,upland,fitted
2.691,49.091,11.63,upland,fitted
2.711,51.404,11.46,upland,fitted
2.731,53.827,11.29,upland,fitted
2.752,56.494,11.13,upland,fitted
2.772,59.156,10.97,upland,fitted
2.792,61.944,10.81,upland,fitted
2.812,64.863,10.65,upland,fitted
2.832,67.920,10.5,upland,fitted
2.852,71.121,10.35,upland,fitted
2.872,74.473,10.2,upland,fitted
2.892,77.983,10.05,upland,fitted
2.912,81.658,9.9,upland,fitted
2.932,85.507,9.76,upland,fitted
2.952,89.536,9.62,upland,fitted
2.972,93.756,9.48,upland,fitted
2.992,98.175,9.34,upland,fitted
3.012,102.802,9.21,upland,fitted
3.032,107.647,9.07,upland,fitted
3.052,112.720,8.94,upland,fitted
3.072,118.032,8.81,upland,fitted
3.092,123.595,8.69,upland,fitted
3.112,129.420,8.56,upland,fitted
3.132,135.519,8.44,upland,fitted
3.152,141.906,8.31,upland,fitted
3.172,148.594,8.19,upland,fitted
3.192,155.597,8.07,upland,fitted
3.212,162.930,7.96,upland,fitted
3.232,170.608,7.84,upland,fitted
3.253,179.061,7.73,upland,fitted
3.273,187.499,7.62,upland,fitted
3.293,196.336,7.51,upland,fitted
3.313,205.589,7.4,upland,fitted
3.333,215.278,7.29,upland,fitted
3.353,225.424,7.18,upland,fitted
3.373,236.048,7.08,upland,fitted
3.393,247.172,6.98,upland,fitted
3.413,258.821,6.88,upland,fitted
3.433,271.019,6.78,upland,fitted
3.453,283.792,6.68,upland,fitted
3.473,297.167,6.58,upland,fitted
3.493,311.172,6.49,upland,fitted
3.513,325.837,6.39,upland,fitted
3.533,341.193,6.3,upland,fitted
3.553,357.273,6.21,upland,fitted
3.573,374.111,6.12,upland,fitted
3.593,391.742,6.03,upland,fitted
3.613,410.204,5.94,upland,fitted
3.633,429.536,5.86,upland,fitted
3.653,449.780,5.77,upland,fitted
3.673,470.977,5.69,upland,fitted
3.693,493.174,5.61,upland,fitted
3.713,516.416,5.52,upland,fitted
3.733,540.754,5.44,upland,fitted
3.754,567.545,5.37,upland,fitted
3.774,594.292,5.29,upland,fitted
3.794,622.300,5.21,upland,fitted
3.814,651.628,5.14,upland,fitted
3.834,682.339,5.06,upland,fitted
3.854,714.496,4.99,upland,fitted
3.874,748.170,4.92,upland,fitted
3.894,783.430,4.84,upland,fitted
3.914,820.352,4.77,upland,fitted
3.934,859.014,4.7,upland,fitted
3.954,899.498,4.64,upland,fitted
3.974,941.890,4.57,upland,fitted
3.994,986.279,4.5,upland,fitted
4.014,1032.761,4.44,upland,fitted
4.034,1081.434,4.37,upland,fitted
4.054,1132.400,4.31,upland,fitted
4.074,1185.769,4.25,upland,fitted
4.094,1241.652,4.19,upland,fitted
4.114,1300.170,4.13,upland,fitted
4.134,1361.445,4.07,upland,fitted
4.154,1425.608,4.01,upland,fitted
4.174,1492.794,3.95,upland,fitted
4.194,1563.148,3.89,upland,fitted
4.214,1636.817,3.83,upland,fitted
4.234,1713.957,3.78,upland,fitted
4.255,1798.871,3.72,upland,fitted
4.275,1883.649,3.67,upland,fitted
4.295,1972.423,3.62,upland,fitted
4.315,2065.380,3.56,upland,fitted
4.335,2162.719,3.51,upland,fitted
4.355,2264.644,3.46,upland,fitted
4.375,2371.374,3.41,upland,fitted
4.395,2483.133,3.36,upland,fitted
4.415,2600.160,3.31,upland,fitted
4.435,2722.701,3.27,upland,fitted
4.455,2851.018,3.22,upland,fitted
4.475,2985.383,3.17,upland,fitted
4.495,3126.079,3.13,upland,fitted
4.515,3273.407,3.08,upland,fitted
4.535,3427.678,3.04,upland,fitted
4.555,3589.219,2.99,upland,fitted
4.575,3758.374,2.95,upland,fitted
4.595,3935.501,2.91,upland,fitted
4.615,4120.975,2.86,upland,fitted
4.635,4315.191,2.82,upland,fitted
4.655,4518.559,2.78,upland,fitted
4.675,4731.513,2.74,upland,fitted
4.695,4954.502,2.7,upland,fitted
4.715,5188.000,2.66,upland,fitted
4.735,5432.503,2.62,upland,fitted
4.756,5701.643,2.59,upland,fitted
4.776,5970.353,2.55,upland,fitted
4.796,6251.727,2.51,upland,fitted
4.816,6546.362,2.47,upland,fitted
4.836,6854.882,2.44,upland,fitted
4.856,7177.943,2.4,upland,fitted
4.876,7516.229,2.37,upland,fitted
4.896,7870.458,2.33,upland,fitted
4.916,8241.381,2.3,upland,fitted
4.936,8629.785,2.27,upland,fitted
4.956,9036.495,2.23,upland,fitted
4.976,9462.372,2.2,upland,fitted
4.996,9908.319,2.17,upland,fitted
5.016,10375.284,2.14,upland,fitted
5.036,10864.256,2.11,upland,fitted
5.056,11376.273,2.08,upland,fitted
5.076,11912.420,2.05,upland,fitted
5.096,12473.835,2.02,upland,fitted
5.116,13061.709,1.99,upland,fitted
5.136,13677.288,1.96,upland,fitted
5.156,14321.879,1.93,upland,fitted
5.176,14996.848,1.9,upland,fitted
5.196,15703.628,1.87,upland,fitted
5.216,16443.717,1.85,upland,fitted
5.236,17218.686,1.82,upland,fitted
5.257,18071.741,1.79,upland,fitted
5.277,18923.436,1.77,upland,fitted
5.297,19815.270,1.74,upland,fitted
5.317,20749.135,1.72,upland,fitted
5.337,21727.012,1.69,upland,fitted
5.357,22750.974,1.67,upland,fitted
5.377,23823.195,1.64,upland,fitted
5.397,24945.947,1.62,upland,fitted
5.417,26121.614,1.6,upland,fitted
5.437,27352.687,1.57,upland,fitted
5.457,28641.780,1.55,upland,fitted
5.477,29991.625,1.53,upland,fitted
5.497,31405.087,1.51,upland,fitted
5.517,32885.163,1.48,upland,fitted
5.537,34434.993,1.46,upland,fitted
5.557,36057.864,1.44,upland,fitted
5.577,37757.219,1.42,upland,fitted
5.597,39536.662,1.4,upland,fitted
5.617,41399.967,1.38,upland,fitted
5.637,43351.088,1.36,upland,fitted
5.657,45394.162,1.34,upland,fitted
5.677,47533.523,1.32,upland,fitted
5.697,49773.708,1.3,upland,fitted
5.717,52119.471,1.28,upland,fitted
5.737,54575.786,1.26,upland,fitted
5.758,57279.603,1.25,upland,fitted
5.778,59979.108,1.23,upland,fitted
5.798,62805.836,1.21,upland,fitted
5.818,65765.784,1.19,upland,fitted
5.838,68865.230,1.18,upland,fitted
5.858,72110.748,1.16,upland,fitted
5.878,75509.223,1.14,upland,fitted
5.898,79067.863,1.12,upland,fitted
5.918,82794.216,1.11,upland,fitted
5.938,86696.188,1.09,upland,fitted
5.958,90782.053,1.08,upland,fitted
5.978,95060.479,1.06,upland,fitted
5.998,99540.542,1.05,upland,fitted
6.018,104231.743,1.03,upland,fitted
6.038,109144.034,1.02,upland,fitted
6.058,114287.833,1,upland,fitted
6.078,119674.053,0.99,upland,fitted
6.098,125314.117,0.97,upland,fitted
6.118,131219.990,0.96,upland,fitted
6.138,137404.198,0.94,upland,fitted
6.158,143879.858,0.93,upland,fitted
6.178,150660.707,0.92,upland,fitted
6.198,157761.127,0.9,upland,fitted
6.218,165196.180,0.89,upland,fitted
6.238,172981.636,0.88,upland,fitted
6.259,181551.566,0.86,upland,fitted
6.279,190107.828,0.85,upland,fitted
6.299,199067.334,0.84,upland,fitted
6.319,208449.088,0.83,upland,fitted
6.339,218272.991,0.82,upland,fitted
6.359,228559.880,0.8,upland,fitted
6.379,239331.576,0.79,upland,fitted
6.399,250610.925,0.78,upland,fitted
6.419,262421.854,0.77,upland,fitted
6.439,274789.415,0.76,upland,fitted
6.459,287739.841,0.75,upland,fitted
6.479,301300.602,0.74,upland,fitted
6.499,315500.462,0.73,upland,fitted
6.519,330369.541,0.72,upland,fitted
6.539,345939.378,0.7,upland,fitted
6.559,362242.998,0.69,upland,fitted
6.579,379314.985,0.68,upland,fitted
6.599,397191.549,0.67,upland,fitted
6.619,415910.610,0.66,upland,fitted
6.639,435511.874,0.66,upland,fitted
6.659,456036.916,0.65,upland,fitted
6.679,477529.274,0.64,upland,fitted
6.699,500034.535,0.63,upland,fitted
6.719,523600.437,0.62,upland,fitted
6.739,548276.965,0.61,upland,fitted
6.76,575439.937,0.6,upland,fitted
6.78,602559.586,0.59,upland,fitted
6.8,630957.344,0.58,upland,fitted
6.82,660693.448,0.57,upland,fitted
6.84,691830.971,0.57,upland,fitted
6.86,724435.960,0.56,upland,fitted
6.88,758577.575,0.55,upland,fitted
6.9,794328.235,0.54,upland,fitted
6.92,831763.771,0.53,upland,fitted
6.94,870963.590,0.53,upland,fitted
6.96,912010.839,0.52,upland,fitted
6.98,954992.586,0.51,upland,fitted
7,1000000.000,0.5,upland,fitted
0.749,0.561,76.51,transition,measured
0.893,0.782,76.24,transition,measured
0.98,0.955,75.96,transition,measured
1.035,1.084,75.68,transition,measured
1.085,1.216,75.39,transition,measured
1.127,1.340,75.09,transition,measured
1.16,1.445,74.77,transition,measured
1.201,1.589,74.4,transition,measured
1.24,1.738,74.02,transition,measured
1.267,1.849,73.64,transition,measured
1.296,1.977,73.24,transition,measured
1.323,2.104,72.81,transition,measured
1.348,2.228,72.37,transition,measured
1.371,2.350,71.94,transition,measured
1.388,2.443,71.54,transition,measured
1.398,2.500,71.15,transition,measured
1.399,2.506,70.76,transition,measured
1.408,2.559,70.34,transition,measured
1.431,2.698,69.88,transition,measured
1.454,2.844,69.41,transition,measured
1.472,2.965,68.95,transition,measured
1.478,3.006,68.49,transition,measured
1.48,3.020,68.02,transition,measured
1.489,3.083,67.54,transition,measured
1.497,3.141,67.04,transition,measured
1.508,3.221,66.54,transition,measured
1.515,3.273,65.04,transition,measured
1.517,3.289,65.55,transition,measured
1.519,3.304,66.03,transition,measured
1.52,3.311,64.55,transition,measured
1.541,3.475,64.03,transition,measured
1.568,3.698,63.5,transition,measured
1.585,3.846,62.98,transition,measured
1.618,4.150,62.28,transition,measured
1.662,4.592,61.52,transition,measured
1.692,4.920,60.86,transition,measured
1.708,5.105,60.21,transition,measured
1.719,5.236,59.59,transition,measured
1.724,5.297,58.94,transition,measured
1.729,5.358,58.27,transition,measured
1.743,5.534,57.61,transition,measured
1.758,5.728,56.95,transition,measured
1.764,5.808,56.29,transition,measured
1.772,5.916,55.62,transition,measured
1.791,6.180,54.93,transition,measured
1.812,6.486,54.23,transition,measured
1.827,6.714,53.53,transition,measured
1.857,7.194,52.76,transition,measured
1.894,7.834,51.92,transition,measured
1.926,8.433,51.05,transition,measured
1.956,9.036,50.17,transition,measured
1.981,9.572,49.3,transition,measured
2.011,10.257,48.43,transition,measured
2.043,11.041,47.55,transition,measured
2.074,11.858,46.6,transition,measured
2.105,12.735,45.58,transition,measured
2.136,13.677,44.58,transition,measured
2.165,14.622,43.62,transition,measured
2.188,15.417,42.73,transition,measured
2.207,16.106,41.84,transition,measured
2.223,16.711,40.96,transition,measured
2.238,17.298,40.1,transition,measured
2.255,17.989,39.27,transition,measured
2.277,18.923,38.43,transition,measured
2.29,19.498,37.61,transition,measured
2.295,19.724,36.81,transition,measured
2.304,20.137,36.02,transition,measured
2.312,20.512,35.23,transition,measured
2.322,20.989,34.45,transition,measured
2.329,21.330,33.68,transition,measured
2.34,21.878,32.89,transition,measured
2.356,22.699,32.09,transition,measured
2.369,23.388,31.34,transition,measured
2.379,23.933,30.65,transition,measured
2.384,24.210,28.62,transition,measured
2.385,24.266,29.98,transition,measured
2.386,24.322,29.3,transition,measured
2.386,24.322,27.91,transition,measured
2.402,25.235,27.12,transition,measured
2.419,26.242,26.33,transition,measured
2.429,26.853,25.62,transition,measured
2.434,27.164,25.02,transition,measured
6.28,190546.072,1.22,transition,measured
6.33,213796.209,1.27,transition,measured
0.006,0.101,78.14,transition,fitted
0.026,0.106,78.14,transition,fitted
0.046,0.111,78.13,transition,fitted
0.066,0.116,78.12,transition,fitted
0.086,0.122,78.12,transition,fitted
0.106,0.128,78.11,transition,fitted
0.126,0.134,78.1,transition,fitted
0.146,0.140,78.09,transition,fitted
0.166,0.147,78.09,transition,fitted
0.186,0.153,78.08,transition,fitted
0.206,0.161,78.07,transition,fitted
0.226,0.168,78.06,transition,fitted
0.246,0.176,78.04,transition,fitted
0.267,0.185,78.03,transition,fitted
0.287,0.194,78.02,transition,fitted
0.307,0.203,78,transition,fitted
0.327,0.212,77.99,transition,fitted
0.347,0.222,77.97,transition,fitted
0.367,0.233,77.95,transition,fitted
0.387,0.244,77.93,transition,fitted
0.407,0.255,77.91,transition,fitted
0.427,0.267,77.89,transition,fitted
0.447,0.280,77.87,transition,fitted
0.467,0.293,77.84,transition,fitted
0.487,0.307,77.82,transition,fitted
0.507,0.321,77.79,transition,fitted
0.527,0.337,77.76,transition,fitted
0.547,0.352,77.72,transition,fitted
0.567,0.369,77.69,transition,fitted
0.587,0.386,77.65,transition,fitted
0.607,0.405,77.61,transition,fitted
0.627,0.424,77.56,transition,fitted
0.647,0.444,77.52,transition,fitted
0.667,0.465,77.47,transition,fitted
0.687,0.486,77.41,transition,fitted
0.707,0.509,77.36,transition,fitted
0.727,0.533,77.29,transition,fitted
0.747,0.558,77.23,transition,fitted
0.768,0.586,77.16,transition,fitted
0.788,0.614,77.08,transition,fitted
0.808,0.643,77,transition,fitted
0.828,0.673,76.91,transition,fitted
0.848,0.705,76.82,transition,fitted
0.868,0.738,76.72,transition,fitted
0.888,0.773,76.62,transition,fitted
0.908,0.809,76.5,transition,fitted
0.928,0.847,76.38,transition,fitted
0.948,0.887,76.25,transition,fitted
0.968,0.929,76.12,transition,fitted
0.988,0.973,75.97,transition,fitted
1.008,1.019,75.82,transition,fitted
1.028,1.067,75.65,transition,fitted
1.048,1.117,75.47,transition,fitted
1.068,1.169,75.29,transition,fitted
1.088,1.225,75.09,transition,fitted
1.108,1.282,74.87,transition,fitted
1.128,1.343,74.65,transition,fitted
1.148,1.406,74.41,transition,fitted
1.168,1.472,74.16,transition,fitted
1.188,1.542,73.89,transition,fitted
1.208,1.614,73.6,transition,fitted
1.228,1.690,73.3,transition,fitted
1.248,1.770,72.99,transition,fitted
1.269,1.858,72.65,transition,fitted
1.289,1.945,72.3,transition,fitted
1.309,2.037,71.93,transition,fitted
1.329,2.133,71.54,transition,fitted
1.349,2.234,71.12,transition,fitted
1.369,2.339,70.69,transition,fitted
1.389,2.449,70.24,transition,fitted
1.409,2.564,69.77,transition,fitted
1.429,2.685,69.27,transition,fitted
1.449,2.812,68.76,transition,fitted
1.469,2.944,68.22,transition,fitted
1.489,3.083,67.66,transition,fitted
1.509,3.228,67.07,transition,fitted
1.529,3.381,66.47,transition,fitted
1.549,3.540,65.84,transition,fitted
1.569,3.707,65.19,transition,fitted
1.589,3.882,64.52,transition,fitted
1.609,4.064,63.83,transition,fitted
1.629,4.256,63.12,transition,fitted
1.649,4.457,62.39,transition,fitted
1.669,4.667,61.64,transition,fitted
1.689,4.887,60.88,transition,fitted
1.709,5.117,60.09,transition,fitted
1.729,5.358,59.29,transition,fitted
1.749,5.610,58.48,transition,fitted
1.77,5.888,57.65,transition,fitted
1.79,6.166,56.8,transition,fitted
1.81,6.457,55.95,transition,fitted
1.83,6.761,55.09,transition,fitted
1.85,7.079,54.21,transition,fitted
1.87,7.413,53.33,transition,fitted
1.89,7.762,52.44,transition,fitted
1.91,8.128,51.55,transition,fitted
1.93,8.511,50.65,transition,fitted
1.95,8.913,49.75,transition,fitted
1.97,9.333,48.85,transition,fitted
1.99,9.772,47.95,transition,fitted
2.01,10.233,47.05,transition,fitted
2.03,10.715,46.16,transition,fitted
2.05,11.220,45.26,transition,fitted
2.07,11.749,44.37,transition,fitted
2.09,12.303,43.48,transition,fitted
2.11,12.882,42.61,transition,fitted
2.13,13.490,41.73,transition,fitted
2.15,14.125,40.87,transition,fitted
2.17,14.791,40.01,transition,fitted
2.19,15.488,39.17,transition,fitted
2.21,16.218,38.33,transition,fitted
2.23,16.982,37.5,transition,fitted
2.251,17.824,36.69,transition,fitted
2.271,18.664,35.88,transition,fitted
2.291,19.543,35.09,transition,fitted
2.311,20.464,34.31,transition,fitted
2.331,21.429,33.54,transition,fitted
2.351,22.439,32.78,transition,fitted
2.371,23.496,32.04,transition,fitted
2.391,24.604,31.31,transition,fitted
2.411,25.763,30.59,transition,fitted
2.431,26.977,29.88,transition,fitted
2.451,28.249,29.19,transition,fitted
2.471,29.580,28.51,transition,fitted
2.491,30.974,27.85,transition,fitted
2.511,32.434,27.19,transition,fitted
2.531,33.963,26.55,transition,fitted
2.551,35.563,25.93,transition,fitted
2.571,37.239,25.31,transition,fitted
2.591,38.994,24.71,transition,fitted
2.611,40.832,24.12,transition,fitted
2.631,42.756,23.55,transition,fitted
2.651,44.771,22.99,transition,fitted
2.671,46.881,22.44,transition,fitted
2.691,49.091,21.9,transition,fitted
2.711,51.404,21.37,transition,fitted
2.731,53.827,20.85,transition,fitted
2.752,56.494,20.35,transition,fitted
2.772,59.156,19.86,transition,fitted
2.792,61.944,19.38,transition,fitted
2.812,64.863,18.91,transition,fitted
2.832,67.920,18.45,transition,fitted
2.852,71.121,18,transition,fitted
2.872,74.473,17.56,transition,fitted
2.892,77.983,17.14,transition,fitted
2.912,81.658,16.72,transition,fitted
2.932,85.507,16.31,transition,fitted
2.952,89.536,15.91,transition,fitted
2.972,93.756,15.52,transition,fitted
2.992,98.175,15.14,transition,fitted
3.012,102.802,14.77,transition,fitted
3.032,107.647,14.41,transition,fitted
3.052,112.720,14.06,transition,fitted
3.072,118.032,13.71,transition,fitted
3.092,123.595,13.38,transition,fitted
3.112,129.420,13.05,transition,fitted
3.132,135.519,12.73,transition,fitted
3.152,141.906,12.42,transition,fitted
3.172,148.594,12.11,transition,fitted
3.192,155.597,11.82,transition,fitted
3.212,162.930,11.52,transition,fitted
3.232,170.608,11.24,transition,fitted
3.253,179.061,10.96,transition,fitted
3.273,187.499,10.7,transition,fitted
3.293,196.336,10.43,transition,fitted
3.313,205.589,10.18,transition,fitted
3.333,215.278,9.93,transition,fitted
3.353,225.424,9.68,transition,fitted
3.373,236.048,9.44,transition,fitted
3.393,247.172,9.21,transition,fitted
3.413,258.821,8.98,transition,fitted
3.433,271.019,8.76,transition,fitted
3.453,283.792,8.55,transition,fitted
3.473,297.167,8.34,transition,fitted
3.493,311.172,8.13,transition,fitted
3.513,325.837,7.93,transition,fitted
3.533,341.193,7.73,transition,fitted
3.553,357.273,7.54,transition,fitted
3.573,374.111,7.36,transition,fitted
3.593,391.742,7.18,transition,fitted
3.613,410.204,7,transition,fitted
3.633,429.536,6.83,transition,fitted
3.653,449.780,6.66,transition,fitted
3.673,470.977,6.49,transition,fitted
3.693,493.174,6.33,transition,fitted
3.713,516.416,6.18,transition,fitted
3.733,540.754,6.03,transition,fitted
3.754,567.545,5.88,transition,fitted
3.774,594.292,5.73,transition,fitted
3.794,622.300,5.59,transition,fitted
3.814,651.628,5.45,transition,fitted
3.834,682.339,5.32,transition,fitted
3.854,714.496,5.19,transition,fitted
3.874,748.170,5.06,transition,fitted
3.894,783.430,4.93,transition,fitted
3.914,820.352,4.81,transition,fitted
3.934,859.014,4.69,transition,fitted
3.954,899.498,4.58,transition,fitted
3.974,941.890,4.46,transition,fitted
3.994,986.279,4.35,transition,fitted
4.014,1032.761,4.25,transition,fitted
4.034,1081.434,4.14,transition,fitted
4.054,1132.400,4.04,transition,fitted
4.074,1185.769,3.94,transition,fitted
4.094,1241.652,3.84,transition,fitted
4.114,1300.170,3.75,transition,fitted
4.134,1361.445,3.66,transition,fitted
4.154,1425.608,3.57,transition,fitted
4.174,1492.794,3.48,transition,fitted
