"site","location","alpha","n","theta_r","theta_s","m"
"CRC","TR",0.00648,1.294,0,0.434,0.227202472952087
"CRC","UP",0.00876,1.304,0,0.442,0.233128834355828
"CRC","W",0.0166,1.324,0,0.528,0.244712990936556
"GCW","TR",0.00871,1.319,0,0.78,0.241849886277483
"GCW","UP",0.0369,1.163,0,0.495,0.140154772141015
"GCW","W",0.0163,1.3,0,0.861,0.230769230769231
"GWI","TR",0.0137,1.302,0,0.466,0.231950844854071
"GWI","UP",0.0239,1.368,0,0.48,0.269005847953216
"GWI","W",0.1041,1.218,0,0.702,0.178981937602627
"MSM","TR",0.021,1.542,0,0.782,0.351491569390402
"MSM","UP",0.1996,1.316,0,0.497,0.240121580547113
"OWC","TR",0.0875,1.176,0,0.751,0.149659863945578
"OWC","UP",0.2344,1.154,0,0.375,0.133448873483536
"OWC","W",0.0141,1.247,0,0.696,0.198075380914194
"PTR","TR",0.228,1.176,0,0.513,0.149659863945578
"PTR","UP",0.5,1.124,0,0.429,0.110320284697509
"PTR","W",0.0737,1.231,0,0.634,0.187652315190902
