File,Quartz,,Albite,,Microcline,,Muscovite,,Clinochlore,,Pyrite,,Halite,,Gypsum,,Rwp,Notes
97,55%,±0.4%,6.50%,±0.2%,6.40%,±0.3%,23%,±0.3%,8.80%,±0.3%,0.00%,±0.0%,0.00%,±0.0%,,,6.00%,
107,62%,±0.4%,14%,±0.2%,8.40%,±0.3%,12%,±0.3%,3.40%,±0.3%,0.00%,±0.0%,0.00%,±0.0%,,,7.20%,
108,64%,±0.5%,14%,±0.3%,9.50%,±0.3%,7.10%,±0.4%,5.20%,±0.4%,0.00%,±0.1%,0.00%,±0.1%,,,10%,
112,54%,±0.4%,13%,±0.2%,6.80%,±0.3%,18%,±0.3%,8.20%,±0.3%,0.00%,±0.0%,0.00%,±0.1%,,,6.70%,
113,59%,±0.4%,11%,±0.2%,8.60%,±0.3%,17%,±0.4%,4.90%,±0.3%,0.00%,±0.1%,0.00%,±0.0%,,,7.00%,
129,82%,±0.8%,6.70%,±0.4%,1.30%,±0.4%,9.60%,±0.6%,0.00%,±0.5%,0.00%,±0.1%,0.00%,±0.1%,,,6.60%,
130,79%,±0.7%,6.90%,±0.3%,3.10%,±0.4%,11%,±0.6%,0.00%,±0.5%,0.00%,±0.1%,0.00%,±0.1%,,,5.70%,
139,60%,±3.9%,1.00%,±2.0%,0.00%,±2.7%,39%,±3.6%,0.00%,±3.0%,0.00%,±0.5%,0.00%,±0.5%,,,5.30%,
140,60%,±3.8%,0.00%,±2.6%,0.10%,±2.8%,40%,±3.5%,0.00%,±3.2%,0.00%,±0.6%,0.00%,±0.5%,,,4.00%,
146,53%,±2.5%,0.00%,±0.0%,0.00%,±0.0%,0.00%,±0.0%,0.00%,±0.0%,0.00%,±0.0%,18%,±1.6%,,,4.70%,Fitted manually - lots of amorphous
154,81%,±0.3%,5.70%,±0.2%,4.90%,±0.2%,8.20%,±0.3%,0.00%,±0.2%,0.00%,±0.0%,0.00%,±0.0%,,,6.70%,
156,78%,±0.4%,7.70%,±0.2%,7.00%,±0.2%,7.10%,±0.3%,0.00%,±0.2%,0.00%,±0.1%,0.00%,±0.0%,,,9.00%,
157,80%,±0.3%,7.10%,±0.2%,5.50%,±0.2%,7.60%,±0.3%,0.00%,±0.2%,0.00%,±0.0%,0.00%,±0.0%,,,8.20%,
164,74%,±0.4%,8.20%,±0.2%,6.90%,±0.2%,9.10%,±0.3%,1.70%,±0.2%,0.00%,±0.0%,0.00%,±0.0%,,,8.70%,
165,77%,±0.4%,8.20%,±0.2%,7.30%,±0.2%,4.50%,±0.3%,2.50%,±0.2%,0.00%,±0.1%,0.00%,±0.0%,,,9.00%,
174,78%,±1.0%,5.80%,±0.6%,0.10%,±0.6%,16%,±0.8%,0.00%,±0.7%,0.00%,±0.1%,0.00%,±0.1%,,,7.30%,
175,81%,±2.3%,8.00%,±1.3%,0.00%,±1.3%,11%,±1.9%,0.00%,±1.6%,0.00%,±0.3%,0.00%,±0.2%,,,8.20%,
180,78%,±1.3%,2.50%,±0.6%,0.00%,±0.8%,20%,±1.1%,0.00%,±0.9%,0.00%,±0.2%,0.00%,±0.2%,,,5.80%,
183,59%,±1.7%,1.00%,±0.9%,0.00%,±1.4%,40%,±1.5%,0.00%,±1.4%,0.00%,±0.3%,0.00%,±0.2%,,,4.40%,
188,65%,±0.7%,1.70%,±0.4%,1.40%,±0.4%,17%,±0.7%,0.00%,±0.7%,0.00%,±0.1%,15%,±0.3%,,,7.20%,
189,76%,±1.1%,1.70%,±0.4%,2.10%,±0.5%,6.40%,±0.9%,10%,±0.8%,0.00%,±0.1%,4.10%,±0.2%,,,13%,Some qtz preferred orientation
196,84%,±0.5%,3.50%,±0.2%,4.90%,±0.3%,7.50%,±0.4%,0.00%,±0.2%,0.00%,±0.1%,0.00%,±0.0%,,,7.80%,
197,88%,±0.6%,3.20%,±0.3%,4.70%,±0.3%,4.60%,±0.5%,0.00%,±0.3%,0.00%,±0.1%,0.00%,±0.1%,,,14%,Small amount of preferred orientation. Unexplained sharp peak 2.16 A.
206,93%,±0.8%,2.20%,±0.4%,0.60%,±0.4%,3.90%,±0.6%,0.00%,±0.5%,0.00%,±0.1%,0.00%,±0.1%,,,17%,Some qtz preferred orientation
212,87%,±0.7%,4.20%,±0.3%,2.80%,±0.4%,5.00%,±0.5%,0.00%,±0.5%,0.00%,±0.1%,0.60%,±0.1%,,,16%,Some qtz preferred orientation
215,81%,±0.5%,2.20%,±0.3%,4.90%,±0.3%,12%,±0.4%,0.00%,±0.4%,0.00%,±0.1%,0.00%,±0.1%,,,9.40%,
223,72%,±0.6%,1.50%,±0.3%,4.10%,±0.4%,22%,±0.5%,0.00%,±0.5%,0.00%,±0.1%,0.00%,±0.1%,,,7.80%,
233,44%,±0.9%,0.00%,±0.5%,4.30%,±0.6%,37%,±1.0%,0.00%,±0.8%,3.40%,±0.2%,4.40%,±0.2%,±6.9%,±0.4%,5.60%,
239,84%,±0.5%,1.00%,±0.2%,3.20%,±0.3%,12%,±0.4%,0.00%,±0.3%,0.00%,±0.1%,0.00%,±0.0%,,,8.10%,
248,73%,±0.5%,1.50%,±0.3%,4.00%,±0.3%,21%,±0.5%,0.00%,±0.4%,0.00%,±0.1%,0.00%,±0.1%,,,7.20%,
