File,Quartz,,Albite,,Microcline,,Muscovite,,Kaolinite,,Chlorite,,Hornblende,,Pyrite,,Halite,,Gypsum,,Crystallinity,,Rwp,
061,68%,±0.4%,9.2%,±0.3%,4.9%,±0.3%,17%,±0.4%,0.0%,±0.4%,0.0%,±0.1%,0.0%,±0.2%,0.0%,±0.1%,0.0%,±0.1%,0.0%,±0.1%,4.29E-02,,7.8%,
062,65%,±0.4%,8.7%,±0.3%,8.9%,±0.2%,18%,±0.4%,0.0%,±0.4%,0.0%,±0.1%,0.0%,±0.2%,0.0%,±0.1%,0.0%,±0.1%,0.0%,±0.1%,4.50E-02,,8.7%,
063,62%,±0.4%,11%,±0.2%,6.0%,±0.2%,20%,±0.4%,0.0%,±0.4%,1.2%,±0.2%,0.0%,±0.2%,0.0%,±0.1%,0.0%,±0.1%,0.0%,±0.1%,7.79E-02,,6.1%,
070,64%,±0.4%,9.5%,±0.2%,7.9%,±0.2%,19%,±0.4%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.2%,0.0%,±0.0%,0.0%,±0.0%,0.0%,±0.1%,3.88E-02,,6.4%,
071,66%,±0.3%,11%,±0.2%,4.3%,±0.2%,18%,±0.3%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.2%,0.0%,±0.1%,0.0%,±0.1%,0.0%,±0.1%,4.26E-02,,6.6%,
072,64%,±0.4%,9.2%,±0.2%,6.0%,±0.3%,21%,±0.4%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.2%,0.0%,±0.1%,0.0%,±0.0%,0.0%,±0.1%,4.10E-02,,6.3%,
073,63%,±0.4%,10%,±0.2%,4.8%,±0.2%,21%,±0.3%,0.0%,±0.3%,0.9%,±0.2%,0.0%,±0.2%,0.0%,±0.0%,0.0%,±0.0%,0.0%,±0.1%,3.79E-02,,5.8%,
074,62%,±0.4%,11%,±0.3%,6.7%,±0.4%,21%,±0.4%,0.0%,±0.4%,0.0%,±0.2%,0.0%,±0.2%,0.0%,±0.1%,0.0%,±0.1%,0.0%,±0.2%,3.65E-02,,6.9%,
075,63%,±0.4%,12%,±0.3%,4.0%,±0.3%,21%,±0.4%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.2%,0.0%,±0.0%,0.0%,±0.0%,0.0%,±0.1%,3.79E-02,,6.3%,
076,66%,±0.4%,11%,±0.3%,6.1%,±0.2%,16%,±0.4%,0.0%,±0.4%,0.0%,±0.2%,0.0%,±0.2%,0.0%,±0.0%,0.0%,±0.0%,0.0%,±0.2%,3.82E-02,,7.1%,
077,62%,±0.4%,11%,±0.2%,6.3%,±0.3%,20%,±0.4%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.2%,0.0%,±0.0%,0.0%,±0.0%,0.0%,±0.1%,4.07E-02,,6.3%,
078,62%,±0.4%,9.2%,±0.3%,5.0%,±0.3%,24%,±0.4%,0.0%,±0.4%,0.0%,±0.2%,0.0%,±0.2%,0.0%,±0.1%,0.0%,±0.0%,0.0%,±0.1%,3.47E-02,,6.0%,
079,63%,±0.4%,10%,±0.2%,4.7%,±0.2%,21%,±0.4%,0.0%,±0.3%,1.0%,±0.1%,0.0%,±0.2%,0.0%,±0.0%,0.0%,±0.0%,0.0%,±0.1%,4.16E-02,,5.9%,
080,63%,±0.4%,12%,±0.2%,5.2%,±0.2%,20%,±0.4%,0.0%,±0.3%,0.0%,±0.2%,0.0%,±0.2%,0.0%,±0.0%,0.0%,±0.0%,0.0%,±0.1%,3.58E-02,,6.1%,
081,60%,±0.4%,10%,±0.2%,9.2%,±0.3%,20%,±0.4%,0.0%,±0.3%,1.4%,±0.2%,0.0%,±0.2%,0.0%,±0.0%,0.0%,±0.1%,0.0%,±0.1%,7.68E-02,,5.2%,
088,62%,±0.3%,8.5%,±0.2%,3.6%,±0.2%,26%,±0.3%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.2%,0.0%,±0.0%,0.0%,±0.0%,0.0%,±0.1%,3.78E-02,,5.8%,
089,55%,±0.4%,8.9%,±0.2%,7.2%,±0.3%,23%,±0.4%,5.4%,±0.3%,0.8%,±0.1%,0.0%,±0.2%,0.0%,±0.0%,0.0%,±0.0%,0.0%,±0.1%,4.11E-02,,5.5%,
090,54%,±0.3%,9.4%,±0.2%,6.9%,±0.2%,24%,±0.3%,5.1%,±0.3%,0.8%,±0.1%,0.0%,±0.2%,0.0%,±0.0%,0.0%,±0.0%,0.0%,±0.1%,8.54E-02,,4.5%,
097,59%,±0.4%,7.3%,±0.3%,7.1%,±0.3%,26%,±0.4%,0.0%,±0.3%,1.4%,±0.2%,0.0%,±0.2%,0.0%,±0.1%,0.0%,±0.0%,0.0%,±0.1%,3.78E-02,,6.1%,
099,63%,±0.6%,7.8%,±0.4%,5.9%,±0.4%,22%,±0.6%,0.0%,±0.5%,1.9%,±0.3%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.1%,0.0%,±0.2%,6.74E-02,,8.5%,
100,53%,±0.4%,8.1%,±0.2%,5.7%,±0.3%,27%,±0.4%,5.2%,±0.3%,0.8%,±0.1%,0.0%,±0.2%,0.0%,±0.0%,0.0%,±0.0%,0.0%,±0.1%,7.15E-02,,4.6%,
107,67%,±0.4%,11%,±0.2%,6.1%,±0.3%,16%,±0.4%,0.0%,±0.3%,0.5%,±0.1%,0.0%,±0.2%,0.0%,±0.1%,0.0%,±0.1%,0.0%,±0.1%,4.54E-02,,6.9%,
108,68%,±0.5%,13%,±0.3%,8.6%,±0.3%,11%,±0.5%,0.0%,±0.4%,0.2%,±0.1%,0.0%,±0.2%,0.0%,±0.1%,0.0%,±0.1%,0.0%,±0.1%,4.70E-02,,9.8%,
109,60%,±0.4%,11%,±0.2%,5.8%,±0.3%,22%,±0.4%,0.0%,±0.3%,0.9%,±0.1%,0.0%,±0.2%,0.0%,±0.0%,0.0%,±0.0%,0.0%,±0.1%,8.46E-02,,5.8%,
112,62%,±0.4%,8.8%,±0.2%,5.1%,±0.3%,23%,±0.4%,0.0%,±0.3%,1.5%,±0.2%,0.0%,±0.2%,0.0%,±0.0%,0.0%,±0.0%,0.0%,±0.1%,3.93E-02,,6.5%,
113,63%,±0.4%,9.6%,±0.2%,6.9%,±0.3%,20%,±0.4%,0.0%,±0.3%,0.9%,±0.1%,0.0%,±0.2%,0.0%,±0.1%,0.0%,±0.0%,0.0%,±0.1%,4.71E-02,,7.1%,
114,61%,±0.4%,10%,±0.2%,8.9%,±0.3%,19%,±0.4%,0.0%,±0.4%,0.6%,±0.1%,0.0%,±0.2%,0.0%,±0.1%,0.0%,±0.0%,0.0%,±0.1%,9.41E-02,,7.4%,
129,91%,±0.4%,9.0%,±0.4%,0.0%,±0.3%,0.0%,±0.7%,0.0%,±0.6%,0.0%,±0.2%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.1%,0.0%,±0.2%,2.33E-02,,6.0%,
130,82%,±0.6%,7.3%,±0.3%,0.0%,±0.3%,10%,±0.6%,0.0%,±0.5%,0.0%,±0.2%,0.0%,±0.4%,0.0%,±0.1%,0.0%,±0.1%,0.0%,±0.3%,2.58E-02,,4.8%,
131,85%,±1.4%,11%,±1.1%,4.1%,±1.1%,0.0%,±1.7%,0.0%,±1.7%,0.0%,±0.9%,0.0%,±0.9%,0.0%,±0.4%,0.0%,±0.4%,0.0%,±0.5%,9.87E-03,,2.7%,
139,95%,±2.7%,5.3%,±2.7%,0.0%,±1.5%,0.0%,±2.8%,0.0%,±2.9%,0.0%,±1.4%,0.0%,±1.8%,0.0%,±0.4%,0.0%,±0.4%,0.0%,±1.0%,4.09E-03,,3.6%,
140,100%,±3.7%,0.0%,±2.0%,0.0%,±2.6%,0.0%,±3.3%,0.0%,±2.2%,0.0%,±1.0%,0.0%,±3.1%,0.0%,±0.9%,0.0%,±0.5%,0.0%,±1.6%,2.20E-03,,3.3%,
141,76%,±0.7%,4.8%,±0.3%,5.0%,±0.4%,15%,±0.6%,0.0%,±0.6%,0.0%,±0.3%,0.0%,±0.3%,0.0%,±0.2%,0.0%,±0.1%,0.0%,±0.2%,3.51E-02,,2.4%,
146,48%,±2.1%,0.0%,±1.4%,0.0%,±1.3%,0.0%,±2.2%,14%,±2.6%,0.0%,±1.1%,0.0%,±1.6%,0.0%,±0.6%,14%,±1.0%,23%,±1.7%,3.58E-03,,4.6%,
154,82%,±0.3%,5.2%,±0.2%,4.1%,±0.2%,8.9%,±0.3%,0.0%,±0.2%,0.0%,±0.1%,0.0%,±0.1%,0.0%,±0.1%,0.0%,±0.0%,0.0%,±0.1%,4.96E-02,,6.6%,
155,20%,±0.5%,3.5%,±0.7%,0.0%,±0.7%,11%,±1.3%,0.0%,±1.1%,0.0%,±0.3%,0.0%,±0.4%,0.0%,±0.3%,65%,±1.1%,0.0%,±0.3%,1.63E-02,,3.6%,
156,81%,±0.3%,5.1%,±0.2%,3.3%,±0.2%,10%,±0.3%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.2%,0.0%,±0.1%,0.0%,±0.0%,0.0%,±0.1%,5.91E-02,,8.2%,
157,82%,±0.3%,5.8%,±0.2%,3.3%,±0.2%,8.9%,±0.3%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.2%,0.0%,±0.1%,0.0%,±0.1%,0.0%,±0.1%,5.31E-02,,8.0%,
158,80%,±0.3%,6.0%,±0.2%,4.4%,±0.2%,9.1%,±0.3%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.2%,0.0%,±0.1%,0.0%,±0.0%,0.0%,±0.1%,1.05E-01,,8.1%,
164,77%,±0.3%,5.9%,±0.2%,3.8%,±0.2%,13%,±0.3%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.1%,0.0%,±0.1%,0.0%,±0.0%,0.0%,±0.1%,5.57E-02,,8.2%,
165,81%,±0.3%,6.2%,±0.2%,4.5%,±0.2%,8.6%,±0.3%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.1%,0.0%,±0.1%,0.0%,±0.0%,0.0%,±0.1%,5.20E-02,,8.4%,
166,78%,±0.3%,6.8%,±0.2%,5.5%,±0.2%,9.1%,±0.3%,0.0%,±0.3%,0.3%,±0.1%,0.0%,±0.1%,0.0%,±0.1%,0.0%,±0.0%,0.0%,±0.1%,1.15E-01,,8.3%,
172,86%,±1.3%,14%,±1.3%,0.0%,±0.9%,0.0%,±1.5%,0.0%,±1.4%,0.0%,±0.7%,0.0%,±0.9%,0.0%,±0.4%,0.0%,±0.2%,0.0%,±0.4%,1.49E-02,,3.5%,
174,93%,±0.6%,6.9%,±0.6%,0.0%,±0.3%,0.0%,±0.7%,0.0%,±0.7%,0.0%,±0.4%,0.0%,±0.4%,0.0%,±0.1%,0.0%,±0.1%,0.0%,±0.2%,1.29E-02,,6.4%,
175,87%,±1.0%,13%,±1.0%,0.0%,±0.8%,0.0%,±1.5%,0.0%,±0.9%,0.0%,±0.4%,0.0%,±0.7%,0.0%,±0.3%,0.0%,±0.2%,0.0%,±0.7%,9.46E-03,,6.4%,
180,87%,±1.2%,4.1%,±0.6%,0.0%,±0.6%,0.0%,±1.2%,9.0%,±1.1%,0.0%,±0.3%,0.0%,±0.6%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.4%,1.78E-02,,5.7%,
181,50%,±1.4%,6.6%,±0.8%,7.2%,±1.1%,28%,±1.4%,8.0%,±1.3%,0.0%,±0.8%,0.0%,±1.0%,0.0%,±0.4%,0.0%,±0.3%,0.0%,±0.4%,1.48E-02,,2.5%,
183,56%,±1.4%,6.8%,±0.9%,0.0%,±0.8%,29%,±1.3%,8.2%,±1.4%,0.0%,±0.8%,0.0%,±1.0%,0.0%,±0.4%,0.0%,±0.2%,0.0%,±0.4%,8.46E-03,,3.6%,
188,65%,±0.6%,0.0%,±0.3%,0.0%,±0.3%,18%,±0.7%,0.0%,±0.6%,0.0%,±0.2%,0.0%,±0.4%,0.0%,±0.2%,17%,±0.2%,0.0%,±0.2%,2.62E-02,,6.1%,
189,90%,±0.6%,3.4%,±0.7%,0.0%,±0.4%,0.0%,±0.9%,0.0%,±0.8%,0.0%,±0.3%,0.0%,±0.5%,0.0%,±0.2%,6.9%,±0.2%,0.0%,±0.5%,2.50E-02,,13%,Qtz PO
190,74%,±0.6%,5.1%,±0.4%,0.0%,±0.3%,13%,±0.6%,0.0%,±0.5%,0.0%,±0.2%,0.0%,±0.3%,0.0%,±0.1%,8.2%,±0.1%,0.0%,±0.1%,4.95E-02,,6.1%,
196,96%,±0.3%,4.0%,±0.3%,0.0%,±0.2%,0.0%,±0.4%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.2%,0.0%,±0.1%,0.0%,±0.0%,0.0%,±0.1%,4.67E-02,,8.3%,
197,91%,±0.6%,3.5%,±0.4%,0.0%,±0.2%,5.8%,±0.5%,0.0%,±0.3%,0.0%,±0.2%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.1%,0.0%,±0.1%,4.97E-02,,15%,Feldspar PO?
198,92%,±0.4%,8.2%,±0.4%,0.0%,±0.3%,0.0%,±0.6%,0.0%,±0.6%,0.0%,±0.2%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.1%,0.0%,±0.1%,8.52E-02,,16%,Qtz and feldspar PO
204,92%,±0.6%,0.0%,±0.3%,0.0%,±0.4%,7.9%,±0.6%,0.0%,±0.5%,0.0%,±0.3%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.1%,0.0%,±0.1%,1.05E-01,,17%,Qtz PO
206,100%,±0.0%,0.0%,±0.4%,0.0%,±0.3%,0.0%,±0.7%,0.0%,±0.6%,0.0%,±0.2%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.1%,0.0%,±0.2%,4.59E-02,,17%,Qtz PO
207,95%,±0.5%,0.0%,±0.3%,0.0%,±0.3%,5.1%,±0.5%,0.0%,±0.4%,0.0%,±0.1%,0.0%,±0.2%,0.0%,±0.1%,0.0%,±0.0%,0.0%,±0.1%,1.05E-01,,13%,Qtz PO
212,91%,±0.6%,3.8%,±0.4%,0.0%,±0.3%,5.5%,±0.6%,0.0%,±0.5%,0.0%,±0.2%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.1%,0.0%,±0.1%,4.86E-02,,16%,Qtz PO
214,87%,±0.6%,4.7%,±0.3%,3.8%,±0.3%,4.3%,±0.5%,0.0%,±0.3%,0.0%,±0.2%,0.0%,±0.2%,0.0%,±0.1%,0.0%,±0.0%,0.0%,±0.1%,1.09E-01,,14%,Qtz PO
215,84%,±0.5%,0.0%,±0.3%,2.9%,±0.2%,13%,±0.4%,0.0%,±0.4%,0.0%,±0.1%,0.0%,±0.2%,0.0%,±0.1%,0.0%,±0.0%,0.0%,±0.1%,4.88E-02,,9.3%,
216,76%,±0.5%,0.0%,±0.2%,8.0%,±0.4%,16%,±0.5%,0.0%,±0.4%,0.0%,±0.2%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.0%,0.0%,±0.1%,8.01E-02,,8.0%,
217,77%,±0.7%,3.0%,±0.4%,3.1%,±0.4%,17%,±0.6%,0.0%,±0.5%,0.0%,±0.3%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.1%,0.0%,±0.1%,7.19E-02,,7.3%,
223,72%,±0.6%,2.7%,±0.3%,5.8%,±0.4%,20%,±0.5%,0.0%,±0.5%,0.0%,±0.3%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.1%,0.0%,±0.1%,3.74E-02,,7.6%,
224,78%,±0.8%,0.0%,±0.3%,3.3%,±0.5%,19%,±0.7%,0.0%,±0.7%,0.0%,±0.2%,0.0%,±0.5%,0.0%,±0.1%,0.0%,±0.1%,0.0%,±0.2%,6.31E-02,,8.4%,
225,72%,±0.8%,6.4%,±0.5%,6.4%,±0.4%,15%,±0.8%,0.0%,±0.8%,0.0%,±0.3%,0.0%,±0.4%,0.0%,±1.2%,0.0%,±0.1%,0.0%,±0.2%,7.05E-02,,9.7%,
233,46%,±0.9%,0.0%,±0.5%,0.0%,±0.5%,33%,±1.0%,9.8%,±0.8%,0.0%,±0.5%,0.0%,±0.6%,4.7%,±0.3%,5.7%,±0.3%,0.0%,±0.3%,2.11E-02,,5.2%,
234,28%,±0.4%,0.0%,±0.4%,0.0%,±0.4%,37%,±0.7%,13%,±0.6%,0.0%,±0.4%,0.0%,±0.5%,3.1%,±0.1%,18%,±0.3%,0.0%,±0.2%,3.02E-02,,3.4%,
235,28%,±0.5%,3.4%,±0.6%,4.4%,±0.6%,34%,±0.8%,11%,±0.7%,0.0%,±0.2%,0.0%,±0.3%,0.0%,±0.1%,20%,±0.4%,0.0%,±0.2%,2.53E-02,,3.6%,
239,85%,±0.5%,0.0%,±0.3%,3.4%,±0.3%,12%,±0.4%,0.0%,±0.4%,0.0%,±0.1%,0.0%,±0.2%,0.0%,±0.1%,0.0%,±0.0%,0.0%,±0.1%,4.21E-02,,7.9%,
240,59%,±0.8%,0.0%,±0.4%,4.8%,±0.6%,28%,±0.8%,8.6%,±0.7%,0.0%,±0.2%,0.0%,±0.5%,0.0%,±0.2%,0.0%,±0.1%,0.0%,±0.2%,8.01E-02,,9.6%,
241,56%,±0.8%,0.0%,±0.6%,7.5%,±0.7%,29%,±0.8%,7.4%,±0.7%,0.0%,±0.3%,0.0%,±0.6%,0.0%,±0.2%,0.0%,±0.1%,0.0%,±0.2%,6.71E-02,,7.6%,
248,75%,±0.5%,0.0%,±0.3%,2.5%,±0.3%,22%,±0.5%,0.0%,±0.5%,0.0%,±0.3%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.1%,0.0%,±0.1%,3.55E-02,,7.1%,
249,74%,±0.6%,3.9%,±0.4%,0.0%,±0.3%,22%,±0.5%,0.0%,±0.5%,0.0%,±0.2%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.1%,0.0%,±0.1%,6.36E-02,,7.1%,
250,77%,±0.7%,0.0%,±0.3%,4.0%,±0.4%,19%,±0.6%,0.0%,±0.6%,0.0%,±0.3%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.1%,0.0%,±0.2%,7.66E-02,,9.2%,
254,76%,±0.6%,0.0%,±0.2%,4.3%,±0.4%,19%,±0.5%,0.0%,±0.4%,0.8%,±0.2%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.0%,0.0%,±0.1%,7.75E-02,,6.8%,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
