File,Quartz,,Albite,,Microcline,,Muscovite,,Kaolinite,,Chlorite,,Hornblende,,Pyrite,,Halite,,Gypsum,,Crystallinity,,Rwp,
001,64%,±0.4%,8.3%,±0.2%,5.0%,±0.2%,22%,±0.3%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.2%,0.0%,±0.1%,0.0%,±0.0%,0.0%,±0.1%,3.71E-02,,5.5%,
002,65%,±0.4%,7.7%,±0.2%,7.1%,±0.3%,20%,±0.4%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.2%,0.0%,±0.0%,0.0%,±0.0%,0.0%,±0.1%,4.18E-02,,6.3%,
003,62%,±0.4%,7.8%,±0.3%,7.0%,±0.3%,23%,±0.4%,0.0%,±0.4%,0.0%,±0.1%,0.0%,±0.2%,0.0%,±0.1%,0.0%,±0.1%,0.0%,±0.1%,8.42E-02,,6.6%,
010,54%,±0.4%,9.8%,±0.3%,4.8%,±0.2%,32%,±0.4%,0.0%,±0.4%,0.0%,±0.1%,0.0%,±0.2%,0.0%,±0.1%,0.0%,±0.0%,0.0%,±0.1%,2.93E-02,,5.3%,
011,52%,±0.4%,8.3%,±0.3%,5.7%,±0.3%,28%,±0.4%,6.2%,±0.4%,0.0%,±0.2%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.1%,0.0%,±0.1%,3.26E-02,,6.0%,
012,61%,±0.4%,6.5%,±0.2%,5.0%,±0.3%,28%,±0.4%,0.0%,±0.4%,0.0%,±0.1%,0.0%,±0.2%,0.0%,±0.1%,0.0%,±0.0%,0.0%,±0.1%,7.17E-02,,5.7%,
019,35%,±0.3%,7.2%,±0.3%,11%,±0.4%,39%,±0.4%,8.2%,±0.4%,0.5%,±0.1%,0.0%,±0.2%,0.0%,±0.1%,0.0%,±0.1%,0.0%,±0.1%,6.53E-02,,4.4%,
023,43%,±0.4%,8.4%,±0.3%,6.9%,±0.3%,35%,±0.4%,5.3%,±0.4%,1.2%,±0.2%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.0%,0.0%,±0.1%,3.50E-02,,5.9%,
024,35%,±0.4%,7.2%,±0.3%,9.2%,±0.4%,40%,±0.5%,8.2%,±0.5%,0.8%,±0.2%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.1%,0.0%,±0.1%,3.31E-02,,5.7%,
034,61%,±0.3%,9.1%,±0.2%,7.4%,±0.2%,22%,±0.3%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.2%,0.0%,±0.0%,0.0%,±0.0%,0.0%,±0.1%,4.18E-02,,6.0%,
035,68%,±0.4%,10%,±0.2%,4.9%,±0.2%,17%,±0.3%,0.0%,±0.3%,0.0%,±0.2%,0.0%,±0.2%,0.0%,±0.0%,0.0%,±0.0%,0.0%,±0.1%,3.68E-02,,6.0%,
036,62%,±0.3%,8.1%,±0.2%,7.2%,±0.2%,22%,±0.3%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.2%,0.0%,±0.0%,0.0%,±0.0%,0.0%,±0.1%,8.05E-02,,5.2%,
044,50%,±0.4%,8.6%,±0.3%,8.2%,±0.3%,28%,±0.4%,5.5%,±0.4%,0.0%,±0.1%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.0%,0.0%,±0.1%,3.72E-02,,5.5%,
045,46%,±0.4%,9.2%,±0.3%,6.3%,±0.3%,32%,±0.4%,5.5%,±0.4%,0.7%,±0.1%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.1%,0.0%,±0.1%,3.25E-02,,5.3%,
046,44%,±0.4%,6.3%,±0.3%,9.0%,±0.3%,34%,±0.4%,5.8%,±0.4%,0.7%,±0.1%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.0%,0.0%,±0.1%,7.59E-02,,5.3%,
052,39%,±0.4%,6.6%,±0.3%,8.1%,±0.4%,40%,±0.5%,6.5%,±0.5%,0.0%,±0.1%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.1%,0.0%,±0.2%,2.71E-02,,5.7%,
054,38%,±0.3%,6.8%,±0.3%,8.5%,±0.3%,39%,±0.4%,7.1%,±0.4%,0.7%,±0.1%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.0%,0.0%,±0.1%,6.63E-02,,4.4%,
058,38%,±0.4%,6.9%,±0.3%,9.1%,±0.4%,40%,±0.5%,6.5%,±0.4%,0.0%,±0.1%,0.0%,±0.3%,0.0%,±0.1%,0.0%,±0.1%,0.0%,±0.1%,3.31E-02,,6.0%,
