[Header]	
System	TOC_TNb Standard	
S/W Version	1.00	
User		
Date/Time	7/15/2022 1:36:35 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	NPOC	DIW	Untitled					-45.47		mg/L	1	6/17/2022 12:23:31 PM	
Unknown	NPOC	1ppm_NPOC_CKSTD	Untitled					-45.82		mg/L	2	6/17/2022 12:49:01 PM	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled					100.0		mg/L	3, 4, 5, 6, 7, 8	6/17/2022 3:11:55 PM	
Unknown	NPOC	DIW	Untitled					86.43		mg/L	5	6/27/2022 4:38:40 PM	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled					100.0		mg/L	4, 7, 8, 9, 10, 11	6/27/2022 7:00:32 PM	
Unknown	NPOC	DIW	Untitled					0.000		mg/L	6	6/27/2022 7:27:20 PM	
Unknown	NPOC	1ppm_NPOC_CKSTD	Untitled					-43.42		mg/L	15	6/27/2022 7:54:20 PM	
Unknown	NPOC	1ppm_NPOC_CKSTD	Untitled					-45.09		mg/L	16	6/27/2022 8:16:06 PM	
Unknown	NPOC	1ppm_NPOC_CKSTD	Untitled					-44.98		mg/L	17	6/27/2022 8:43:01 PM	
Unknown	NPOC	10ppm-CKSTD	Untitled					0.000		mg/L	0	6/28/2022 8:39:05 AM	
Unknown	NPOC	10ppm-CKSTD	Untitled					0.000		mg/L	0	6/28/2022 8:57:09 AM	
Unknown	NPOC	10ppm-CKSTD	Untitled					0.000		mg/L	0	6/28/2022 9:15:10 AM	
Unknown	NPOC	10ppm-CKSTD	Untitled					0.000		mg/L	41	6/28/2022 9:41:46 AM	
Unknown	NPOC	10ppm-CKSTD	Untitled					0.000		mg/L	42	6/28/2022 10:08:21 AM	
Unknown	NPOC	DIW	Untitled					0.000		mg/L	1	6/30/2022 12:20:48 PM	
Standard	NPOC	cal	Untitled					100.0		mg/L	2, 5, 6, 7, 8, 9	6/30/2022 2:08:31 PM	
Unknown	NPOC	DIW	Untitled					0.5754		mg/L	3	6/30/2022 2:27:46 PM	
Unknown	NPOC	DOC_CMPS_KFP_0082_diluted3x	skip					10.26		mg/L	21	6/30/2022 2:44:44 PM	
Unknown	NPOC	DOC_CMPS_KFP_0083_diluted3x	skip					8.167		mg/L	22	6/30/2022 3:04:10 PM	
Unknown	NPOC	DOC_CMPS_KFP_0084_diluted3x	skip					4.712		mg/L	23	6/30/2022 3:25:18 PM	
Unknown	NPOC	DOC_CMPS_KFP_0135	Untitled					3.026		mg/L	24	6/30/2022 3:38:12 PM	
Unknown	NPOC	DOC_CMPS_KFP_0136	Untitled					2.834		mg/L	25	6/30/2022 3:51:11 PM	
Unknown	NPOC	DOC_CMPS_KFP_0137	Untitled					1.955		mg/L	26	6/30/2022 4:11:29 PM	
Unknown	NPOC	DIW	Untitled					0.000		mg/L	73		
Unknown	NPOC	DIW	Untitled					1.044		mg/L	73	6/30/2022 5:22:57 PM	
Unknown	NPOC	DIW						0.1496		mg/L	74	6/30/2022 5:37:10 PM	
Unknown	NPOC	chkstd-1ppm	Untitled					1.525		mg/L	81	6/30/2022 5:52:31 PM	
Unknown	NPOC	DOC_CMPS_KFP_0001						15.59		mg/L	1	6/30/2022 6:06:44 PM	
Unknown	NPOC	DOC_CMPS_KFP_0002						7.390		mg/L	2	6/30/2022 6:30:35 PM	
Unknown	NPOC	DOC_CMPS_KFP_0003						8.159		mg/L	3	6/30/2022 6:49:23 PM	
Unknown	NPOC	DOC_CMPS_KFP_0004						6.162		mg/L	4	6/30/2022 7:05:27 PM	
Unknown	NPOC	DOC_CMPS_KFP_0005						5.746		mg/L	5	6/30/2022 7:21:11 PM	
Unknown	NPOC	DOC_CMPS_KFP_0006						5.329		mg/L	6	6/30/2022 7:39:20 PM	
Unknown	NPOC	DOC_CMPS_KFP_0007						12.20		mg/L	7	6/30/2022 8:02:03 PM	
Unknown	NPOC	DOC_CMPS_KFP_0008						5.617		mg/L	8	6/30/2022 8:15:04 PM	
Unknown	NPOC	DOC_CMPS_KFP_0009						5.912		mg/L	9	6/30/2022 8:36:11 PM	
Unknown	NPOC	DOC_CMPS_KFP_0010						9.464		mg/L	10	6/30/2022 9:20:03 PM	
Unknown	NPOC	DOC_CMPS_KFP_0011						7.211		mg/L	11	6/30/2022 9:33:23 PM	
Unknown	NPOC	DOC_CMPS_KFP_0012						0.6722		mg/L	12	6/30/2022 9:45:11 PM	
Unknown	NPOC	DOC_CMPS_KFP_0013						0.3221		mg/L	13	6/30/2022 10:11:43 PM	
Unknown	NPOC	DOC_CMPS_KFP_0014						4.967		mg/L	14	6/30/2022 10:31:59 PM	
Unknown	NPOC	DOC_CMPS_KFP_0015						3.987		mg/L	15	6/30/2022 10:50:33 PM	
Unknown	NPOC	DOC_CMPS_KFP_0016						5.497		mg/L	16	6/30/2022 11:11:43 PM	
Unknown	NPOC	DOC_CMPS_KFP_0017						4.905		mg/L	17	6/30/2022 11:27:30 PM	
Unknown	NPOC	DOC_CMPS_KFP_0018						7.983		mg/L	18	6/30/2022 11:48:42 PM	
Unknown	NPOC	DOC_CMPS_KFP_0019						14.60		mg/L	19	7/1/2022 12:03:19 AM	
Unknown	NPOC	DOC_CMPS_KFP_0020						6.126		mg/L	20	7/1/2022 12:18:57 AM	
Unknown	NPOC	DOC_CMPS_KFP_0021						6.223		mg/L	21	7/1/2022 12:32:11 AM	
Unknown	NPOC	DOC_CMPS_KFP_0022						4.176		mg/L	22	7/1/2022 12:53:06 AM	
Unknown	NPOC	DOC_CMPS_KFP_0023						2.292		mg/L	23	7/1/2022 1:05:30 AM	
Unknown	NPOC	DOC_CMPS_KFP_0024						4.706		mg/L	24	7/1/2022 1:21:19 AM	
Unknown	NPOC	DOC_CMPS_KFP_0025						0.5846		mg/L	25	7/1/2022 1:32:58 AM	
Unknown	NPOC	DOC_CMPS_KFP_0026						0.5450		mg/L	26	7/1/2022 1:51:52 AM	
Unknown	NPOC	chk-std-10ppm						10.47		mg/L	82	7/1/2022 2:08:57 AM	
Unknown	NPOC	DOC_CMPS_KFP_0027						2.054		mg/L	27	7/1/2022 2:26:09 AM	
Unknown	NPOC	DOC_CMPS_KFP_0028						3.880		mg/L	28	7/1/2022 2:46:15 AM	
Unknown	NPOC	DOC_CMPS_KFP_0029						2.020		mg/L	29	7/1/2022 3:01:05 AM	
Unknown	NPOC	DOC_CMPS_KFP_0030						3.896		mg/L	30	7/1/2022 3:22:02 AM	
Unknown	NPOC	DOC_CMPS_KFP_0031						3.217		mg/L	31	7/1/2022 3:37:35 AM	
Unknown	NPOC	DOC_CMPS_KFP_0032						2.797		mg/L	32	7/1/2022 3:52:45 AM	
Unknown	NPOC	DOC_CMPS_KFP_0033						2.736		mg/L	33	7/1/2022 4:10:09 AM	
Unknown	NPOC	DOC_CMPS_KFP_0034						2.134		mg/L	34	7/1/2022 4:28:20 AM	
Unknown	NPOC	DOC_CMPS_KFP_0035						2.615		mg/L	35	7/1/2022 4:44:01 AM	
Unknown	NPOC	DOC_CMPS_KFP_0036						3.016		mg/L	36	7/1/2022 5:05:08 AM	
Unknown	NPOC	DOC_CMPS_KFP_0037						3.322		mg/L	37	7/1/2022 5:21:11 AM	
Unknown	NPOC	DOC_CMPS_KFP_0038						0.5722		mg/L	38	7/1/2022 5:37:10 AM	
Unknown	NPOC	DOC_CMPS_KFP_0039						0.7729		mg/L	39	7/1/2022 5:56:51 AM	
Unknown	NPOC	DOC_CMPS_KFP_0040						4.439		mg/L	40	7/1/2022 6:10:22 AM	
Unknown	NPOC	DOC_CMPS_KFP_0041						2.225		mg/L	41	7/1/2022 6:27:58 AM	
Unknown	NPOC	DOC_CMPS_KFP_0042						2.023		mg/L	42	7/1/2022 6:48:26 AM	
Unknown	NPOC	DOC_CMPS_KFP_0043						4.676		mg/L	43	7/1/2022 7:04:34 AM	
Unknown	NPOC	DOC_CMPS_KFP_0044						6.538		mg/L	44	7/1/2022 7:22:57 AM	
Unknown	NPOC	DOC_CMPS_KFP_0045						4.961		mg/L	45	7/1/2022 7:41:09 AM	
Unknown	NPOC	DOC_CMPS_KFP_0046						5.643		mg/L	46	7/1/2022 8:00:00 AM	
Unknown	NPOC	DOC_CMPS_KFP_0047						5.445		mg/L	47	7/1/2022 8:12:52 AM	
Unknown	NPOC	DOC_CMPS_KFP_0048						7.977		mg/L	48	7/1/2022 8:31:29 AM	
Unknown	NPOC	DOC_CMPS_KFP_0049						7.778		mg/L	49	7/1/2022 8:45:13 AM	
Unknown	NPOC	DOC_CMPS_KFP_0050						3.638		mg/L	50	7/1/2022 9:03:49 AM	
Unknown	NPOC	DOC_CMPS_KFP_0051						0.5382		mg/L	51	7/1/2022 9:19:54 AM	
Unknown	NPOC	DOC_CMPS_KFP_0052						0.3074		mg/L	52	7/1/2022 9:36:00 AM	
Unknown	NPOC	chk-std-10ppm						10.06		mg/L	83	7/1/2022 9:55:43 AM	
Unknown	NPOC	DOC_CMPS_KFP_0053						6.987		mg/L	53	7/1/2022 10:08:50 AM	
Unknown	NPOC	DOC_CMPS_KFP_0054						7.884		mg/L	54	7/1/2022 10:22:32 AM	
Unknown	NPOC	DOC_CMPS_KFP_0055						5.041		mg/L	55	7/1/2022 10:41:09 AM	
Unknown	NPOC	DOC_CMPS_KFP_0056						6.158		mg/L	56	7/1/2022 10:54:38 AM	
Unknown	NPOC	DOC_CMPS_KFP_0057						6.418		mg/L	57	7/1/2022 11:16:04 AM	
Unknown	NPOC	DOC_CMPS_KFP_0058						3.087		mg/L	58	7/1/2022 11:36:51 AM	
Unknown	NPOC	DOC_CMPS_KFP_0059						3.605		mg/L	59	7/1/2022 11:57:40 AM	
Unknown	NPOC	DOC_CMPS_KFP_0060						3.295		mg/L	60	7/1/2022 12:15:38 PM	
Unknown	NPOC	DOC_CMPS_KFP_0061						5.903		mg/L	61	7/1/2022 12:33:58 PM	
Unknown	NPOC	DOC_CMPS_KFP_0062						3.328		mg/L	62	7/1/2022 12:52:23 PM	
Unknown	NPOC	DOC_CMPS_KFP_0063						8.016		mg/L	63	7/1/2022 1:11:21 PM	
Unknown	NPOC	DOC_CMPS_KFP_0064						0.5723		mg/L	64	7/1/2022 1:27:17 PM	
Unknown	NPOC	DOC_CMPS_KFP_0065						0.4471		mg/L	65	7/1/2022 1:43:25 PM	
Unknown	NPOC	DOC_CMPS_KFP_0066						4.561		mg/L	66	7/1/2022 1:59:46 PM	
Unknown	NPOC	DOC_CMPS_KFP_0067						1.708		mg/L	67	7/1/2022 2:16:36 PM	
Unknown	NPOC	DOC_CMPS_KFP_0068						3.137		mg/L	68	7/1/2022 2:34:37 PM	
Unknown	NPOC	DOC_CMPS_KFP_0069						2.528		mg/L	69	7/1/2022 2:55:23 PM	
Unknown	NPOC	DOC_CMPS_KFP_0070						2.454		mg/L	70	7/1/2022 3:13:12 PM	
Unknown	NPOC	DOC_CMPS_KFP_0071						3.214		mg/L	71	7/1/2022 3:31:53 PM	
Unknown	NPOC	DOC_CMPS_KFP_0072						2.318		mg/L	72	7/1/2022 3:49:28 PM	
Unknown	NPOC	chk std 10 ppm						10.41		mg/L	84	7/1/2022 4:08:40 PM	
Standard	NPOC	cal	Untitled					100.0		mg/L	81, 82, 83, 84, 85, 86	7/5/2022 11:40:47 AM	
Unknown	NPOC	chk-std-10ppm	Untitled					9.825		mg/L	73	7/5/2022 11:57:24 AM	
Unknown	NPOC	DOC_CMPS_KFP_0073	Untitled					7.924		mg/L	1	7/5/2022 12:17:26 PM	
Unknown	NPOC	DOC_CMPS_KFP_0074	Untitled					4.069		mg/L	2	7/5/2022 12:34:24 PM	
Unknown	NPOC	DOC_CMPS_KFP_0075	Untitled					5.607		mg/L	3	7/5/2022 12:47:32 PM	
Unknown	NPOC	DOC_CMPS_KFP_0076	Untitled					3.995		mg/L	4	7/5/2022 1:04:51 PM	
Unknown	NPOC	DOC_CMPS_KFP_0077	Untitled					2.802		mg/L	5	7/5/2022 1:18:56 PM	
Unknown	NPOC	DOC_CMPS_KFP_0078	Untitled					1.758		mg/L	6	7/5/2022 1:30:28 PM	
Unknown	NPOC	DOC_CMPS_KFP_0079	Untitled					8.322		mg/L	7	7/5/2022 1:44:21 PM	
Unknown	NPOC	DOC_CMPS_KFP_0080	Untitled					8.287		mg/L	8	7/5/2022 1:57:31 PM	
Unknown	NPOC	DOC_CMPS_KFP_0081	Untitled					10.01		mg/L	9	7/5/2022 2:10:18 PM	
