site,sample_id,wt_sieve_g,wt_sieve_soil_53um_g,wt_half_gallon_jar_g,wt_jar_soil_g,reading_90min,blank_90min,reading_1440min,blank_1440min,date_started,notes
CC,K001_T,85.19,89.24,845.4,873.2,12,0,8,0,1/17/23,
CC,K001_U,81.6,89.72,760.9,793.6,14,0,9,0,1/16/23,spilled some material while sieving 53 um 
CC,K001_W,,,,,,,,,,Overflowed
PR,K004,81.58,86.24,,,18,3,12,3,7/26/22,
PR,K004_T,85.51,88.68,848.4,876.1,6,0,10,0,1/16/23,
PR,K004_U,81.25,84.65,848.1,871.1,11,0,7,0,1/16/23,
PR,K004_W,,,,,,,,,,Overflowed
OWC,K011_T,85.1,91.97,848.3,881.3,11,0,7,0,1/16/23,
OWC,K011_U,82.54,91.1,844.8,879.6,12,0,9,0,1/17/23,
OWC,K011_W,,,,,,,,,,Overflowed
GWI,K018_T,83.33,114.5,848.6,858,5,0,5,0,1/16/23,
GWI,K018_U,,,,,,,,,,Jar broken while doing H2O2 (sample was non-salvagable)
GWI,K018_W,85.8,126.1,842.8,849,2,0,4,0,1/17/23,
MSM,K059_T,,,,,,,,,,
MSM,K059_U,,,,,,,,,,
MSM,K059_W,,,,,,,,,,
GCREW,K062_T,81.42,96.84,829.7,847.2,9,2,6,2,1/19/23,
GCREW,K062_U,81.6,93.4,839.2,868.1,20,2,15,1,1/18/23,
GCREW,K062_W,,,,,,,,,,Overflowed
