"sample_label","analysis_type","sample_wt_g","analysis_ID","date_extracted","NPOC_dilution","NPOC_dilution_notes","notes","old_sample_label_wrong"
"COMPASS_Dec2021_001","CATIONS","5.02","CAT_CMPS_KFP_0001","2022-05-31",,,,
"COMPASS_Dec2021_002","CATIONS","5.02","CAT_CMPS_KFP_0002","2022-05-31",,,,
"COMPASS_Dec2021_003","CATIONS","4.99","CAT_CMPS_KFP_0003","2022-05-31",,,,
"COMPASS_Dec2021_004","CATIONS","4.99","CAT_CMPS_KFP_0004","2022-05-31",,,,
"COMPASS_Dec2021_005","CATIONS","4.99","CAT_CMPS_KFP_0005","2022-05-31",,,,
"COMPASS_Dec2021_006","CATIONS","5.01","CAT_CMPS_KFP_0006","2022-05-31",,,,
"COMPASS_Dec2021_007","CATIONS","4.99","CAT_CMPS_KFP_0007","2022-05-31",,,,
"COMPASS_Dec2021_008","CATIONS","4.99","CAT_CMPS_KFP_0008","2022-05-31",,,,
"COMPASS_Dec2021_009","CATIONS","5.01","CAT_CMPS_KFP_0009","2022-05-31",,,,
"COMPASS_Dec2021_010","CATIONS","5","CAT_CMPS_KFP_0010","2022-05-31",,,,
"rep-5","CATIONS","5","CAT_CMPS_KFP_0011","2022-05-31",,,,
"blank - filter","CATIONS",,"CAT_CMPS_KFP_0012","2022-05-31",,,,
"blank - solution","CATIONS",,"CAT_CMPS_KFP_0013","2022-05-31",,,,
"COMPASS_Dec2021_011","CATIONS","5.01","CAT_CMPS_KFP_0014","2022-06-06",,,,
"COMPASS_Dec2021_012","CATIONS","5.01","CAT_CMPS_KFP_0015","2022-05-31",,,,
"COMPASS_Dec2021_013","CATIONS","5.01","CAT_CMPS_KFP_0016","2022-05-31",,,,
"COMPASS_Dec2021_014","CATIONS","5.02","CAT_CMPS_KFP_0017","2022-05-31",,,,
"COMPASS_Dec2021_015","CATIONS","4.99","CAT_CMPS_KFP_0018","2022-05-31",,,,
"COMPASS_Dec2021_016","CATIONS","5.02","CAT_CMPS_KFP_0019","2022-05-31",,,,
"COMPASS_Dec2021_017","CATIONS","5.02","CAT_CMPS_KFP_0020","2022-05-31",,,,
"COMPASS_Dec2021_018","CATIONS","4.98","CAT_CMPS_KFP_0021","2022-05-31",,,,
"COMPASS_Dec2021_019","CATIONS","4.98","CAT_CMPS_KFP_0022","2022-05-31",,,,
