"sample_label","mehlichp_g","iron_g","WSOC_g","base_cations_g","NH4_NO3_g","totalCN_g","bulk_for_drying_g","mehlichp_mL","iron_mL","WSOC_mL","base_cations_mL","NH4_NO4_mL","notes"
"COMPASS_Dec2021_035",1,1.23,7.98,4.99,5.02,3.01,5.15,"10","12","40","25","25",
"COMPASS_Dec2021_036",0.99,1.21,7.99,4.98,5,2.99,5.41,"10","12","40","25","25",
"COMPASS_Dec2021_037",0.99,1.19,7.98,5.02,4.98,3.01,5.12,"10","12","40","25","25",
"COMPASS_Dec2021_038",0.96,1.24,8,5,5.02,2.98,5.12,"10","12","40","25","25",
"COMPASS_Dec2021_039",0.97,1.21,8.02,5,5.01,2.99,5.17,"10","12","40","25","25",
"COMPASS_Dec2021_040",0.98,1.2,8,4.99,5,2.99,5.24,"10","12","40","25","25",
"COMPASS_Dec2021_041",0.99,1.18,7.98,5,4.98,2.98,5,"10","12","40","25","25",
"COMPASS_Dec2021_042",0.97,1.23,8.02,4.98,5.02,3.01,5.34,"10","12","40","25","25",
"COMPASS_Dec2021_043",0.99,1.23,8.01,5,5,3,5.01,"10","12","40","25","25",
"COMPASS_Dec2021_044",0.99,1.25,7.98,5,5,3.01,5.29,"10","12","40","25","25",
"COMPASS_Dec2021_045",1.04,1.22,7.99,5.02,4.98,2.99,5.13,"10","12","40","25","25",
"COMPASS_Dec2021_046",0.97,1.19,7.98,5.02,5,2.99,5.2,"10","12","40","25","25",
"COMPASS_Dec2021_047",1.03,1.2,8.02,5.01,5,3.01,5.21,"10","12","40","25","25",
"COMPASS_Dec2021_048",1,1.23,8,5.01,5.02,3,5.19,"10","12","40","25","25",
"COMPASS_Dec2021_049",0.97,1.19,8.01,5,5.02,3.02,5.19,"10","12","40","25","25",
"COMPASS_Dec2021_050",1,1.22,8.01,4.99,4.98,3,5.2,"10","12","40","25","25",
"COMPASS_Dec2021_051",1.03,1.22,8.01,5.02,4.98,3.01,5.44,"10","12","40","25","25",
"COMPASS_Dec2021_052",1.04,1.17,8,4.98,5,3.02,5.27,"10","12","40","25","25","Noticed some streaks of a rusty orange in the sample bag, maybe oxidized Iron?"
"COMPASS_Dec2021_053",0.99,1.19,7.98,5.02,5.02,3.01,5.28,"10","12","40","25","25",
"COMPASS_Dec2021_054",1.03,1.23,8,4.98,4.99,2.99,5.26,"10","12","40","25","25","Noticed some streaks of a rusty orange in the sample bag, maybe oxidized Iron?"
"COMPASS_Dec2021_055",0.97,1.22,8.01,5.02,5,2.98,5.3,"10","12","40","25","25",
"COMPASS_Dec2021_056",1.03,,7.98,4.98,4.98,2.99,5.22,"10","12","40","25","25","messed up iron extraction. needs to reweigh"
"COMPASS_Dec2021_057",1,1.2,8,5.01,5.02,3.01,5.4,"10","12","40","25","25",
"COMPASS_Dec2021_058",1.02,1.18,8.01,5.02,5.01,3,5.26,"10","12","40","25","25",
"COMPASS_Dec2021_059",1.03,1.23,8.02,5,5.01,3,5.21,"10","12","40","25","25",
"COMPASS_Dec2021_060",1,1.19,7.99,5.01,5.01,3.01,5.1,"10","12","40","25","25",
"COMPASS_Dec2021_061",1.15,1.25,8.02,5.02,4.99,3.02,5.19,"12","12","40","25","25",
"COMPASS_Dec2021_062",1.17,1.25,8.01,5.01,4.98,2.98,5.44,"12","12","40","25","25",
"COMPASS_Dec2021_063",1.18,1.18,7.98,5,5.01,3.01,5.41,"12","12","40","25","25",
"COMPASS_Dec2021_064",1.18,1.15,8.02,5.02,5.01,3.02,5.39,"12","12","40","25","25",
"COMPASS_Dec2021_065",1.19,1.2,7.98,5.01,5,2.98,5.09,"12","12","40","25","25",
"COMPASS_Dec2021_066",1.19,1.19,8.01,5.02,4.98,3.02,5.21,"12","12","40","25","25",
"COMPASS_Dec2021_067",1.17,1.23,8.02,5.01,4.99,3.01,5.44,"12","12","40","25","25",
"COMPASS_Dec2021_068",1.21,1.17,8.01,4.98,5.02,3,5.23,"12","12","40","25","25","hole in bag, double bagged"
"COMPASS_Dec2021_069",1.17,1.21,7.98,4.99,5.02,3.02,5.3,"12","12","40","25","25",
"COMPASS_Dec2021_070",1.2,1.24,8,5,4.99,2.99,5.16,"12","12","40","25","25",
"COMPASS_Dec2021_071",1.18,1.15,8.01,5,5.01,2.98,5.3,"12","12","40","25","25",
"COMPASS_Dec2021_072",1.24,1.23,8.01,5.01,5.01,2.99,5.34,"12","12","40","25","25","hole in the bag, put it in another bag."
"COMPASS_Dec2021_073",1.16,1.2,8.02,5.01,5.02,3.02,5.15,"12","12","40","25","25",
"COMPASS_Dec2021_074",1.19,1.21,8.01,4.98,5.02,3.02,5.16,"12","12","40","25","25",
"COMPASS_Dec2021_075",1.19,1.18,7.99,5.02,5,3,5.1,"12","12","40","25","25",
"COMPASS_Dec2021_076",1.19,1.2,8.02,4.98,5,2.99,5.22,"12","12","40","25","25",
"COMPASS_Dec2021_077",1.19,1.16,7.99,5.01,5.02,3,5.23,"12","12","40","25","25",
"COMPASS_Dec2021_078",1.21,1.22,7.99,5.01,4.99,3.01,5.38,"12","12","40","25","25",
"COMPASS_Dec2021_079",1.2,1.21,8.01,5.02,4.99,2.99,5.09,"12","12","40","25","25",
