No. ,Weight  [mg],Name  ,Method  ,Coefficients  ,S  Area,S  [%],S  Factor,S  Blank,Moisture  [%],Memo  ,Info  ,Date       Time  
23,10.25,COMPASS_AUG22_KFP_228,Standard,Low S Jan 2022,486,0.037,1.2269,0,0,,,02.11.2022 14:35:44
24,9.36,COMPASS_AUG22_KFP_229,Standard,Low S Jan 2022,467,0.039,1.2269,0,0,,,02.11.2022 14:38:54
25,10.52,COMPASS_AUG22_KFP_230,Standard,Low S Jan 2022,581,0.044,1.2269,0,0,,,02.11.2022 14:42:04
26,100,MT,Standard,Low S Jan 2022,0,0,1.2269,0,0,,Snp,02.11.2022 14:45:14
27,30.58,b2152,Standard,Low S Jan 2022,555,0.012,1.0269,0,0,,,02.11.2022 14:48:27
28,9.53,COMPASS_AUG22_KFP_231,Standard,Low S Jan 2022,19233,1.459,1.0269,0,0,,So,02.11.2022 14:51:40
29,10.83,COMPASS_AUG22_KFP_232,Standard,Low S Jan 2022,29690,1.984,1.0269,0,0,,So,02.11.2022 14:54:50
30,9.7,COMPASS_AUG22_KFP_233,Standard,Low S Jan 2022,25602,1.909,1.0269,0,0,,So,02.11.2022 14:58:01
31,10,COMPASS_AUG22_KFP_234,Standard,Low S Jan 2022,25376,1.836,1.0269,0,0,,So,02.11.2022 15:01:20
32,10.08,COMPASS_AUG22_KFP_235,Standard,Low S Jan 2022,27602,1.981,1.0269,0,0,,So,02.11.2022 15:04:38
33,10.58,COMPASS_AUG22_KFP_236,Standard,Low S Jan 2022,30782,2.105,1.0269,0,0,,So,02.11.2022 15:07:54
34,11.17,COMPASS_AUG22_KFP_237,Standard,Low S Jan 2022,29289,1.897,1.0269,0,0,,So,02.11.2022 15:11:27
35,10.43,COMPASS_AUG22_KFP_238,Standard,Low S Jan 2022,24520,1.7,1.0269,0,0,,So,02.11.2022 15:14:38
36,9.96,COMPASS_AUG22_KFP_239,Standard,Low S Jan 2022,190,0.01,1.0269,0,0,,,02.11.2022 15:17:48
37,9.53,COMPASS_AUG22_KFP_240,Standard,Low S Jan 2022,576,0.04,1.0269,0,0,,,02.11.2022 15:20:59
38,10.76,COMPASS_AUG22_KFP_241,Standard,Low S Jan 2022,183,0.009,1.0269,0,0,,,02.11.2022 15:24:15
39,10.86,COMPASS_AUG22_KFP_242,Standard,Low S Jan 2022,538,0.033,1.0269,0,0,,,02.11.2022 15:27:26
40,9.15,COMPASS_AUG22_KFP_243,Standard,Low S Jan 2022,284,0.019,1.0269,0,0,,,02.11.2022 15:30:37
41,9.63,COMPASS_AUG22_KFP_244,Standard,Low S Jan 2022,150,0.008,1.0269,0,0,,,02.11.2022 15:33:50
42,9.9,COMPASS_AUG22_KFP_245,Standard,Low S Jan 2022,269,0.016,1.0269,0,0,,,02.11.2022 15:37:02
43,10.59,COMPASS_AUG22_KFP_246,Standard,Low S Jan 2022,328,0.019,1.0269,0,0,,,02.11.2022 15:40:13
44,100,MT,Standard,Low S Jan 2022,0,0,1.0269,0,0,,Snp,02.11.2022 15:43:23
45,31.02,b2152,Standard,Low S Jan 2022,588,0.012,0.9773,0,0,,,02.11.2022 15:46:35
46,11.14,COMPASS_AUG22_KFP_247,Standard,Low S Jan 2022,289,0.015,0.9773,0,0,,,02.11.2022 15:49:47
47,10.93,COMPASS_AUG22_KFP_248,Standard,Low S Jan 2022,293,0.015,0.9773,0,0,,,02.11.2022 15:52:58
48,10.99,COMPASS_AUG22_KFP_249,Standard,Low S Jan 2022,616,0.036,0.9773,0,0,,,02.11.2022 15:56:10
49,10.33,COMPASS_AUG22_KFP_250,Standard,Low S Jan 2022,407,0.024,0.9773,0,0,,,02.11.2022 15:59:29
50,10.24,COMPASS_AUG22_KFP_251,Standard,Low S Jan 2022,488,0.03,0.9773,0,0,,,02.11.2022 16:02:41
51,10.32,COMPASS_AUG22_KFP_252,Standard,Low S Jan 2022,231,0.012,0.9773,0,0,,,02.11.2022 16:05:53
52,10.77,COMPASS_AUG22_KFP_253,Standard,Low S Jan 2022,437,0.025,0.9773,0,0,,,02.11.2022 16:09:06
53,10.74,COMPASS_AUG22_KFP_254,Standard,Low S Jan 2022,239,0.012,0.9773,0,0,,,02.11.2022 16:12:23
54,100,MT,Standard,Low S Jan 2022,13,0,0.9773,0,0,,Su,02.11.2022 16:15:35
55,31.798,b2152,Standard,Low S Jan 2022,541,0.012,1.0985,0,0,,,02.11.2022 16:18:47
56,0,,,,0,0,1.0985,0,0,,, 
