Customer ID #,NO3-N (ppm),NH4-N (ppm)
239,BQL,3.51
240,BQL,3.53
241,BQL,3.48
242,BQL,3.91
243,BQL,2.75
244,BQL,2.68
245,BQL,2.82
246,BQL,2.48
247,BQL,3.11
248,BQL,2.52
249,BQL,3.09
250,BQL,2.57
251,BQL,2.67
252,BQL,0.28
253,BQL,0.16
254,BQL,1.88
255,BQL,0.47
256,BQL,0.24
257,BQL,0.18
258,BQL,0.49
259,BQL,0.67
260,BQL,0.85
261,BQL,0.13
262,BQL,0.12
263,BQL,0.06
264,BQL,0.04
265,BQL,0.66
266,BQL,0.42
267,BQL,0.44
268,BQL,0.47
269,BQL,0.41
270,BQL,0.57
271,BQL,0.46
272,BQL,0.39
273,BQL,0.29
274,BQL,0.09
275,BQL,0.99
276,BQL,0.06
277,BQL,0.05
278,BQL,0.18
279,BQL,0.31
280,BQL,0.26
281,BQL,1.48
282,BQL,1.24
283,BQL,3.98
284,BQL,4.18
285,BQL,0.61
286,BQL,0.39
287,BQL,0.30
288,BQL,0.20
289,BQL,0.12
290,BQL,0.05
