,Cation Concentration Summary Report,,,,,,
,,,,,,,
No. ,Name ,Amount ,Amount ,Amount ,Amount ,Amount ,Amount 
,,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l
,,CD_1,CD_1,CD_1,CD_1,CD_1,CD_1
,,Lithium,Sodium,Ammonia,Potassium,Magnesium,Calcium
1,DI Water,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2,200x Cation Std,0.25,0.99,1.73,2.48,1.23,2.51  
3,DI water,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4,1600x,0.01,0.02,n.a.,0.08,0.02,0.10  
5,800x,0.04,0.14,0.11,0.37,0.17,0.39  
6,400x,0.10,0.41,0.72,0.99,0.49,1.01  
7,200x,0.25,1.01,1.77,2.51,1.27,2.53  
8,20x,2.59,10.39,12.42,25.96,13.03,25.87  
9,5x,9.98,39.91,50.06,99.77,49.87,99.79  
10,DOC_CMPS_KFP_0027,n.a.,2.50,n.a.,1.55,2.57,9.63  
11,DOC_CMPS_KFP_0028,n.a.,4.47,n.a.,1.36,7.38,21.58  
12,DOC_CMPS_KFP_0029,n.a.,3.38,n.a.,4.82,5.76,25.43  
13,DOC_CMPS_KFP_0030,n.a.,3.73,n.a.,3.12,4.04,17.47  
14,DOC_CMPS_KFP_0031,n.a.,4.11,n.a.,1.07,5.09,20.71  
15,DOC_CMPS_KFP_0032,n.a.,4.84,n.a.,1.04,8.12,33.68  
16,DOC_CMPS_KFP_0033,n.a.,4.19,n.a.,1.67,12.12,47.25  
17,DOC_CMPS_KFP_0034,n.a.,5.41,n.a.,0.84,18.45,64.50  
18,DOC_CMPS_KFP_0035,n.a.,5.44,n.a.,n.a.,0.41,44.20  
19,DOC_CMPS_KFP_0036,n.a.,5.65,n.a.,1.99,17.46,59.98  
20,DOC_CMPS_KFP_0037,n.a.,4.17,n.a.,1.06,4.77,13.36  
21,DOC_CMPS_KFP_0038,n.a.,0.50,n.a.,n.a.,n.a.,n.a.
