,Anion Concentration Summary Report,,,,,,,,,,
,,,,,,,,,,,
No. ,Name ,Dilution ,Amount ,Amount ,Amount ,Amount ,Amount ,Amount ,Amount ,Amount ,Amount 
,,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
,,,CD_1_Total,CD_1_Total,CD_1_Total,UV_VIS_1,CD_1_Total,CD_1_Total,CD_1_Total,UV_VIS_1,CD_1_Total
,,,Fluoride,Chloride,Nitrite,Nitrite UV,Sulfate,Bromide,Nitrate,Nitrate UV,Phosphate
1,DI Water,1.0000,n.a.,0.00,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2,10 ppm Anion  Std,1.0000,5.57,9.96,10.96,10.61,9.99,9.95  ,9.91,9.88,9.56
3,DI water,1.0000,n.a.,0.00,n.a.,n.a.,n.a.,n.a.,0.06,n.a.,n.a.
4,1600x,1.0000,n.a.,0.07,n.a.,n.a.,0.05,0.08  ,0.15,0.09,0.25
5,800x,1.0000,n.a.,0.11,n.a.,n.a.,0.08,0.13  ,0.16,0.11,0.34
6,400x,1.0000,n.a.,0.23,n.a.,n.a.,0.19,0.24  ,0.26,0.23,0.55
7,200x,1.0000,n.a.,0.51,n.a.,0.12,0.46,0.50  ,0.52,0.51,1.05
8,20x,1.0000,0.90,5.10,5.47,5.29,5.06,5.07  ,5.12,5.15,9.97
9,5x,1.0000,4.46,19.82,21.76,20.87,19.82,19.77  ,19.84,19.55,39.64
10,A-2x,1.0000,10.96,49.94,50.93,50.07,49.84,49.81  ,50.30,50.06,100.93
11,A-1x,1.0000,20.36,99.30,89.99,93.33,97.98,98.31  ,100.60,98.90,201.51
12,DOC_CMPS_KFP_0271,1.0000,n.a.,96.77,n.a.,n.a.,7.04,0.23  ,0.21,0.09,n.a.
13,DOC_CMPS_KFP_0272,1.0000,n.a.,67.45,n.a.,n.a.,5.43,0.10  ,0.65,0.60,n.a.
14,DOC_CMPS_KFP_0273,1.0000,n.a.,63.11,n.a.,n.a.,5.55,0.12  ,0.29,0.21,n.a.
15,DOC_CMPS_KFP_0274,1.0000,n.a.,103.42,n.a.,n.a.,7.74,0.27  ,0.51,0.37,n.a.
16,DOC_CMPS_KFP_0275,1.0000,n.a.,69.76,n.a.,n.a.,5.34,0.22  ,0.63,0.56,n.a.
17,DOC_CMPS_KFP_0276,1.0000,n.a.,18.23,n.a.,n.a.,1.92,0.08  ,0.24,0.16,n.a.
18,DOC_CMPS_KFP_0277,1.0000,n.a.,117.60,n.a.,n.a.,8.75,0.33  ,0.27,0.05,n.a.
19,DOC_CMPS_KFP_0278,1.0000,n.a.,71.07,n.a.,n.a.,5.16,0.16  ,0.18,0.05,n.a.
20,DOC_CMPS_KFP_0279,1.0000,n.a.,94.87,n.a.,n.a.,14.89,0.17  ,2.20,2.13,n.a.
21,DOC_CMPS_KFP_0280,1.0000,n.a.,99.81,n.a.,n.a.,15.97,0.20  ,1.23,1.11,n.a.
22,A-20x,1.0000,n.a.,0.52,n.a.,0.12,0.47,0.51  ,0.52,0.50,1.08
23,MQ1,1.0000,n.a.,0.00,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
24,DOC_CMPS_KFP_0281,1.0000,n.a.,120.12,n.a.,n.a.,15.84,0.18  ,0.21,0.08,n.a.
25,DOC_CMPS_KFP_0282,1.0000,n.a.,115.15,n.a.,n.a.,15.20,0.23  ,0.44,0.34,n.a.
26,DOC_CMPS_KFP_0283,1.0000,n.a.,145.09,n.a.,n.a.,19.15,0.27  ,0.20,n.a.,n.a.
27,DOC_CMPS_KFP_0284,1.0000,n.a.,148.36,n.a.,n.a.,22.99,0.28  ,0.51,0.38,n.a.
28,DOC_CMPS_KFP_0285,1.0000,n.a.,137.45,n.a.,n.a.,19.31,0.28  ,0.34,0.22,n.a.
29,DOC_CMPS_KFP_0286,1.0000,n.a.,116.61,n.a.,n.a.,16.22,0.27  ,0.44,0.33,n.a.
30,DOC_CMPS_KFP_0287,1.0000,n.a.,116.29,n.a.,n.a.,20.82,0.49  ,0.27,0.13,n.a.
31,DOC_CMPS_KFP_0288,1.0000,n.a.,126.90,n.a.,n.a.,26.84,0.53  ,0.15,n.a.,n.a.
32,DOC_CMPS_KFP_0289,1.0000,n.a.,94.52,n.a.,n.a.,27.99,0.38  ,0.09,n.a.,n.a.
33,DOC_CMPS_KFP_0290,1.0000,n.a.,183.31,n.a.,n.a.,38.76,0.76  ,0.25,0.01,n.a.
34,A-20x,1.0000,n.a.,0.51,n.a.,0.11,0.46,0.51  ,0.52,0.51,1.05
