35,MQ2,1.0000,n.a.,0.01,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
36,DOC_CMPS_KFP_0291,1.0000,n.a.,140.90,n.a.,n.a.,38.34,0.54  ,0.16,0.06,n.a.
37,DOC_CMPS_KFP_0292,1.0000,n.a.,n.a.,n.a.,n.a.,239.26,4.03  ,0.75,0.08,n.a.
38,DOC_CMPS_KFP_0293,1.0000,n.a.,132.74,n.a.,n.a.,22.88,0.53  ,1.55,1.44,n.a.
39,DOC_CMPS_KFP_0294,1.0000,n.a.,68.79,n.a.,n.a.,5.53,0.10  ,0.89,0.82,n.a.
40,DOC_CMPS_KFP_0295,1.0000,n.a.,0.09,n.a.,n.a.,0.00,n.a.,0.16,0.11,n.a.
41,DOC_CMPS_KFP_0296,1.0000,n.a.,0.07,n.a.,n.a.,0.00,n.a.,0.08,0.01,n.a.
42,DOC_CMPS_KFP_0297,1.0000,n.a.,136.05,n.a.,n.a.,24.66,0.54  ,0.35,0.23,n.a.
43,DOC_CMPS_KFP_0298,1.0000,n.a.,n.a.,n.a.,n.a.,277.97,3.78  ,n.a.,0.10,n.a.
44,DOC_CMPS_KFP_0299,1.0000,n.a.,86.77,n.a.,n.a.,9.79,0.28  ,0.24,0.10,n.a.
45,DOC_CMPS_KFP_0300,1.0000,n.a.,49.18,n.a.,n.a.,5.08,n.a.,0.30,0.19,n.a.
46,A-20x,1.0000,n.a.,0.51,n.a.,0.12,0.49,0.51  ,0.52,0.50,1.04
47,MQ3,1.0000,n.a.,0.01,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
48,DOC_CMPS_KFP_0301,1.0000,n.a.,81.52,n.a.,n.a.,9.44,0.28  ,0.18,0.05,n.a.
49,DOC_CMPS_KFP_0302,1.0000,n.a.,44.12,n.a.,n.a.,5.73,0.12  ,0.35,0.30,n.a.
50,DOC_CMPS_KFP_0303,1.0000,n.a.,42.85,n.a.,n.a.,4.75,0.13  ,n.a.,n.a.,n.a.
51,DOC_CMPS_KFP_0304,1.0000,n.a.,62.07,n.a.,n.a.,4.29,0.21  ,0.16,0.03,n.a.
52,DOC_CMPS_KFP_0305,1.0000,n.a.,51.00,n.a.,n.a.,3.49,0.18  ,0.14,0.03,n.a.
53,DOC_CMPS_KFP_0306,1.0000,n.a.,54.13,n.a.,n.a.,5.87,0.21  ,0.16,0.03,n.a.
54,DOC_CMPS_KFP_0307,1.0000,n.a.,57.39,n.a.,n.a.,5.99,0.20  ,0.16,0.07,n.a.
55,DOC_CMPS_KFP_0308,1.0000,n.a.,42.38,n.a.,n.a.,4.91,0.13  ,n.a.,n.a.,n.a.
56,DOC_CMPS_KFP_0309,1.0000,n.a.,103.59,n.a.,n.a.,58.93,0.23  ,0.36,0.12,n.a.
57,DOC_CMPS_KFP_0310,1.0000,n.a.,106.06,n.a.,n.a.,30.06,0.25  ,0.66,0.52,n.a.
58,A-20x,1.0000,n.a.,0.51,n.a.,0.11,0.46,0.51  ,0.52,0.50,1.07
59,MQ4,1.0000,n.a.,0.00,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
60,DOC_CMPS_KFP_0311,1.0000,n.a.,64.45,n.a.,n.a.,33.34,0.29  ,n.a.,n.a.,n.a.
61,DOC_CMPS_KFP_0312,1.0000,n.a.,122.04,n.a.,n.a.,35.33,0.36  ,0.30,0.12,n.a.
62,DOC_CMPS_KFP_0313,1.0000,n.a.,137.01,n.a.,n.a.,22.66,0.13  ,0.20,0.07,n.a.
63,DOC_CMPS_KFP_0314,1.0000,n.a.,89.00,n.a.,n.a.,20.52,0.16  ,0.27,0.16,n.a.
64,DOC_CMPS_KFP_0315,1.0000,n.a.,114.41,n.a.,n.a.,32.13,0.28  ,0.37,0.20,n.a.
65,DOC_CMPS_KFP_0316,1.0000,n.a.,93.34,n.a.,n.a.,19.50,n.a.,0.45,0.41,n.a.
66,DOC_CMPS_KFP_0317,1.0000,n.a.,54.38,n.a.,n.a.,7.54,0.14  ,0.45,0.38,n.a.
67,DOC_CMPS_KFP_0318,1.0000,n.a.,0.04,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
68,DOC_CMPS_KFP_0319,1.0000,n.a.,0.02,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
69,DOC_CMPS_KFP_0320,1.0000,n.a.,122.94,n.a.,n.a.,15.54,0.18  ,0.19,0.10,n.a.
70,A-20x,1.0000,n.a.,0.52,n.a.,0.11,0.46,0.51  ,0.52,0.50,1.06
71,MQ5,1.0000,n.a.,0.00,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
72,DOC_CMPS_KFP_0321,1.0000,n.a.,130.51,n.a.,n.a.,18.71,n.a.,0.16,0.04,2.94
73,DOC_CMPS_KFP_0322,1.0000,0.09,64.97,n.a.,n.a.,10.78,0.10  ,0.25,0.13,n.a.
74,DOC_CMPS_KFP_0323,1.0000,n.a.,145.88,n.a.,n.a.,18.89,0.13  ,0.25,0.06,5.27
75,DOC_CMPS_KFP_0324,1.0000,n.a.,46.60,n.a.,n.a.,7.03,n.a.,0.15,0.06,2.93
76,DOC_CMPS_KFP_0325,1.0000,n.a.,16.10,n.a.,n.a.,1.60,n.a.,0.16,0.08,0.98
77,DOC_CMPS_KFP_0326,1.0000,n.a.,137.53,n.a.,n.a.,18.51,0.34  ,0.15,n.a.,0.52
78,DOC_CMPS_KFP_0327,1.0000,0.18,80.17,n.a.,n.a.,8.74,n.a.,n.a.,0.08,4.61
79,DOC_CMPS_KFP_0328,1.0000,0.29,158.22,n.a.,n.a.,21.38,0.71  ,2.76,2.58,n.a.
80,DOC_CMPS_KFP_0329,1.0000,0.05,112.99,n.a.,n.a.,12.69,0.33  ,2.26,2.10,n.a.
81,DOC_CMPS_KFP_0330,1.0000,0.07,128.74,n.a.,n.a.,15.52,0.57  ,0.78,0.62,n.a.
82,A-20x,1.0000,n.a.,0.52,n.a.,0.10,0.47,0.51  ,0.52,0.51,1.09
83,MQ6,1.0000,n.a.,0.00,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
84,DOC_CMPS_KFP_0331,1.0000,0.03,89.85,n.a.,n.a.,10.89,0.25  ,2.97,2.87,n.a.
85,DOC_CMPS_KFP_0332,1.0000,0.13,136.58,n.a.,n.a.,17.43,0.32  ,1.93,1.86,n.a.
86,DOC_CMPS_KFP_0333,1.0000,n.a.,93.39,n.a.,n.a.,11.39,0.20  ,1.31,1.19,n.a.
87,DOC_CMPS_KFP_0334,1.0000,0.18,121.28,n.a.,n.a.,15.53,0.24  ,0.86,0.73,n.a.
88,DOC_CMPS_KFP_0335,1.0000,0.11,99.22,n.a.,n.a.,12.81,0.36  ,0.79,0.66,n.a.
89,DOC_CMPS_KFP_0336,1.0000,n.a.,n.a.,n.a.,n.a.,204.69,4.86  ,0.79,0.12,n.a.
90,DOC_CMPS_KFP_0337,1.0000,0.14,n.a.,n.a.,n.a.,141.05,3.76  ,0.76,0.26,n.a.
91,DOC_CMPS_KFP_0338,1.0000,0.07,n.a.,n.a.,n.a.,113.63,3.04  ,0.80,0.34,n.a.
92,DOC_CMPS_KFP_0339,1.0000,0.66,261.52,n.a.,n.a.,28.16,0.98  ,2.07,1.88,n.a.
93,DOC_CMPS_KFP_0340,1.0000,0.11,n.a.,2.27,n.a.,121.67,3.35  ,2.32,1.83,n.a.
94,A-20x,1.0000,n.a.,0.53,n.a.,0.13,0.51,0.52  ,0.53,0.50,1.07
95,MQ7,1.0000,n.a.,0.01,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
96,DOC_CMPS_KFP_0341,1.0000,n.a.,141.76,n.a.,n.a.,18.31,n.a.,0.26,0.19,5.36
97,DOC_CMPS_KFP_0342,1.0000,n.a.,0.04,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
98,DOC_CMPS_KFP_0343,1.0000,n.a.,0.01,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
99,DOC_CMPS_KFP_0344,1.0000,0.04,246.68,n.a.,n.a.,47.73,0.96  ,n.a.,n.a.,n.a.
100,DOC_CMPS_KFP_0345,1.0000,0.32,n.a.,n.a.,n.a.,66.05,2.16  ,0.40,0.09,n.a.
101,DOC_CMPS_KFP_0346,1.0000,0.07,n.a.,n.a.,n.a.,154.07,3.27  ,1.93,1.35,n.a.
102,DOC_CMPS_KFP_0347,1.0000,n.a.,234.28,n.a.,n.a.,34.36,0.28  ,n.a.,n.a.,n.a.
103,DOC_CMPS_KFP_0348,1.0000,n.a.,210.67,n.a.,n.a.,36.60,0.13  ,n.a.,n.a.,n.a.
104,DOC_CMPS_KFP_0349,1.0000,n.a.,143.90,n.a.,n.a.,22.88,0.22  ,0.27,0.23,0.30
105,DOC_CMPS_KFP_0350,1.0000,n.a.,121.34,n.a.,n.a.,20.65,0.17  ,0.23,0.03,1.81
106,A-20x,1.0000,n.a.,0.52,n.a.,0.13,0.47,0.51  ,0.52,0.51,1.10
107,MQ8,1.0000,n.a.,0.01,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
108,DOC_CMPS_KFP_0351,1.0000,n.a.,135.56,n.a.,n.a.,24.09,n.a.,0.14,0.04,n.a.
109,DOC_CMPS_KFP_0352,1.0000,n.a.,182.51,n.a.,n.a.,26.79,0.24  ,0.20,0.02,1.71
110,DOC_CMPS_KFP_0353,1.0000,n.a.,134.55,n.a.,n.a.,22.96,0.17  ,0.17,n.a.,0.71
111,DOC_CMPS_KFP_0354,1.0000,n.a.,158.01,n.a.,n.a.,26.84,0.27  ,0.21,0.03,2.07
112,DOC_CMPS_KFP_0355,1.0000,0.15,273.58,n.a.,n.a.,53.62,1.01  ,0.17,0.07,n.a.
113,DOC_CMPS_KFP_0356,1.0000,0.25,168.55,n.a.,n.a.,26.48,0.45  ,0.28,0.12,n.a.
114,DOC_CMPS_KFP_0357,1.0000,0.30,180.07,n.a.,n.a.,25.05,0.54  ,0.14,0.07,n.a.
115,DOC_CMPS_KFP_0358,1.0000,n.a.,212.74,n.a.,n.a.,30.18,0.36  ,0.13,0.04,n.a.
116,DOC_CMPS_KFP_0359,1.0000,n.a.,226.18,n.a.,n.a.,40.51,0.53  ,0.17,0.07,n.a.
117,DOC_CMPS_KFP_0360,1.0000,0.71,199.23,n.a.,n.a.,29.47,0.44  ,0.27,0.21,n.a.
118,A-20x,1.0000,n.a.,0.52,n.a.,0.15,0.47,0.51  ,0.52,0.50,1.08
119,MQ9,1.0000,n.a.,0.01,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
120,DOC_CMPS_KFP_0361,1.0000,0.32,169.89,n.a.,n.a.,29.67,0.48  ,0.47,0.30,n.a.
121,DOC_CMPS_KFP_0362,1.0000,n.a.,159.50,n.a.,n.a.,21.60,0.80  ,0.23,0.03,n.a.
122,DOC_CMPS_KFP_0363,1.0000,n.a.,107.34,n.a.,n.a.,17.25,0.12  ,0.12,n.a.,n.a.
123,DOC_CMPS_KFP_0364,1.0000,n.a.,133.63,n.a.,n.a.,23.89,0.16  ,0.27,0.04,0.87
124,DOC_CMPS_KFP_0365,1.0000,n.a.,0.04,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
125,DOC_CMPS_KFP_0366,1.0000,n.a.,0.02,n.a.,n.a.,n.a.,n.a.,0.07,n.a.,n.a.
126,A-20x,1.0000,n.a.,0.53,n.a.,0.14,0.52,0.52  ,0.54,0.51,1.07
127,MQ10,1.0000,n.a.,0.01,n.a.,n.a.,n.a.,n.a.,0.06,n.a.,n.a.
128,10 ppm Anion  Std,1.0000,5.57,9.98,10.97,10.61,10.02,9.97  ,9.93,10.03,9.77
129,DI water,1.0000,n.a.,0.00,n.a.,n.a.,n.a.,n.a.,0.06,n.a.,n.a.
130,5 ppm F 10 ppm Anion Std,1.0000,5.58,10.00,10.99,10.62,10.03,9.97  ,9.94,9.89,9.80
131,5 ppm F 10 ppm Anion Std,1.0000,5.57,9.97,10.98,10.62,10.03,9.97  ,9.93,9.89,9.87
132,5 ppm F 10 ppm Anion Std,1.0000,5.58,9.97,10.98,10.61,10.03,9.96  ,9.93,9.87,9.87
133,DI Water,1.0000,0.71,198.74,n.a.,n.a.,29.48,0.46  ,0.38,0.21,n.a.
134,DI Water,1.0000,n.a.,0.01,n.a.,n.a.,n.a.,n.a.,0.08,n.a.,n.a.
135,0.1 std,1.0000,n.a.,0.09,n.a.,n.a.,0.06,0.12  ,0.13,0.08,0.25
136,0.5 Std,1.0000,n.a.,0.48,n.a.,0.14,0.44,0.49  ,0.50,0.50,0.58
137,1.0 Std,1.0000,0.23,0.98,0.56,0.71,0.94,0.97  ,0.99,0.98,1.02
138,2.5 Std,1.0000,1.18,2.50,2.37,2.42,2.47,2.48  ,2.50,2.54,2.46
139,5 Std,1.0000,2.71,5.00,5.34,5.27,5.00,4.99  ,5.00,5.01,4.92
140,10 Std,1.0000,5.58,9.99,10.99,10.62,10.04,9.98  ,9.94,9.89,9.85
141,25 Std,1.0000,13.35,25.11,26.40,25.83,25.30,25.15  ,25.05,25.14,24.94
142,50 Std,1.0000,24.45,49.95,49.09,49.45,49.85,49.93  ,49.99,49.95,50.07
143,5 ppm F 10 ppm Anion Std,1.0000,5.57,9.97,11.00,10.63,10.04,9.97  ,9.93,9.88,9.93
,Sum:,,122.601  ,10059.923  ,331.053  ,329.013  ,3216.574  ,384.496  ,,,
,Average:,,3.226  ,74.518  ,19.474  ,11.750  ,26.151  ,3.403  ,,,
,Rel.Std.Dev:,,173.871 %,95.289 %,120.012 %,177.531 %,164.673 %,342.652 %,,,
