sample_label,wt_tray_g,wt_tray_drysoil_g,wt_tray_combustedsoil_g
COMPASS_Dec2021_001,1.02,4.3252,3.8093
COMPASS_Dec2021_002,1.02,4.4177,3.863
COMPASS_Dec2021_003,1.019,5.0496,4.4181
COMPASS_Dec2021_004,1.0179,4.7503,4.2866
COMPASS_Dec2021_005,1.003,4.3043,3.8731
COMPASS_Dec2021_006,1.0285,4.3041,3.809
COMPASS_Dec2021_007,1.02,4.2389,3.6772
COMPASS_Dec2021_008,1.0265,4.6068,4.0675
COMPASS_Dec2021_009,2.1674,5.6354,5.123
COMPASS_Dec2021_010,1.0287,3.7416,3.1407
COMPASS_Dec2021_011,1.0184,3.8992,3.3537
COMPASS_Dec2021_012,1.024,4.3326,3.815
COMPASS_Dec2021_013,1.0228,4.2673,3.6809
COMPASS_Dec2021_014,1.0081,5.1459,4.6152
COMPASS_Dec2021_015,1.0121,5.2837,4.7274
COMPASS_Dec2021_016,1.0094,2.7614,1.8283
COMPASS_Dec2021_017,1.0277,3.622,3.1171
COMPASS_Dec2021_018,1.0253,3.8573,3.3783
COMPASS_Dec2021_019,1.0083,2.643,2.3835
COMPASS_Dec2021_020,1.0279,2.7289,2.4502
COMPASS_Dec2021_021,1.0284,2.7405,2.4156
COMPASS_Dec2021_022,1.0252,2.5575,2.2468
COMPASS_Dec2021_023,1.0116,3.2673,2.8034
COMPASS_Dec2021_024,1.0268,2.5352,2.2393
COMPASS_Dec2021_025,1.0216,2.2488,2.0349
COMPASS_Dec2021_026,1.0295,2.6305,2.3726
COMPASS_Dec2021_027,1.0294,2.4535,2.2015
COMPASS_Dec2021_028,1.029,3.3528,2.9289
COMPASS_Dec2021_029,1.0101,3.0876,2.7239
COMPASS_Dec2021_030,1.0298,3.1645,2.8062
COMPASS_Dec2021_031,1.0023,3.8953,3.4367
COMPASS_Dec2021_032,1.0059,3.06,2.7681
COMPASS_Dec2021_033,1.0033,3.913,3.5234
COMPASS_Dec2021_034,1.0203,4.532,4.1038
COMPASS_Dec2021_035,1.036,4.1112,3.5723
COMPASS_Dec2021_036,1.0085,5.31,4.7382
COMPASS_Dec2021_037,1.0183,4.5573,3.9995
COMPASS_Dec2021_038,1.0221,4.556,4.0193
COMPASS_Dec2021_039,1.0219,4.5696,3.8621
COMPASS_Dec2021_040,1.0106,3.9535,3.524
COMPASS_Dec2021_041,1.0108,4.4814,4.024
COMPASS_Dec2021_042,1.0205,5.0375,4.4963
COMPASS_Dec2021_043,1.0182,3.5472,3.0477
COMPASS_Dec2021_044,1.0068,2.9618,2.3589
COMPASS_Dec2021_045,1.0213,2.6855,2.0677
COMPASS_Dec2021_046,1.0306,3.2491,2.8272
COMPASS_Dec2021_047,1.0111,3.0089,2.5627
COMPASS_Dec2021_048,1.0194,3.0842,2.6354
COMPASS_Dec2021_049,1.0196,2.977,2.3998
COMPASS_Dec2021_050,1.0158,3.0408,2.5313
COMPASS_Dec2021_051,1.0349,3.6522,3.1822
COMPASS_Dec2021_052,1.0172,2.6756,2.3857
COMPASS_Dec2021_053,1.0065,2.5937,2.3157
COMPASS_Dec2021_054,1.0293,2.8418,2.5344
COMPASS_Dec2021_055,1.0186,3.2625,2.8732
COMPASS_Dec2021_056,1.0179,3.8598,3.4953
COMPASS_Dec2021_057,1.0347,3.6411,3.2514
COMPASS_Dec2021_058,1.0056,3.0526,2.6481
COMPASS_Dec2021_059,1.0011,3.5625,3.3243
COMPASS_Dec2021_060,1.0132,2.6786,2.4413
COMPASS_Dec2021_061,1.0215,4.7861,4.4167
COMPASS_Dec2021_062,1.0173,5.0382,4.6588
COMPASS_Dec2021_063,1.0198,4.9166,4.4478
COMPASS_Dec2021_064,1.0174,5.5271,5.0171
COMPASS_Dec2021_065,1.0113,4.4923,4.0262
COMPASS_Dec2021_066,1.0096,5.849,5.5089
COMPASS_Dec2021_067,1.0232,4.4885,4.1503
COMPASS_Dec2021_068,1.0228,4.5895,4.066
COMPASS_Dec2021_069,1.0113,5.1448,4.7076
COMPASS_Dec2021_070,1.0028,4.124,3.7752
COMPASS_Dec2021_071,1.0227,4.8343,4.4146
COMPASS_Dec2021_072,1.0239,4.3375,3.886
COMPASS_Dec2021_073,1.0155,4.204,3.7862
COMPASS_Dec2021_074,1.0174,3.9378,3.4833
COMPASS_Dec2021_075,1.0163,4.2538,3.6893
COMPASS_Dec2021_076,0.9897,4.4061,4.1573
COMPASS_Dec2021_077,2.2206,5.8413,4.7488
COMPASS_Dec2021_078,2.2611,4.8727,4.3612
COMPASS_Dec2021_079,2.1711,5.153,4.6934
COMPASS_Dec2021_080,2.1216,5.1749,4.7951
COMPASS_Dec2021_081,2.1131,5.0027,4.5838
COMPASS_Dec2021_082,2.152,5.1489,4.7496
COMPASS_Dec2021_083,2.1122,5.084,4.7923
COMPASS_Dec2021_084,2.121,4.8064,4.403
COMPASS_Dec2021_085,2.0884,4.4779,3.9943
COMPASS_Dec2021_086,2.1369,4.8421,4.4476
COMPASS_Dec2021_087,2.1375,4.5219,4.015
