Customer ID,SHL ID #,%OM
129,1,54.76
130,2,67.64
131,3,83.50
132,4,71.56
133,5,87.46
134,6,88.41
135,7,79.42
136,8,53.60
137,9,78.82
138,10,69.03
139,11,81.77
140,12,77.21
141,13,69.09
142,14,73.14
143,15,76.30
144,16,79.38
145,17,68.29
146,18,70.16
147,19,80.19
148,20,62.26
149,21,75.57
150,22,73.52
151,23,73.26
152,24,65.29
153,25,62.53
154,26,11.94
155,27,9.69
156,28,5.55
157,29,4.38
158,30,4.29
159,31,8.16
160,32,9.41
161,33,8.67
162,34,4.25
163,35,4.70
164,36,3.14
165,37,1.44
166,38,1.44
167,39,2.35
168,40,3.17
169,41,2.05
170,42,2.99
171,43,1.67
172,44,75.67
173,45,77.16
174,46,41.91
175,47,62.05
176,48,57.88
177,49,60.30
178,50,72.87
179,51,66.01
180,52,51.83
181,53,65.41
182,54,55.35
183,55,53.08
184,56,76.01
185,57,69.45
186,58,66.72
187,59,61.88
188,60,46.19
189,61,34.49
190,62,37.31
191,63,23.94
192,64,23.79
193,65,10.06
194,66,10.09
195,67,25.17
196,68,10.35
197,69,6.29
198,70,8.45
199,71,4.64
200,72,4.78
215,73,5.31
216,74,6.33
217,75,8.56
218,76,6.13
219,77,9.64
220,78,5.72
221,79,6.96
222,80,12.94
223,81,14.57
224,82,16.09
225,83,18.01
226,84,18.22
227,85,12.43
228,86,11.11
229,87,9.30
230,88,12.57
231,89,63.17
232,90,63.09
233,91,60.27
234,92,70.91
235,93,65.87
236,94,68.06
237,95,69.82
238,96,70.11
239,97,1.77
240,98,2.75
241,99,3.32
242,100,3.84
243,101,3.32
244,102,2.40
245,103,2.15
246,104,4.39
247,105,4.69
248,106,4.45
249,107,8.30
250,108,5.01
251,109,4.15
252,110,3.80
253,111,4.40
254,112,3.91
